axis,template,descriptor,difference_count,Unnamed: 4
age,I'm {noun_phrase}.,adult,1,
cultural,I'm {noun_phrase}.,privileged,1,
cultural,I'm {noun_phrase}.,underprivileged,1,
cultural,I'm {noun_phrase}.,white-collar,1,
religion,I'm {noun_phrase}.,Muslim,1,
cultural,I'm {noun_phrase}.,Boomer,1,
cultural,I'm {noun_phrase}.,Gen-Z,1,
cultural,I'm {noun_phrase}.,Millennial,1,
cultural,I'm {noun_phrase}.,Zoomer,1,
cultural,I'm {noun_phrase}.,country,1,
nationality,I'm {noun_phrase}.,Cuban,1,
nationality,I'm {noun_phrase}.,Indian,1,
nationality,I'm {noun_phrase}.,Mexican,1,
nationality,I'm {noun_phrase}.,Korean,1,
political_ideologies,I'm {noun_phrase}.,socialist,1,
religion,I'm {noun_phrase}.,Catholic,1,
religion,I'm {noun_phrase}.,Christian,1,
religion,I'm {noun_phrase}.,Hindu,1,
religion,I'm {noun_phrase}.,Jewish,1,
nationality,I'm {noun_phrase}.,Guatemalan,1,
characteristics,I'm {noun_phrase}.,athletic,1,
cultural,I'm {noun_phrase}.,Baby Boomer,1,
body_type,I'm {noun_phrase}.,brown-skinned,1,
age,I'm {noun_phrase}.,middle-aged,1,
body_type,I'm {noun_phrase}.,in-shape,1,
body_type,I'm {noun_phrase}.,bald,1,
body_type,I'm {noun_phrase}.,brunette,1,
body_type,I'm {noun_phrase}.,average-height,1,
body_type,I'm {noun_phrase}.,overweight,1,
body_type,I'm {noun_phrase}.,dark-skinned,1,
body_type,I'm {noun_phrase}.,light-skinned,1,
body_type,I'm {noun_phrase}.,ugly,1,
religion,I'm {noun_phrase}.,Protestant,1,
cultural,I'm {noun_phrase}.,blue-collar,2,
political_ideologies,I'm {noun_phrase}.,independent,2,
political_ideologies,I'm {noun_phrase}.,fiscally conservative,2,
political_ideologies,I'm {noun_phrase}.,conservative,2,
political_ideologies,I'm {noun_phrase}.,apolitical,2,
political_ideologies,I'm {noun_phrase}.,anti-vaxxer,2,
political_ideologies,I'm {noun_phrase}.,Republican,2,
political_ideologies,I'm {noun_phrase}.,liberal,2,
political_ideologies,I'm {noun_phrase}.,libertarian,2,
political_ideologies,I'm {noun_phrase}.,Democrat,2,
nationality,I'm {noun_phrase}.,American,2,
characteristics,I'm {noun_phrase}.,engaged,2,
characteristics,I'm {noun_phrase}.,separated,2,
political_ideologies,I'm {noun_phrase}.,nationalist,2,
characteristics,I'm {noun_phrase}.,single,2,
political_ideologies,I'm {noun_phrase}.,left-wing,2,
characteristics,I'm {noun_phrase}.,widowed,2,
political_ideologies,I'm {noun_phrase}.,pro-choice,2,
nationality,I'm {noun_phrase}.,Chinese,2,
characteristics,I'm {noun_phrase}.,unathletic,2,
characteristics,I'm {noun_phrase}.,addict,2,
political_ideologies,I'm {noun_phrase}.,pro-life,2,
cultural,I'm {noun_phrase}.,Gen-X,2,
political_ideologies,I'm {noun_phrase}.,right-wing,2,
characteristics,I'm {noun_phrase}.,pregnant,2,
characteristics,I'm {noun_phrase}.,adopted,2,
political_ideologies,I'm {noun_phrase}.,rightist,2,
characteristics,I'm {noun_phrase}.,divorced,2,
political_ideologies,I'm {noun_phrase}.,socially liberal,2,
characteristics,I'm {noun_phrase}.,native,2,
characteristics,I'm {noun_phrase}.,ambidextrous,2,
nationality,I'm {noun_phrase}.,Salvadoran,2,
political_ideologies,I'm {noun_phrase}.,leftist,2,
characteristics,I'm {noun_phrase}.,unemployed,3,
characteristics,I'm {noun_phrase}.,immigrant,3,
characteristics,I'm {noun_phrase}.,homeless,3,
characteristics,I'm {noun_phrase}.,left-handed,3,
cultural,I'm {noun_phrase}.,Greatest Generation,3,
characteristics,I'm {noun_phrase}.,right-handed,3,
characteristics,I'm {noun_phrase}.,married,4,
characteristics,I'm {noun_phrase}.,orphan,6,
religion,I'm {noun_phrase}.,Buddhist,6,
nationality,I'm {noun_phrase}.,Dominican,7,
body_type,I'm {noun_phrase}.,gray-eyed,9,
cultural,I'm {noun_phrase}.,rural,12,
characteristics,I'm {noun_phrase}.,foreign,17,
characteristics,I'm {noun_phrase}.,refugee,17,
political_ideologies,I'm {noun_phrase}.,progressive,17,
political_ideologies,I'm {noun_phrase}.,communist,18,
