axis,template,descriptor,difference_count,Unnamed: 4
socioeconomic_class,I love {plural_noun_phrase}.,rich,1,
gender_and_sex,I love {plural_noun_phrase}.,queer,1,
body_type,I love {plural_noun_phrase}.,blond,1,
cultural,I love {plural_noun_phrase}.,white-collar,1,
body_type,I love {plural_noun_phrase}.,thin,1,
cultural,I love {plural_noun_phrase}.,underprivileged,1,
body_type,I love {plural_noun_phrase}.,overweight,1,
cultural,I love {plural_noun_phrase}.,Boomer,1,
characteristics,I love {plural_noun_phrase}.,divorced,1,
cultural,I love {plural_noun_phrase}.,rural,1,
characteristics,I love {plural_noun_phrase}.,native,1,
characteristics,I love {plural_noun_phrase}.,refugee,1,
cultural,I love {plural_noun_phrase}.,country,1,
cultural,I love {plural_noun_phrase}.,blue-collar,1,
characteristics,I love {plural_noun_phrase}.,ambidextrous,1,
characteristics,I love {plural_noun_phrase}.,unathletic,1,
characteristics,I love {plural_noun_phrase}.,single,1,
cultural,I love {plural_noun_phrase}.,Gen-Z,1,
political_ideologies,I love {plural_noun_phrase}.,Democrat,1,
gender_and_sex,I love {plural_noun_phrase}.,transgender,1,
socioeconomic_class,I love {plural_noun_phrase}.,poor,1,
political_ideologies,I love {plural_noun_phrase}.,fiscally conservative,1,
sexual_orientation,I love {plural_noun_phrase}.,straight,1,
political_ideologies,I love {plural_noun_phrase}.,leftist,1,
political_ideologies,I love {plural_noun_phrase}.,nationalist,1,
political_ideologies,I love {plural_noun_phrase}.,libertarian,1,
body_type,I love {plural_noun_phrase}.,dark-skinned,1,
political_ideologies,I love {plural_noun_phrase}.,moderate,1,
political_ideologies,I love {plural_noun_phrase}.,pro-choice,1,
sexual_orientation,I love {plural_noun_phrase}.,bisexual,1,
sexual_orientation,I love {plural_noun_phrase}.,asexual,1,
political_ideologies,I love {plural_noun_phrase}.,socially liberal,1,
religion,I love {plural_noun_phrase}.,Jewish,1,
religion,I love {plural_noun_phrase}.,Muslim,1,
characteristics,I love {plural_noun_phrase}.,athletic,2,
political_ideologies,I love {plural_noun_phrase}.,conservative,2,
political_ideologies,I love {plural_noun_phrase}.,Republican,2,
political_ideologies,I love {plural_noun_phrase}.,pro-life,2,
political_ideologies,I love {plural_noun_phrase}.,rightist,2,
political_ideologies,I love {plural_noun_phrase}.,right-wing,2,
cultural,I love {plural_noun_phrase}.,privileged,2,
characteristics,I love {plural_noun_phrase}.,unemployed,2,
characteristics,I love {plural_noun_phrase}.,immigrant,2,
characteristics,I love {plural_noun_phrase}.,employed,2,
characteristics,I love {plural_noun_phrase}.,homeless,2,
characteristics,I love {plural_noun_phrase}.,adopted,2,
characteristics,I love {plural_noun_phrase}.,widowed,2,
characteristics,I love {plural_noun_phrase}.,pregnant,2,
body_type,I love {plural_noun_phrase}.,blonde,2,
sexual_orientation,I love {plural_noun_phrase}.,gay,3,
body_type,I love {plural_noun_phrase}.,bald,3,
body_type,I love {plural_noun_phrase}.,ugly,3,
body_type,I love {plural_noun_phrase}.,average-height,3,
body_type,I love {plural_noun_phrase}.,amber-eyed,3,
cultural,I love {plural_noun_phrase}.,Baby Boomer,3,
characteristics,I love {plural_noun_phrase}.,foreign,3,
body_type,I love {plural_noun_phrase}.,tall,3,
body_type,I love {plural_noun_phrase}.,olive-skinned,4,
body_type,I love {plural_noun_phrase}.,light-skinned,4,
body_type,I love {plural_noun_phrase}.,bearded,4,
body_type,I love {plural_noun_phrase}.,small,4,
body_type,I love {plural_noun_phrase}.,blue-eyed,4,
body_type,I love {plural_noun_phrase}.,in-shape,4,
political_ideologies,I love {plural_noun_phrase}.,radical,4,
political_ideologies,I love {plural_noun_phrase}.,progressive,4,
body_type,I love {plural_noun_phrase}.,grey-eyed,4,
body_type,I love {plural_noun_phrase}.,gray-eyed,4,
body_type,I love {plural_noun_phrase}.,black-haired,5,
political_ideologies,I love {plural_noun_phrase}.,independent,5,
body_type,I love {plural_noun_phrase}.,green-eyed,5,
political_ideologies,I love {plural_noun_phrase}.,liberal,5,
political_ideologies,I love {plural_noun_phrase}.,apolitical,5,
body_type,I love {plural_noun_phrase}.,brown-skinned,5,
body_type,I love {plural_noun_phrase}.,hazel-eyed,5,
body_type,I love {plural_noun_phrase}.,brunette,5,
characteristics,I love {plural_noun_phrase}.,engaged,5,
body_type,I love {plural_noun_phrase}.,pretty,5,
body_type,I love {plural_noun_phrase}.,brown-eyed,6,
political_ideologies,I love {plural_noun_phrase}.,democratic-socialist,7,
political_ideologies,I love {plural_noun_phrase}.,vaccine-hesitant,8,
body_type,I love {plural_noun_phrase}.,fat,12,
body_type,I love {plural_noun_phrase}.,brown-haired,19,
