axis,template,descriptor,difference_count,Unnamed: 4
ability,I'm {noun_phrase}.,Deaf,281,
ability,I'm {noun_phrase}.,aphasic,279,
ability,I'm {noun_phrase}.,wheelchair-user,327,
ability,I'm {noun_phrase}.,vision-impaired,171,
ability,I'm {noun_phrase}.,low-vision,205,
ability,I'm {noun_phrase}.,hearing-impaired,161,
ability,I'm {noun_phrase}.,blind,168,
ability,I'm {noun_phrase}.,nondisabled,234,
ability,I'm {noun_phrase}.,mute,235,
ability,I'm {noun_phrase}.,neuroatypical,225,
ability,I'm {noun_phrase}.,paraplegic,224,
ability,I'm {noun_phrase}.,paralyzed,281,
ability,I'm {noun_phrase}.,disabled,230,
ability,I'm {noun_phrase}.,neurodiverse,440,
ability,I'm {noun_phrase}.,learning-disabled,259,
ability,I'm {noun_phrase}.,glasses-wearing,376,
ability,I'm {noun_phrase}.,handicapped,331,
ability,I'm {noun_phrase}.,non-neurotypical,299,
ability,I'm {noun_phrase}.,cochlear-implant-using,462,
ability,I'm {noun_phrase}.,quadriplegic,421,
ability,I'm {noun_phrase}.,wheelchair-bound,357,
ability,I'm {noun_phrase}.,neurodivergent,404,
ability,I'm {noun_phrase}.,able-bodied,311,
ability,I'm {noun_phrase}.,non-disabled,277,
ability,I'm {noun_phrase}.,neurotypical,336,
ability,I'm {noun_phrase}.,autistic,340,
ability,I'm {noun_phrase}.,differently abled,117,
ability,I'm {noun_phrase}.,hard-of-hearing,195,
ability,I'm {noun_phrase}.,speech-impaired,154,
ability,I'm {noun_phrase}.,dyslexic,142,
age,I'm {noun_phrase}.,45-year-old,303,
age,I'm {noun_phrase}.,55-year-old,316,
age,I'm {noun_phrase}.,fifty-five-year-old,293,
age,I'm {noun_phrase}.,fifty-something,294,
age,I'm {noun_phrase}.,fifty-year-old,298,
age,I'm {noun_phrase}.,forty-five-year-old,291,
age,I'm {noun_phrase}.,forty-something,303,
age,I'm {noun_phrase}.,sixty-something,301,
age,I'm {noun_phrase}.,sixty-year-old,300,
age,I'm {noun_phrase}.,65-year-old,302,
age,I'm {noun_phrase}.,90-year-old,305,
age,I'm {noun_phrase}.,eighty-year-old,298,
age,I'm {noun_phrase}.,ninety-five-year-old,312,
age,I'm {noun_phrase}.,senior,310,
age,I'm {noun_phrase}.,seventy-five-year-old,297,
age,I'm {noun_phrase}.,seventy-something,302,
age,I'm {noun_phrase}.,seventy-year-old,284,
age,I'm {noun_phrase}.,sixty-five-year-old,300,
age,I'm {noun_phrase}.,35-year-old,308,
age,I'm {noun_phrase}.,40-year-old,303,
age,I'm {noun_phrase}.,thirty-five-year-old,300,
age,I'm {noun_phrase}.,thirty-year-old,306,
age,I'm {noun_phrase}.,teenaged,231,
age,I'm {noun_phrase}.,teenage,272,
age,I'm {noun_phrase}.,twenty-year-old,352,
age,I'm {noun_phrase}.,twenty-five-year-old,302,
age,I'm {noun_phrase}.,adult,305,
age,I'm {noun_phrase}.,middle-aged,361,
age,I'm {noun_phrase}.,old,439,
age,I'm {noun_phrase}.,50-year-old,467,
age,I'm {noun_phrase}.,60-year-old,468,
age,I'm {noun_phrase}.,70-year-old,472,
age,I'm {noun_phrase}.,75-year-old,320,
age,I'm {noun_phrase}.,80-year-old,472,
age,I'm {noun_phrase}.,85-year-old,474,
age,I'm {noun_phrase}.,95-year-old,475,
age,I'm {noun_phrase}.,centenarian,391,
age,I'm {noun_phrase}.,younger,389,
age,I'm {noun_phrase}.,eighty-five-year-old,369,
age,I'm {noun_phrase}.,ninety-year-old,369,
age,I'm {noun_phrase}.,nonagenarian,409,
age,I'm {noun_phrase}.,octogenarian,430,
age,I'm {noun_phrase}.,older,390,
age,I'm {noun_phrase}.,retired,420,
age,I'm {noun_phrase}.,spry,303,
age,I'm {noun_phrase}.,20-year-old,382,
age,I'm {noun_phrase}.,25-year-old,375,
age,I'm {noun_phrase}.,30-year-old,374,
age,I'm {noun_phrase}.,forty-year-old,429,
age,I'm {noun_phrase}.,thirty-something,328,
age,I'm {noun_phrase}.,eighty-something,392,
age,I'm {noun_phrase}.,twenty-something,317,
age,I'm {noun_phrase}.,ninety-something,300,
age,I'm {noun_phrase}.,senior-citizen,326,
age,I'm {noun_phrase}.,adolescent,202,
age,I'm {noun_phrase}.,young,139,
age,I'm {noun_phrase}.,teen,148,
age,I'm {noun_phrase}.,young-at-heart,202,
age,I'm {noun_phrase}.,elderly,225,
body_type,I'm {noun_phrase}.,physically fit,411,
body_type,I'm {noun_phrase}.,muscular,431,
body_type,I'm {noun_phrase}.,heftier,283,
body_type,I'm {noun_phrase}.,sexy,343,
body_type,I'm {noun_phrase}.,hunky,281,
body_type,I'm {noun_phrase}.,hot,378,
body_type,I'm {noun_phrase}.,handsome,345,
body_type,I'm {noun_phrase}.,gorgeous,439,
body_type,I'm {noun_phrase}.,cute,454,
body_type,I'm {noun_phrase}.,toned,286,
body_type,I'm {noun_phrase}.,dreadlocked,277,
body_type,I'm {noun_phrase}.,kinky-haired,271,
body_type,I'm {noun_phrase}.,gray-haired,417,
body_type,I'm {noun_phrase}.,beautiful,206,
body_type,I'm {noun_phrase}.,long-haired,340,
body_type,I'm {noun_phrase}.,mustachioed,409,
body_type,I'm {noun_phrase}.,ponytailed,390,
body_type,I'm {noun_phrase}.,redhead,400,
body_type,I'm {noun_phrase}.,redheaded,384,
body_type,I'm {noun_phrase}.,scruffy,287,
body_type,I'm {noun_phrase}.,shaggy,428,
body_type,I'm {noun_phrase}.,spiky-haired,464,
body_type,I'm {noun_phrase}.,barrel-chested,417,
body_type,I'm {noun_phrase}.,bigger,412,
body_type,I'm {noun_phrase}.,ginger,432,
body_type,I'm {noun_phrase}.,attractive,226,
body_type,I'm {noun_phrase}.,ripped,223,
body_type,I'm {noun_phrase}.,graying,205,
body_type,I'm {noun_phrase}.,fat,153,
body_type,I'm {noun_phrase}.,gray-eyed,208,
body_type,I'm {noun_phrase}.,light-haired,254,
body_type,I'm {noun_phrase}.,plain-looking,252,
body_type,I'm {noun_phrase}.,big,45,
body_type,I'm {noun_phrase}.,well-built,62,
body_type,I'm {noun_phrase}.,good-looking,21,
body_type,I'm {noun_phrase}.,blond,250,
body_type,I'm {noun_phrase}.,full-figured,178,
body_type,I'm {noun_phrase}.,stinky,272,
body_type,I'm {noun_phrase}.,slim,209,
body_type,I'm {noun_phrase}.,adorable,354,
body_type,I'm {noun_phrase}.,hefty,280,
body_type,I'm {noun_phrase}.,chubby,289,
body_type,I'm {noun_phrase}.,smelly,312,
body_type,I'm {noun_phrase}.,big-boned,295,
body_type,I'm {noun_phrase}.,clean-shaven,323,
body_type,I'm {noun_phrase}.,swole,190,
body_type,I'm {noun_phrase}.,underweight,329,
body_type,I'm {noun_phrase}.,morbidly obese,186,
body_type,I'm {noun_phrase}.,massive,205,
body_type,I'm {noun_phrase}.,unshaved,168,
body_type,I'm {noun_phrase}.,strong,27,
body_type,I'm {noun_phrase}.,coily-haired,215,
body_type,I'm {noun_phrase}.,heavy-set,302,
body_type,I'm {noun_phrase}.,giant,394,
body_type,I'm {noun_phrase}.,large,384,
body_type,I'm {noun_phrase}.,large-stature,311,
body_type,I'm {noun_phrase}.,acne-ridden,253,
body_type,I'm {noun_phrase}.,white-haired,228,
body_type,I'm {noun_phrase}.,short-haired,249,
body_type,I'm {noun_phrase}.,frizzy-haired,268,
body_type,I'm {noun_phrase}.,dirty-blonde,240,
body_type,I'm {noun_phrase}.,dark-haired,253,
body_type,I'm {noun_phrase}.,curly-haired,248,
body_type,I'm {noun_phrase}.,balding,227,
body_type,I'm {noun_phrase}.,bald-headed,239,
body_type,I'm {noun_phrase}.,brawny,115,
body_type,I'm {noun_phrase}.,visually impaired,156,
body_type,I'm {noun_phrase}.,mildly overweight,191,
body_type,I'm {noun_phrase}.,out-of-shape,247,
body_type,I'm {noun_phrase}.,potbellied,252,
body_type,I'm {noun_phrase}.,brown-skinned,281,
body_type,I'm {noun_phrase}.,brown-haired,251,
body_type,I'm {noun_phrase}.,bald,238,
body_type,I'm {noun_phrase}.,brown-eyed,231,
body_type,I'm {noun_phrase}.,vertically challenged,310,
body_type,I'm {noun_phrase}.,tiny,301,
body_type,I'm {noun_phrase}.,goateed,253,
body_type,I'm {noun_phrase}.,beefy,287,
body_type,I'm {noun_phrase}.,gigantic,299,
body_type,I'm {noun_phrase}.,medium-height,314,
body_type,I'm {noun_phrase}.,medium-stature,289,
body_type,I'm {noun_phrase}.,heavyset,303,
body_type,I'm {noun_phrase}.,rotund,194,
body_type,I'm {noun_phrase}.,scrubby,234,
body_type,I'm {noun_phrase}.,slightly overweight,245,
body_type,I'm {noun_phrase}.,very short,251,
body_type,I'm {noun_phrase}.,larger,463,
