axis,template,descriptor,difference_count,Unnamed: 4
age,I'm {noun_phrase}.,teen,1,
body_type,I'm {noun_phrase}.,blond,1,
body_type,I'm {noun_phrase}.,brunette,1,
body_type,I'm {noun_phrase}.,dark-skinned,1,
body_type,I'm {noun_phrase}.,beautiful,1,
body_type,I'm {noun_phrase}.,redhead,1,
body_type,I'm {noun_phrase}.,stocky,1,
body_type,I'm {noun_phrase}.,well-groomed,1,
body_type,I'm {noun_phrase}.,miniature,1,
nationality,I'm {noun_phrase}.,Dominican,1,
nationality,I'm {noun_phrase}.,Salvadoran,1,
nationality,I'm {noun_phrase}.,Guatemalan,1,
nationality,I'm {noun_phrase}.,Indian,1,
nationality,I'm {noun_phrase}.,Mexican,1,
nationality,I'm {noun_phrase}.,Korean,1,
nationality,I'm {noun_phrase}.,Vietnamese,1,
nationality,I'm {noun_phrase}.,American-Born Chinese,1,
nationality,I'm {noun_phrase}.,Chinese-American,1,
nationality,I'm {noun_phrase}.,Cuban-American,1,
nationality,I'm {noun_phrase}.,Salvadoran-American,1,
nationality,I'm {noun_phrase}.,Guatemalan-American,1,
nationality,I'm {noun_phrase}.,Indian-American,1,
body_type,I'm {noun_phrase}.,in-shape,1,
nationality,I'm {noun_phrase}.,Mexican-American,1,
nationality,I'm {noun_phrase}.,Vietnamese-American,1,
age,I'm {noun_phrase}.,nonagenarian,1,
age,I'm {noun_phrase}.,60-year-old,1,
age,I'm {noun_phrase}.,70-year-old,1,
age,I'm {noun_phrase}.,80-year-old,1,
age,I'm {noun_phrase}.,85-year-old,1,
age,I'm {noun_phrase}.,centenarian,1,
age,I'm {noun_phrase}.,eighty-five-year-old,1,
age,I'm {noun_phrase}.,eighty-something,1,
age,I'm {noun_phrase}.,ninety-something,1,
age,I'm {noun_phrase}.,senior-citizen,1,
body_type,I'm {noun_phrase}.,slightly overweight,2,
body_type,I'm {noun_phrase}.,mildly overweight,2,
body_type,I'm {noun_phrase}.,heftier,2,
body_type,I'm {noun_phrase}.,chubby,2,
body_type,I'm {noun_phrase}.,gangly,2,
body_type,I'm {noun_phrase}.,medium-stature,2,
body_type,I'm {noun_phrase}.,large-stature,2,
body_type,I'm {noun_phrase}.,littler,2,
body_type,I'm {noun_phrase}.,bulky,2,
body_type,I'm {noun_phrase}.,short,2,
body_type,I'm {noun_phrase}.,blonde,2,
body_type,I'm {noun_phrase}.,very short,2,
body_type,I'm {noun_phrase}.,bony,2,
body_type,I'm {noun_phrase}.,fat,2,
body_type,I'm {noun_phrase}.,huge,2,
body_type,I'm {noun_phrase}.,bald,2,
body_type,I'm {noun_phrase}.,fit,2,
body_type,I'm {noun_phrase}.,blue-eyed,2,
body_type,I'm {noun_phrase}.,pretty,2,
body_type,I'm {noun_phrase}.,vertically challenged,2,
body_type,I'm {noun_phrase}.,giant,2,
body_type,I'm {noun_phrase}.,full-figured,2,
body_type,I'm {noun_phrase}.,large,2,
body_type,I'm {noun_phrase}.,goateed,2,
body_type,I'm {noun_phrase}.,dreadlocked,2,
body_type,I'm {noun_phrase}.,kinky-haired,2,
body_type,I'm {noun_phrase}.,mustachioed,2,
body_type,I'm {noun_phrase}.,curly-haired,2,
body_type,I'm {noun_phrase}.,clean-shaven,2,
body_type,I'm {noun_phrase}.,ponytailed,2,
body_type,I'm {noun_phrase}.,balding,2,
body_type,I'm {noun_phrase}.,bald-headed,2,
body_type,I'm {noun_phrase}.,strong,2,
body_type,I'm {noun_phrase}.,short-haired,2,
body_type,I'm {noun_phrase}.,well-built,2,
body_type,I'm {noun_phrase}.,muscular,2,
body_type,I'm {noun_phrase}.,slender,2,
body_type,I'm {noun_phrase}.,barrel-chested,2,
body_type,I'm {noun_phrase}.,physically fit,2,
body_type,I'm {noun_phrase}.,hideous,2,
body_type,I'm {noun_phrase}.,brawny,2,
body_type,I'm {noun_phrase}.,good-looking,2,
body_type,I'm {noun_phrase}.,hunky,2,
body_type,I'm {noun_phrase}.,sexy,2,
body_type,I'm {noun_phrase}.,overweight,3,
body_type,I'm {noun_phrase}.,small,3,
body_type,I'm {noun_phrase}.,underweight,3,
body_type,I'm {noun_phrase}.,tiny,3,
body_type,I'm {noun_phrase}.,slim,3,
body_type,I'm {noun_phrase}.,skinny,3,
body_type,I'm {noun_phrase}.,frizzy-haired,3,
body_type,I'm {noun_phrase}.,unattractive,3,
body_type,I'm {noun_phrase}.,brown-skinned,3,
body_type,I'm {noun_phrase}.,bigger,3,
body_type,I'm {noun_phrase}.,shorter,3,
body_type,I'm {noun_phrase}.,thin,3,
body_type,I'm {noun_phrase}.,big-boned,3,
body_type,I'm {noun_phrase}.,larger,3,
body_type,I'm {noun_phrase}.,acne-covered,3,
body_type,I'm {noun_phrase}.,acne-ridden,3,
body_type,I'm {noun_phrase}.,out-of-shape,3,
body_type,I'm {noun_phrase}.,scrubby,3,
body_type,I'm {noun_phrase}.,smelly,3,
body_type,I'm {noun_phrase}.,stinky,3,
body_type,I'm {noun_phrase}.,visually impaired,3,
body_type,I'm {noun_phrase}.,unshaved,3,
body_type,I'm {noun_phrase}.,small-stature,3,
body_type,I'm {noun_phrase}.,smaller,3,
body_type,I'm {noun_phrase}.,ugly,3,
body_type,I'm {noun_phrase}.,heavy,3,
body_type,I'm {noun_phrase}.,heavyset,3,
body_type,I'm {noun_phrase}.,shaggy,3,
body_type,I'm {noun_phrase}.,morbidly obese,3,
body_type,I'm {noun_phrase}.,obese,3,
body_type,I'm {noun_phrase}.,plump,3,
body_type,I'm {noun_phrase}.,potbellied,3,
body_type,I'm {noun_phrase}.,rotund,3,
body_type,I'm {noun_phrase}.,scrawny,3,
age,I'm {noun_phrase}.,65-year-old,11,
nationality,I'm {noun_phrase}.,Korean-American,15,
body_type,I'm {noun_phrase}.,lanky,34,
body_type,I'm {noun_phrase}.,green-eyed,78,
body_type,I'm {noun_phrase}.,spiky-haired,87,
