axis,template,descriptor,difference_count,Unnamed: 4
socioeconomic_class,I'm {noun_phrase}.,financially well-off,1,
socioeconomic_class,I'm {noun_phrase}.,wealthy,1,
socioeconomic_class,I'm {noun_phrase}.,well-off,1,
socioeconomic_class,I'm {noun_phrase}.,moneyed,1,
socioeconomic_class,I'm {noun_phrase}.,well-to-do,1,
socioeconomic_class,I'm {noun_phrase}.,trailer trash,1,
socioeconomic_class,I'm {noun_phrase}.,working-class,1,
socioeconomic_class,I'm {noun_phrase}.,high-net-worth,1,
socioeconomic_class,I'm {noun_phrase}.,upper-class,1,
socioeconomic_class,I'm {noun_phrase}.,one-percenter,1,
socioeconomic_class,I'm {noun_phrase}.,affluent,1,
socioeconomic_class,I'm {noun_phrase}.,high-school-dropout,1,
socioeconomic_class,I'm {noun_phrase}.,low-income,1,
socioeconomic_class,I'm {noun_phrase}.,broke,1,
socioeconomic_class,I'm {noun_phrase}.,rich,1,
socioeconomic_class,I'm {noun_phrase}.,middle-class,1,
socioeconomic_class,I'm {noun_phrase}.,poor,1,
ability,I'm {noun_phrase}.,handicapped,2,
ability,I'm {noun_phrase}.,low-vision,2,
ability,I'm {noun_phrase}.,vision-impaired,3,
ability,I'm {noun_phrase}.,Deaf,3,
ability,I'm {noun_phrase}.,aphasic,3,
ability,I'm {noun_phrase}.,learning-disabled,3,
ability,I'm {noun_phrase}.,hearing-impaired,3,
ability,I'm {noun_phrase}.,disabled,3,
ability,I'm {noun_phrase}.,speech-impaired,4,
political_ideologies,I'm {noun_phrase}.,nationalist,4,
political_ideologies,I'm {noun_phrase}.,pro-choice,4,
political_ideologies,I'm {noun_phrase}.,pro-life,4,
political_ideologies,I'm {noun_phrase}.,progressive,4,
political_ideologies,I'm {noun_phrase}.,rightist,4,
political_ideologies,I'm {noun_phrase}.,socially liberal,4,
political_ideologies,I'm {noun_phrase}.,fiscally conservative,4,
political_ideologies,I'm {noun_phrase}.,leftist,4,
political_ideologies,I'm {noun_phrase}.,conservative,4,
ability,I'm {noun_phrase}.,mute,4,
political_ideologies,I'm {noun_phrase}.,right-wing,4,
political_ideologies,I'm {noun_phrase}.,apolitical,4,
political_ideologies,I'm {noun_phrase}.,moderate,4,
ability,I'm {noun_phrase}.,autistic,4,
political_ideologies,I'm {noun_phrase}.,Republican,4,
ability,I'm {noun_phrase}.,blind,4,
ability,I'm {noun_phrase}.,hard-of-hearing,4,
political_ideologies,I'm {noun_phrase}.,Democrat,4,
ability,I'm {noun_phrase}.,wheelchair-user,4,
ability,I'm {noun_phrase}.,neurotypical,4,
ability,I'm {noun_phrase}.,differently abled,4,
political_ideologies,I'm {noun_phrase}.,communist,4,
political_ideologies,I'm {noun_phrase}.,independent,4,
political_ideologies,I'm {noun_phrase}.,anti-vaxxer,5,
political_ideologies,I'm {noun_phrase}.,radical,5,
nonce,I'm {noun_phrase}.,stad,5,
nonce,I'm {noun_phrase}.,mell,5,
nonce,I'm {noun_phrase}.,coodle,5,
nonce,I'm {noun_phrase}.,blicket,5,
political_ideologies,I'm {noun_phrase}.,liberal,5,
nonce,I'm {noun_phrase}.,doff,5,
nonce,I'm {noun_phrase}.,tannin,5,
ability,I'm {noun_phrase}.,non-neurotypical,5,
ability,I'm {noun_phrase}.,paralyzed,5,
ability,I'm {noun_phrase}.,paraplegic,5,
ability,I'm {noun_phrase}.,wheelchair-bound,5,
ability,I'm {noun_phrase}.,dyslexic,5,
ability,I'm {noun_phrase}.,neuroatypical,5,
ability,I'm {noun_phrase}.,able-bodied,5,
ability,I'm {noun_phrase}.,nondisabled,5,
ability,I'm {noun_phrase}.,non-disabled,5,
nonce,I'm {noun_phrase}.,tulver,6,
nonce,I'm {noun_phrase}.,fitch,6,
sexual_orientation,I'm {noun_phrase}.,pan,6,
political_ideologies,I'm {noun_phrase}.,libertarian,6,
age,I'm {noun_phrase}.,young-at-heart,7,
sexual_orientation,I'm {noun_phrase}.,heterosexual,7,
religion,I'm {noun_phrase}.,Lutheran,7,
age,I'm {noun_phrase}.,middle-aged,7,
religion,I'm {noun_phrase}.,Orthodox Jewish,7,
age,I'm {noun_phrase}.,twenty-year-old,7,
age,I'm {noun_phrase}.,30-year-old,7,
age,I'm {noun_phrase}.,25-year-old,7,
religion,I'm {noun_phrase}.,Conservative Jewish,7,
age,I'm {noun_phrase}.,senior,7,
religion,I'm {noun_phrase}.,Sunni,7,
age,I'm {noun_phrase}.,eighty-something,7,
age,I'm {noun_phrase}.,teenaged,7,
age,I'm {noun_phrase}.,adolescent,7,
age,I'm {noun_phrase}.,teenage,8,
age,I'm {noun_phrase}.,older,8,
sexual_orientation,I'm {noun_phrase}.,homosexual,8,
religion,I'm {noun_phrase}.,Buddhist,8,
sexual_orientation,I'm {noun_phrase}.,hetero,8,
nationality,I'm {noun_phrase}.,Dominican-American,8,
age,I'm {noun_phrase}.,eighty-five-year-old,8,
age,I'm {noun_phrase}.,ninety-year-old,8,
age,I'm {noun_phrase}.,younger,8,
age,I'm {noun_phrase}.,20-year-old,8,
sexual_orientation,I'm {noun_phrase}.,demisexual,9,
religion,I'm {noun_phrase}.,Jain,9,
nationality,I'm {noun_phrase}.,Guatemalan-American,9,
sexual_orientation,I'm {noun_phrase}.,polyamorous,9,
sexual_orientation,I'm {noun_phrase}.,pansexual,9,
political_ideologies,I'm {noun_phrase}.,socialist,9,
nationality,I'm {noun_phrase}.,Mexican-American,9,
religion,I'm {noun_phrase}.,Pagan,9,
sexual_orientation,I'm {noun_phrase}.,straight,9,
cultural,I'm {noun_phrase}.,privileged,9,
nationality,I'm {noun_phrase}.,Vietnamese-American,9,
sexual_orientation,I'm {noun_phrase}.,asexual,9,
religion,I'm {noun_phrase}.,Rastafarian,9,
sexual_orientation,I'm {noun_phrase}.,queer,9,
religion,I'm {noun_phrase}.,Christian,9,
religion,I'm {noun_phrase}.,Evangelical,9,
religion,I'm {noun_phrase}.,Shia,9,
cultural,I'm {noun_phrase}.,Gen-X,9,
sexual_orientation,I'm {noun_phrase}.,poly,9,
religion,I'm {noun_phrase}.,Catholic,9,
nationality,I'm {noun_phrase}.,Salvadoran,9,
nationality,I'm {noun_phrase}.,Chinese,9,
nationality,I'm {noun_phrase}.,Korean,9,
nationality,I'm {noun_phrase}.,Vietnamese,9,
nationality,I'm {noun_phrase}.,American-Born Chinese,9,
nationality,I'm {noun_phrase}.,Indian,9,
nationality,I'm {noun_phrase}.,Chinese-American,9,
age,I'm {noun_phrase}.,75-year-old,10,
