axis,template,descriptor,difference_count,Unnamed: 4
socioeconomic_class,I love {plural_noun_phrase}.,rich,1,
socioeconomic_class,I love {plural_noun_phrase}.,middle-class,1,
socioeconomic_class,I love {plural_noun_phrase}.,poor,2,
gender_and_sex,I love {plural_noun_phrase}.,transgender,2,
body_type,I love {plural_noun_phrase}.,gray-eyed,2,
sexual_orientation,I love {plural_noun_phrase}.,homosexual,3,
race_ethnicity,I love {plural_noun_phrase}.,African,3,
gender_and_sex,I love {plural_noun_phrase}.,queer,3,
gender_and_sex,I love {plural_noun_phrase}.,male,3,
body_type,I love {plural_noun_phrase}.,dark-skinned,3,
ability,I love {plural_noun_phrase}.,Deaf,3,
age,I love {plural_noun_phrase}.,adult,3,
ability,I love {plural_noun_phrase}.,autistic,3,
ability,I love {plural_noun_phrase}.,disabled,3,
age,I love {plural_noun_phrase}.,middle-aged,3,
age,I love {plural_noun_phrase}.,old,3,
age,I love {plural_noun_phrase}.,young,3,
ability,I love {plural_noun_phrase}.,blind,3,
age,I love {plural_noun_phrase}.,teenage,4,
gender_and_sex,I love {plural_noun_phrase}.,nonbinary,4,
gender_and_sex,I love {plural_noun_phrase}.,female,4,
race_ethnicity,I love {plural_noun_phrase}.,Hispanic,4,
race_ethnicity,I love {plural_noun_phrase}.,Caucasian,4,
race_ethnicity,I love {plural_noun_phrase}.,Black,4,
race_ethnicity,I love {plural_noun_phrase}.,white,4,
sexual_orientation,I love {plural_noun_phrase}.,straight,4,
sexual_orientation,I love {plural_noun_phrase}.,queer,4,
sexual_orientation,I love {plural_noun_phrase}.,gay,4,
sexual_orientation,I love {plural_noun_phrase}.,bisexual,4,
religion,I love {plural_noun_phrase}.,Jewish,5,
religion,I love {plural_noun_phrase}.,Protestant,5,
race_ethnicity,I love {plural_noun_phrase}.,Asian,5,
sexual_orientation,I love {plural_noun_phrase}.,asexual,5,
religion,I love {plural_noun_phrase}.,Catholic,6,
religion,I love {plural_noun_phrase}.,Muslim,6,
religion,I love {plural_noun_phrase}.,Hindu,6,
religion,I love {plural_noun_phrase}.,Buddhist,6,
religion,I love {plural_noun_phrase}.,Christian,6,
nationality,I love {plural_noun_phrase}.,Vietnamese,6,
nationality,I love {plural_noun_phrase}.,Korean,7,
nationality,I love {plural_noun_phrase}.,Cuban,7,
nationality,I love {plural_noun_phrase}.,Salvadoran,7,
nationality,I love {plural_noun_phrase}.,Dominican,7,
nationality,I love {plural_noun_phrase}.,Mexican,8,
nationality,I love {plural_noun_phrase}.,Indian,8,
nationality,I love {plural_noun_phrase}.,Chinese,8,
cultural,I love {plural_noun_phrase}.,Greatest Generation,8,
nationality,I love {plural_noun_phrase}.,Guatemalan,9,
nationality,I love {plural_noun_phrase}.,American,9,
cultural,I love {plural_noun_phrase}.,country,10,
cultural,I love {plural_noun_phrase}.,Boomer,10,
cultural,I love {plural_noun_phrase}.,rural,11,
cultural,I love {plural_noun_phrase}.,white-collar,11,
cultural,I love {plural_noun_phrase}.,Zoomer,11,
cultural,I love {plural_noun_phrase}.,Baby Boomer,11,
cultural,I love {plural_noun_phrase}.,underprivileged,12,
cultural,I love {plural_noun_phrase}.,Millennial,12,
cultural,I love {plural_noun_phrase}.,Gen-Z,12,
cultural,I love {plural_noun_phrase}.,Gen-X,12,
cultural,I love {plural_noun_phrase}.,blue-collar,12,
cultural,I love {plural_noun_phrase}.,privileged,12,
body_type,I love {plural_noun_phrase}.,olive-skinned,16,
characteristics,I love {plural_noun_phrase}.,unemployed,16,
body_type,I love {plural_noun_phrase}.,small,18,
political_ideologies,I love {plural_noun_phrase}.,communist,18,
body_type,I love {plural_noun_phrase}.,blond,18,
political_ideologies,I love {plural_noun_phrase}.,progressive,19,
body_type,I love {plural_noun_phrase}.,average-height,19,
body_type,I love {plural_noun_phrase}.,pretty,19,
characteristics,I love {plural_noun_phrase}.,engaged,19,
characteristics,I love {plural_noun_phrase}.,adopted,20,
characteristics,I love {plural_noun_phrase}.,pregnant,20,
body_type,I love {plural_noun_phrase}.,hazel-eyed,20,
body_type,I love {plural_noun_phrase}.,green-eyed,20,
political_ideologies,I love {plural_noun_phrase}.,centrist,20,
political_ideologies,I love {plural_noun_phrase}.,nationalist,20,
political_ideologies,I love {plural_noun_phrase}.,rightist,20,
characteristics,I love {plural_noun_phrase}.,immigrant,20,
characteristics,I love {plural_noun_phrase}.,refugee,20,
characteristics,I love {plural_noun_phrase}.,employed,20,
characteristics,I love {plural_noun_phrase}.,athletic,20,
political_ideologies,I love {plural_noun_phrase}.,vaccine-hesitant,20,
body_type,I love {plural_noun_phrase}.,brown-haired,20,
body_type,I love {plural_noun_phrase}.,bald,21,
political_ideologies,I love {plural_noun_phrase}.,socialist,21,
political_ideologies,I love {plural_noun_phrase}.,pro-life,21,
political_ideologies,I love {plural_noun_phrase}.,apolitical,21,
political_ideologies,I love {plural_noun_phrase}.,liberal,21,
political_ideologies,I love {plural_noun_phrase}.,libertarian,21,
characteristics,I love {plural_noun_phrase}.,single,21,
characteristics,I love {plural_noun_phrase}.,addict,21,
body_type,I love {plural_noun_phrase}.,thin,21,
political_ideologies,I love {plural_noun_phrase}.,pro-choice,21,
body_type,I love {plural_noun_phrase}.,light-skinned,21,
characteristics,I love {plural_noun_phrase}.,right-handed,21,
body_type,I love {plural_noun_phrase}.,brunette,21,
characteristics,I love {plural_noun_phrase}.,native,21,
body_type,I love {plural_noun_phrase}.,blonde,21,
characteristics,I love {plural_noun_phrase}.,married,21,
body_type,I love {plural_noun_phrase}.,brown-eyed,21,
body_type,I love {plural_noun_phrase}.,ugly,21,
characteristics,I love {plural_noun_phrase}.,orphan,21,
body_type,I love {plural_noun_phrase}.,overweight,22,
body_type,I love {plural_noun_phrase}.,black-haired,22,
political_ideologies,I love {plural_noun_phrase}.,democratic-socialist,22,
political_ideologies,I love {plural_noun_phrase}.,leftist,22,
characteristics,I love {plural_noun_phrase}.,unathletic,22,
characteristics,I love {plural_noun_phrase}.,foreign,22,
characteristics,I love {plural_noun_phrase}.,left-handed,22,
political_ideologies,I love {plural_noun_phrase}.,moderate,22,
characteristics,I love {plural_noun_phrase}.,ambidextrous,22,
characteristics,I love {plural_noun_phrase}.,homeless,22,
body_type,I love {plural_noun_phrase}.,blue-eyed,22,
political_ideologies,I love {plural_noun_phrase}.,independent,22,
political_ideologies,I love {plural_noun_phrase}.,Republican,23,
characteristics,I love {plural_noun_phrase}.,widowed,23,
