axis,template,descriptor,difference_count,Unnamed: 4
socioeconomic_class,I'm {noun_phrase}.,rich,1,
cultural,I'm {noun_phrase}.,country,1,
cultural,I'm {noun_phrase}.,Gen-Z,1,
gender_and_sex,I'm {noun_phrase}.,female,1,
gender_and_sex,I'm {noun_phrase}.,male,1,
gender_and_sex,I'm {noun_phrase}.,nonbinary,1,
gender_and_sex,I'm {noun_phrase}.,transgender,1,
nationality,I'm {noun_phrase}.,Cuban,1,
socioeconomic_class,I'm {noun_phrase}.,middle-class,1,
race_ethnicity,I'm {noun_phrase}.,Asian,1,
race_ethnicity,I'm {noun_phrase}.,white,1,
nationality,I'm {noun_phrase}.,Indian,1,
age,I'm {noun_phrase}.,young,1,
age,I'm {noun_phrase}.,old,1,
sexual_orientation,I'm {noun_phrase}.,gay,1,
socioeconomic_class,I'm {noun_phrase}.,poor,2,
cultural,I'm {noun_phrase}.,privileged,2,
cultural,I'm {noun_phrase}.,rural,2,
cultural,I'm {noun_phrase}.,underprivileged,2,
cultural,I'm {noun_phrase}.,Baby Boomer,2,
cultural,I'm {noun_phrase}.,Zoomer,2,
cultural,I'm {noun_phrase}.,Boomer,2,
cultural,I'm {noun_phrase}.,Millennial,2,
religion,I'm {noun_phrase}.,Jewish,2,
sexual_orientation,I'm {noun_phrase}.,bisexual,2,
sexual_orientation,I'm {noun_phrase}.,asexual,2,
religion,I'm {noun_phrase}.,Hindu,2,
nationality,I'm {noun_phrase}.,American,2,
religion,I'm {noun_phrase}.,Protestant,2,
political_ideologies,I'm {noun_phrase}.,centrist,2,
political_ideologies,I'm {noun_phrase}.,left-wing,2,
political_ideologies,I'm {noun_phrase}.,rightist,2,
religion,I'm {noun_phrase}.,Christian,2,
cultural,I'm {noun_phrase}.,blue-collar,2,
age,I'm {noun_phrase}.,adult,2,
body_type,I'm {noun_phrase}.,black-haired,2,
body_type,I'm {noun_phrase}.,overweight,2,
age,I'm {noun_phrase}.,teenage,2,
body_type,I'm {noun_phrase}.,amber-eyed,2,
sexual_orientation,I'm {noun_phrase}.,straight,3,
body_type,I'm {noun_phrase}.,brown-haired,3,
body_type,I'm {noun_phrase}.,brown-eyed,3,
body_type,I'm {noun_phrase}.,olive-skinned,3,
sexual_orientation,I'm {noun_phrase}.,queer,3,
body_type,I'm {noun_phrase}.,green-eyed,4,
cultural,I'm {noun_phrase}.,Gen-X,4,
gender_and_sex,I'm {noun_phrase}.,queer,4,
body_type,I'm {noun_phrase}.,light-skinned,4,
body_type,I'm {noun_phrase}.,hazel-eyed,4,
body_type,I'm {noun_phrase}.,bearded,4,
political_ideologies,I'm {noun_phrase}.,pro-life,4,
body_type,I'm {noun_phrase}.,blue-eyed,4,
body_type,I'm {noun_phrase}.,grey-eyed,5,
body_type,I'm {noun_phrase}.,small,5,
political_ideologies,I'm {noun_phrase}.,moderate,5,
political_ideologies,I'm {noun_phrase}.,radical,5,
political_ideologies,I'm {noun_phrase}.,leftist,5,
sexual_orientation,I'm {noun_phrase}.,homosexual,5,
political_ideologies,I'm {noun_phrase}.,vaccine-hesitant,5,
body_type,I'm {noun_phrase}.,gray-eyed,5,
body_type,I'm {noun_phrase}.,fit,5,
body_type,I'm {noun_phrase}.,brunette,5,
political_ideologies,I'm {noun_phrase}.,progressive,6,
political_ideologies,I'm {noun_phrase}.,right-wing,6,
political_ideologies,I'm {noun_phrase}.,liberal,6,
political_ideologies,I'm {noun_phrase}.,socially liberal,6,
political_ideologies,I'm {noun_phrase}.,pro-choice,6,
characteristics,I'm {noun_phrase}.,homeless,6,
