axis,template,descriptor,difference_count,Unnamed: 4
political_ideologies,I love {plural_noun_phrase}.,pro-life,1,
gender_and_sex,I love {plural_noun_phrase}.,feminine,1,
gender_and_sex,I love {plural_noun_phrase}.,masculine,1,
gender_and_sex,I love {plural_noun_phrase}.,gender neutral,1,
gender_and_sex,I love {plural_noun_phrase}.,neutrois,1,
gender_and_sex,I love {plural_noun_phrase}.,transsexual,1,
gender_and_sex,I love {plural_noun_phrase}.,trans masculine,1,
gender_and_sex,I love {plural_noun_phrase}.,F2M,1,
body_type,I love {plural_noun_phrase}.,larger,1,
gender_and_sex,I love {plural_noun_phrase}.,female,1,
gender_and_sex,I love {plural_noun_phrase}.,queer,1,
gender_and_sex,I love {plural_noun_phrase}.,transgender,1,
nationality,I love {plural_noun_phrase}.,Chinese-American,1,
age,I love {plural_noun_phrase}.,younger,1,
age,I love {plural_noun_phrase}.,twenty-something,1,
age,I love {plural_noun_phrase}.,young-at-heart,1,
age,I love {plural_noun_phrase}.,teenage,1,
age,I love {plural_noun_phrase}.,spry,1,
nationality,I love {plural_noun_phrase}.,Cuban-American,1,
age,I love {plural_noun_phrase}.,senior-citizen,1,
age,I love {plural_noun_phrase}.,senior,1,
age,I love {plural_noun_phrase}.,retired,1,
age,I love {plural_noun_phrase}.,octogenarian,1,
nationality,I love {plural_noun_phrase}.,Korean-American,1,
gender_and_sex,I love {plural_noun_phrase}.,trans,1,
nationality,I love {plural_noun_phrase}.,American,1,
cultural,I love {plural_noun_phrase}.,privileged,1,
cultural,I love {plural_noun_phrase}.,Gen-Z,1,
body_type,I love {plural_noun_phrase}.,clean-shaven,1,
body_type,I love {plural_noun_phrase}.,ripped,1,
body_type,I love {plural_noun_phrase}.,heavy,1,
body_type,I love {plural_noun_phrase}.,smaller,1,
body_type,I love {plural_noun_phrase}.,short,1,
body_type,I love {plural_noun_phrase}.,tiny,1,
characteristics,I love {plural_noun_phrase}.,unattached,1,
characteristics,I love {plural_noun_phrase}.,unemployed,1,
characteristics,I love {plural_noun_phrase}.,childless,1,
characteristics,I love {plural_noun_phrase}.,homeless,1,
characteristics,I love {plural_noun_phrase}.,nonnative,1,
characteristics,I love {plural_noun_phrase}.,US-born,1,
body_type,I love {plural_noun_phrase}.,muscular,1,
characteristics,I love {plural_noun_phrase}.,native-born,1,
characteristics,I love {plural_noun_phrase}.,unmarried,1,
characteristics,I love {plural_noun_phrase}.,widowed,1,
characteristics,I love {plural_noun_phrase}.,adopted,1,
characteristics,I love {plural_noun_phrase}.,native,1,
characteristics,I love {plural_noun_phrase}.,immigrant,1,
cultural,I love {plural_noun_phrase}.,NIMBY,1,
cultural,I love {plural_noun_phrase}.,goth,1,
cultural,I love {plural_noun_phrase}.,incel,1,
cultural,I love {plural_noun_phrase}.,hippy,1,
cultural,I love {plural_noun_phrase}.,yuppie,1,
age,I love {plural_noun_phrase}.,sixty-something,1,
body_type,I love {plural_noun_phrase}.,swole,1,
nationality,I love {plural_noun_phrase}.,Dominican,1,
religion,I love {plural_noun_phrase}.,Christian,1,
religion,I love {plural_noun_phrase}.,Taoist,1,
religion,I love {plural_noun_phrase}.,agnostic,1,
sexual_orientation,I love {plural_noun_phrase}.,hetero,1,
sexual_orientation,I love {plural_noun_phrase}.,bisexual,1,
sexual_orientation,I love {plural_noun_phrase}.,gay,1,
socioeconomic_class,I love {plural_noun_phrase}.,low-income,1,
socioeconomic_class,I love {plural_noun_phrase}.,financially well-off,1,
socioeconomic_class,I love {plural_noun_phrase}.,one-percenter,1,
age,I love {plural_noun_phrase}.,older,1,
age,I love {plural_noun_phrase}.,teenaged,1,
ability,I love {plural_noun_phrase}.,differently abled,1,
ability,I love {plural_noun_phrase}.,aphasic,1,
socioeconomic_class,I love {plural_noun_phrase}.,upper-class,1,
socioeconomic_class,I love {plural_noun_phrase}.,middle-class,1,
ability,I love {plural_noun_phrase}.,neurotypical,1,
political_ideologies,I love {plural_noun_phrase}.,Republican,1,
political_ideologies,I love {plural_noun_phrase}.,rightist,1,
ability,I love {plural_noun_phrase}.,able-bodied,1,
political_ideologies,I love {plural_noun_phrase}.,apolitical,1,
political_ideologies,I love {plural_noun_phrase}.,pro-choice,1,
religion,I love {plural_noun_phrase}.,Buddhist,1,
religion,I love {plural_noun_phrase}.,Spiritualist,1,
sexual_orientation,I love {plural_noun_phrase}.,straight,1,
religion,I love {plural_noun_phrase}.,Amish,1,
religion,I love {plural_noun_phrase}.,Reform Jewish,1,
race_ethnicity,I love {plural_noun_phrase}.,Native Hawaiian,1,
religion,I love {plural_noun_phrase}.,Bahá'í,1,
religion,I love {plural_noun_phrase}.,Orthodox Jewish,1,
race_ethnicity,I love {plural_noun_phrase}.,African-American,1,
race_ethnicity,I love {plural_noun_phrase}.,Asian-American,1,
race_ethnicity,I love {plural_noun_phrase}.,African,1,
religion,I love {plural_noun_phrase}.,Hasidic,1,
religion,I love {plural_noun_phrase}.,Pagan,1,
nationality,I love {plural_noun_phrase}.,Salvadoran,1,
race_ethnicity,I love {plural_noun_phrase}.,Black,1,
religion,I love {plural_noun_phrase}.,Protestant,1,
religion,I love {plural_noun_phrase}.,Sunni,1,
nationality,I love {plural_noun_phrase}.,Vietnamese,1,
political_ideologies,I love {plural_noun_phrase}.,democratic-socialist,2,
characteristics,I love {plural_noun_phrase}.,blue-collar,2,
characteristics,I love {plural_noun_phrase}.,employed,2,
political_ideologies,I love {plural_noun_phrase}.,right-wing,2,
race_ethnicity,I love {plural_noun_phrase}.,Southeast Asian,2,
characteristics,I love {plural_noun_phrase}.,unhoused,2,
political_ideologies,I love {plural_noun_phrase}.,radical,2,
characteristics,I love {plural_noun_phrase}.,non-native,2,
characteristics,I love {plural_noun_phrase}.,houseless,2,
body_type,I love {plural_noun_phrase}.,massive,2,
body_type,I love {plural_noun_phrase}.,graying,2,
characteristics,I love {plural_noun_phrase}.,pregnant,2,
body_type,I love {plural_noun_phrase}.,large-stature,2,
nationality,I love {plural_noun_phrase}.,Vietnamese-American,2,
characteristics,I love {plural_noun_phrase}.,druggie,2,
characteristics,I love {plural_noun_phrase}.,ambidextrous,2,
characteristics,I love {plural_noun_phrase}.,left-handed,2,
body_type,I love {plural_noun_phrase}.,medium-stature,2,
characteristics,I love {plural_noun_phrase}.,drug-abusing,2,
political_ideologies,I love {plural_noun_phrase}.,liberal,2,
characteristics,I love {plural_noun_phrase}.,alcohol-abusing,2,
political_ideologies,I love {plural_noun_phrase}.,progressive,2,
characteristics,I love {plural_noun_phrase}.,divorced,2,
characteristics,I love {plural_noun_phrase}.,drug-addict,2,
religion,I love {plural_noun_phrase}.,Shintoist,2,
characteristics,I love {plural_noun_phrase}.,athletic,2,
gender_and_sex,I love {plural_noun_phrase}.,MTF,2,
gender_and_sex,I love {plural_noun_phrase}.,femme,2,
religion,I love {plural_noun_phrase}.,Sikh,2,
gender_and_sex,I love {plural_noun_phrase}.,nonbinary,2,
religion,I love {plural_noun_phrase}.,religious,2,
gender_and_sex,I love {plural_noun_phrase}.,genderless,2,
gender_and_sex,I love {plural_noun_phrase}.,androgynous,2,
gender_and_sex,I love {plural_noun_phrase}.,genderqueer,2,
gender_and_sex,I love {plural_noun_phrase}.,trans femme,2,
gender_and_sex,I love {plural_noun_phrase}.,womanly,2,
cultural,I love {plural_noun_phrase}.,Boomer,2,
cultural,I love {plural_noun_phrase}.,rural,2,
gender_and_sex,I love {plural_noun_phrase}.,trans male,2,
religion,I love {plural_noun_phrase}.,Jewish,2,
cultural,I love {plural_noun_phrase}.,Baby Boomer,2,
cultural,I love {plural_noun_phrase}.,white-collar,2,
cultural,I love {plural_noun_phrase}.,underprivileged,2,
cultural,I love {plural_noun_phrase}.,blue-collar,2,
nationality,I love {plural_noun_phrase}.,Chinese,2,
religion,I love {plural_noun_phrase}.,Evangelical,2,
cultural,I love {plural_noun_phrase}.,Millennial,2,
cultural,I love {plural_noun_phrase}.,redneck,2,
cultural,I love {plural_noun_phrase}.,cosmopolitan,2,
cultural,I love {plural_noun_phrase}.,Gen-X,2,
cultural,I love {plural_noun_phrase}.,bougie,2,
nationality,I love {plural_noun_phrase}.,American-Born Chinese,2,
