axis,template,descriptor,difference_count,Unnamed: 4
political_ideologies,I'm {noun_phrase}.,right-wing,1,
ability,I'm {noun_phrase}.,low-vision,1,
sexual_orientation,I'm {noun_phrase}.,pansexual,1,
age,I'm {noun_phrase}.,teen,1,
socioeconomic_class,I'm {noun_phrase}.,well-to-do,1,
nationality,I'm {noun_phrase}.,Cuban,1,
socioeconomic_class,I'm {noun_phrase}.,moneyed,1,
socioeconomic_class,I'm {noun_phrase}.,affluent,1,
nationality,I'm {noun_phrase}.,Dominican,1,
nationality,I'm {noun_phrase}.,Vietnamese,1,
age,I'm {noun_phrase}.,spry,1,
age,I'm {noun_phrase}.,retired,1,
political_ideologies,I'm {noun_phrase}.,left-wing,1,
race_ethnicity,I'm {noun_phrase}.,Latine,1,
race_ethnicity,I'm {noun_phrase}.,Arabic,1,
race_ethnicity,I'm {noun_phrase}.,Native American,1,
race_ethnicity,I'm {noun_phrase}.,white,1,
religion,I'm {noun_phrase}.,Pagan,1,
religion,I'm {noun_phrase}.,Spiritualist,1,
sexual_orientation,I'm {noun_phrase}.,ace,1,
sexual_orientation,I'm {noun_phrase}.,bi,1,
sexual_orientation,I'm {noun_phrase}.,homosexual,1,
ability,I'm {noun_phrase}.,mute,1,
socioeconomic_class,I'm {noun_phrase}.,rich,1,
age,I'm {noun_phrase}.,adolescent,1,
political_ideologies,I'm {noun_phrase}.,nationalist,1,
ability,I'm {noun_phrase}.,quadriplegic,1,
cultural,I'm {noun_phrase}.,bougie,1,
characteristics,I'm {noun_phrase}.,adopted,1,
characteristics,I'm {noun_phrase}.,separated,1,
cultural,I'm {noun_phrase}.,blue-collar,1,
cultural,I'm {noun_phrase}.,Gen-Z,1,
characteristics,I'm {noun_phrase}.,orphan,1,
cultural,I'm {noun_phrase}.,Greatest Generation,1,
political_ideologies,I'm {noun_phrase}.,centrist,1,
gender_and_sex,I'm {noun_phrase}.,AMAB,1,
gender_and_sex,I'm {noun_phrase}.,enby,1,
characteristics,I'm {noun_phrase}.,addict,1,
gender_and_sex,I'm {noun_phrase}.,bigender,1,
gender_and_sex,I'm {noun_phrase}.,trans fem,1,
gender_and_sex,I'm {noun_phrase}.,F2M,1,
cultural,I'm {noun_phrase}.,Zoomer,1,
religion,I'm {noun_phrase}.,Unitarian,2,
religion,I'm {noun_phrase}.,Sunni,2,
characteristics,I'm {noun_phrase}.,casual worker,2,
nationality,I'm {noun_phrase}.,Cuban-American,2,
cultural,I'm {noun_phrase}.,Boomer,2,
race_ethnicity,I'm {noun_phrase}.,AAPI,2,
nationality,I'm {noun_phrase}.,Indian,2,
age,I'm {noun_phrase}.,teenage,2,
nationality,I'm {noun_phrase}.,Mexican,2,
nationality,I'm {noun_phrase}.,Korean-American,2,
gender_and_sex,I'm {noun_phrase}.,trans masculine,2,
cultural,I'm {noun_phrase}.,hippy,2,
