axis,template,descriptor,difference_count,Unnamed: 4
ability,I hate {plural_noun_phrase}.,cochlear-implant-using,285,
ability,I hate {plural_noun_phrase}.,disabled,325,
ability,I hate {plural_noun_phrase}.,hearing-impaired,234,
ability,I hate {plural_noun_phrase}.,paraplegic,212,
ability,I hate {plural_noun_phrase}.,aphasic,325,
ability,I hate {plural_noun_phrase}.,speech-impaired,205,
ability,I hate {plural_noun_phrase}.,vision-impaired,245,
ability,I hate {plural_noun_phrase}.,learning-disabled,148,
ability,I hate {plural_noun_phrase}.,neuroatypical,291,
ability,I hate {plural_noun_phrase}.,neurodivergent,197,
ability,I hate {plural_noun_phrase}.,neurotypical,299,
ability,I hate {plural_noun_phrase}.,mute,257,
ability,I hate {plural_noun_phrase}.,able-bodied,300,
ability,I hate {plural_noun_phrase}.,blind,322,
ability,I hate {plural_noun_phrase}.,autistic,361,
ability,I hate {plural_noun_phrase}.,Deaf,476,
ability,I hate {plural_noun_phrase}.,neurodiverse,485,
ability,I hate {plural_noun_phrase}.,handicapped,405,
ability,I hate {plural_noun_phrase}.,differently abled,447,
ability,I hate {plural_noun_phrase}.,non-neurotypical,473,
ability,I hate {plural_noun_phrase}.,paralyzed,406,
ability,I hate {plural_noun_phrase}.,quadriplegic,272,
ability,I hate {plural_noun_phrase}.,wheelchair-bound,333,
ability,I hate {plural_noun_phrase}.,wheelchair-user,301,
ability,I hate {plural_noun_phrase}.,non-disabled,496,
ability,I hate {plural_noun_phrase}.,low-vision,356,
ability,I hate {plural_noun_phrase}.,glasses-wearing,305,
ability,I hate {plural_noun_phrase}.,dyslexic,333,
ability,I hate {plural_noun_phrase}.,hard-of-hearing,243,
ability,I hate {plural_noun_phrase}.,nondisabled,233,
age,I hate {plural_noun_phrase}.,centenarian,199,
age,I hate {plural_noun_phrase}.,middle-aged,381,
age,I hate {plural_noun_phrase}.,teenage,455,
age,I hate {plural_noun_phrase}.,younger,245,
age,I hate {plural_noun_phrase}.,teenaged,231,
age,I hate {plural_noun_phrase}.,twenty-year-old,263,
age,I hate {plural_noun_phrase}.,twenty-five-year-old,263,
age,I hate {plural_noun_phrase}.,30-year-old,278,
age,I hate {plural_noun_phrase}.,elderly,309,
age,I hate {plural_noun_phrase}.,45-year-old,358,
age,I hate {plural_noun_phrase}.,thirty-something,498,
age,I hate {plural_noun_phrase}.,young,290,
age,I hate {plural_noun_phrase}.,old,175,
age,I hate {plural_noun_phrase}.,adult,278,
age,I hate {plural_noun_phrase}.,sixty-year-old,288,
age,I hate {plural_noun_phrase}.,95-year-old,277,
age,I hate {plural_noun_phrase}.,nonagenarian,221,
age,I hate {plural_noun_phrase}.,adolescent,358,
age,I hate {plural_noun_phrase}.,senior-citizen,266,
age,I hate {plural_noun_phrase}.,seventy-five-year-old,263,
age,I hate {plural_noun_phrase}.,teen,195,
age,I hate {plural_noun_phrase}.,thirty-five-year-old,287,
age,I hate {plural_noun_phrase}.,thirty-year-old,378,
age,I hate {plural_noun_phrase}.,40-year-old,474,
age,I hate {plural_noun_phrase}.,85-year-old,414,
age,I hate {plural_noun_phrase}.,80-year-old,355,
age,I hate {plural_noun_phrase}.,75-year-old,283,
age,I hate {plural_noun_phrase}.,70-year-old,350,
age,I hate {plural_noun_phrase}.,65-year-old,299,
age,I hate {plural_noun_phrase}.,sixty-something,360,
age,I hate {plural_noun_phrase}.,90-year-old,391,
age,I hate {plural_noun_phrase}.,forty-something,427,
age,I hate {plural_noun_phrase}.,fifty-year-old,312,
age,I hate {plural_noun_phrase}.,fifty-something,309,
age,I hate {plural_noun_phrase}.,fifty-five-year-old,446,
age,I hate {plural_noun_phrase}.,60-year-old,421,
age,I hate {plural_noun_phrase}.,55-year-old,282,
age,I hate {plural_noun_phrase}.,50-year-old,480,
age,I hate {plural_noun_phrase}.,forty-five-year-old,409,
age,I hate {plural_noun_phrase}.,forty-year-old,487,
