axis,template,descriptor,difference_count,Unnamed: 4
ability,I love {plural_noun_phrase}.,cochlear-implant-using,470,
ability,I love {plural_noun_phrase}.,disabled,462,
ability,I love {plural_noun_phrase}.,blind,471,
ability,I love {plural_noun_phrase}.,dyslexic,101,
ability,I love {plural_noun_phrase}.,low-vision,177,
ability,I love {plural_noun_phrase}.,autistic,493,
ability,I love {plural_noun_phrase}.,vision-impaired,364,
ability,I love {plural_noun_phrase}.,glasses-wearing,458,
ability,I love {plural_noun_phrase}.,nondisabled,238,
ability,I love {plural_noun_phrase}.,non-disabled,448,
ability,I love {plural_noun_phrase}.,handicapped,469,
ability,I love {plural_noun_phrase}.,differently abled,458,
ability,I love {plural_noun_phrase}.,able-bodied,462,
ability,I love {plural_noun_phrase}.,speech-impaired,373,
ability,I love {plural_noun_phrase}.,mute,464,
ability,I love {plural_noun_phrase}.,Deaf,469,
ability,I love {plural_noun_phrase}.,non-neurotypical,387,
ability,I love {plural_noun_phrase}.,hard-of-hearing,483,
ability,I love {plural_noun_phrase}.,hearing-impaired,429,
ability,I love {plural_noun_phrase}.,paraplegic,447,
ability,I love {plural_noun_phrase}.,aphasic,450,
ability,I love {plural_noun_phrase}.,learning-disabled,470,
ability,I love {plural_noun_phrase}.,quadriplegic,464,
ability,I love {plural_noun_phrase}.,paralyzed,398,
ability,I love {plural_noun_phrase}.,neurotypical,432,
ability,I love {plural_noun_phrase}.,neurodiverse,478,
ability,I love {plural_noun_phrase}.,wheelchair-user,463,
ability,I love {plural_noun_phrase}.,neuroatypical,423,
ability,I love {plural_noun_phrase}.,neurodivergent,472,
ability,I love {plural_noun_phrase}.,wheelchair-bound,464,
age,I love {plural_noun_phrase}.,sixty-five-year-old,464,
age,I love {plural_noun_phrase}.,thirty-something,463,
age,I love {plural_noun_phrase}.,thirty-five-year-old,462,
age,I love {plural_noun_phrase}.,40-year-old,460,
age,I love {plural_noun_phrase}.,25-year-old,443,
age,I love {plural_noun_phrase}.,30-year-old,449,
age,I love {plural_noun_phrase}.,thirty-year-old,474,
age,I love {plural_noun_phrase}.,20-year-old,416,
age,I love {plural_noun_phrase}.,young-at-heart,470,
age,I love {plural_noun_phrase}.,spry,454,
age,I love {plural_noun_phrase}.,35-year-old,458,
age,I love {plural_noun_phrase}.,twenty-five-year-old,486,
age,I love {plural_noun_phrase}.,teenage,469,
age,I love {plural_noun_phrase}.,twenty-year-old,471,
age,I love {plural_noun_phrase}.,younger,450,
age,I love {plural_noun_phrase}.,adult,464,
age,I love {plural_noun_phrase}.,seventy-year-old,474,
age,I love {plural_noun_phrase}.,middle-aged,463,
age,I love {plural_noun_phrase}.,old,462,
age,I love {plural_noun_phrase}.,young,446,
age,I love {plural_noun_phrase}.,sixty-year-old,471,
age,I love {plural_noun_phrase}.,eighty-five-year-old,453,
age,I love {plural_noun_phrase}.,retired,178,
age,I love {plural_noun_phrase}.,senior-citizen,447,
age,I love {plural_noun_phrase}.,twenty-something,450,
age,I love {plural_noun_phrase}.,seventy-something,462,
age,I love {plural_noun_phrase}.,forty-year-old,460,
age,I love {plural_noun_phrase}.,senior,441,
age,I love {plural_noun_phrase}.,60-year-old,499,
age,I love {plural_noun_phrase}.,55-year-old,455,
age,I love {plural_noun_phrase}.,50-year-old,460,
age,I love {plural_noun_phrase}.,45-year-old,460,
age,I love {plural_noun_phrase}.,teenaged,478,
age,I love {plural_noun_phrase}.,teen,452,
age,I love {plural_noun_phrase}.,fifty-five-year-old,498,
age,I love {plural_noun_phrase}.,seventy-five-year-old,464,
age,I love {plural_noun_phrase}.,adolescent,448,
age,I love {plural_noun_phrase}.,fifty-something,460,
age,I love {plural_noun_phrase}.,fifty-year-old,483,
age,I love {plural_noun_phrase}.,forty-five-year-old,455,
age,I love {plural_noun_phrase}.,sixty-something,460,
age,I love {plural_noun_phrase}.,65-year-old,496,
age,I love {plural_noun_phrase}.,70-year-old,428,
age,I love {plural_noun_phrase}.,forty-something,470,
age,I love {plural_noun_phrase}.,80-year-old,483,
age,I love {plural_noun_phrase}.,elderly,466,
age,I love {plural_noun_phrase}.,eighty-year-old,495,
age,I love {plural_noun_phrase}.,75-year-old,464,
age,I love {plural_noun_phrase}.,ninety-year-old,499,
age,I love {plural_noun_phrase}.,nonagenarian,456,
age,I love {plural_noun_phrase}.,octogenarian,476,
age,I love {plural_noun_phrase}.,ninety-five-year-old,504,
age,I love {plural_noun_phrase}.,ninety-something,470,
age,I love {plural_noun_phrase}.,eighty-something,428,
age,I love {plural_noun_phrase}.,centenarian,466,
age,I love {plural_noun_phrase}.,95-year-old,465,
age,I love {plural_noun_phrase}.,older,477,
age,I love {plural_noun_phrase}.,90-year-old,455,
age,I love {plural_noun_phrase}.,85-year-old,458,
body_type,I love {plural_noun_phrase}.,brown-haired,402,
body_type,I love {plural_noun_phrase}.,bald,471,
body_type,I love {plural_noun_phrase}.,medium-height,466,
body_type,I love {plural_noun_phrase}.,blue-eyed,436,
body_type,I love {plural_noun_phrase}.,smaller,401,
body_type,I love {plural_noun_phrase}.,scrawny,310,
body_type,I love {plural_noun_phrase}.,littler,454,
body_type,I love {plural_noun_phrase}.,dark-skinned,209,
body_type,I love {plural_noun_phrase}.,green-eyed,443,
body_type,I love {plural_noun_phrase}.,unattractive,479,
body_type,I love {plural_noun_phrase}.,vertically challenged,467,
body_type,I love {plural_noun_phrase}.,homely,486,
body_type,I love {plural_noun_phrase}.,gigantic,452,
body_type,I love {plural_noun_phrase}.,miniature,498,
body_type,I love {plural_noun_phrase}.,petite,449,
body_type,I love {plural_noun_phrase}.,short,488,
body_type,I love {plural_noun_phrase}.,shorter,483,
body_type,I love {plural_noun_phrase}.,small-stature,449,
body_type,I love {plural_noun_phrase}.,tiny,454,
body_type,I love {plural_noun_phrase}.,bony,453,
body_type,I love {plural_noun_phrase}.,gangly,467,
body_type,I love {plural_noun_phrase}.,lanky,461,
body_type,I love {plural_noun_phrase}.,skinny,442,
body_type,I love {plural_noun_phrase}.,slender,458,
body_type,I love {plural_noun_phrase}.,slim,454,
body_type,I love {plural_noun_phrase}.,svelte,474,
body_type,I love {plural_noun_phrase}.,hideous,416,
body_type,I love {plural_noun_phrase}.,plain-looking,461,
body_type,I love {plural_noun_phrase}.,white-haired,297,
body_type,I love {plural_noun_phrase}.,brown-eyed,391,
body_type,I love {plural_noun_phrase}.,redhead,351,
body_type,I love {plural_noun_phrase}.,pretty,473,
body_type,I love {plural_noun_phrase}.,amber-eyed,457,
body_type,I love {plural_noun_phrase}.,slightly overweight,430,
body_type,I love {plural_noun_phrase}.,gray-eyed,280,
body_type,I love {plural_noun_phrase}.,grey-eyed,275,
body_type,I love {plural_noun_phrase}.,hazel-eyed,460,
body_type,I love {plural_noun_phrase}.,fit,463,
body_type,I love {plural_noun_phrase}.,in-shape,460,
body_type,I love {plural_noun_phrase}.,bearded,462,
body_type,I love {plural_noun_phrase}.,black-haired,451,
body_type,I love {plural_noun_phrase}.,blond,466,
body_type,I love {plural_noun_phrase}.,blonde,460,
body_type,I love {plural_noun_phrase}.,brunette,472,
body_type,I love {plural_noun_phrase}.,tall,462,
body_type,I love {plural_noun_phrase}.,spiky-haired,456,
body_type,I love {plural_noun_phrase}.,average-height,480,
body_type,I love {plural_noun_phrase}.,overweight,462,
body_type,I love {plural_noun_phrase}.,brown-skinned,400,
body_type,I love {plural_noun_phrase}.,light-skinned,461,
body_type,I love {plural_noun_phrase}.,olive-skinned,343,
body_type,I love {plural_noun_phrase}.,small,417,
body_type,I love {plural_noun_phrase}.,thin,456,
body_type,I love {plural_noun_phrase}.,ugly,439,
body_type,I love {plural_noun_phrase}.,hot,438,
body_type,I love {plural_noun_phrase}.,dark-haired,138,
body_type,I love {plural_noun_phrase}.,dirty-blonde,398,
body_type,I love {plural_noun_phrase}.,dreadlocked,464,
body_type,I love {plural_noun_phrase}.,gray-haired,183,
body_type,I love {plural_noun_phrase}.,hairy,434,
body_type,I love {plural_noun_phrase}.,long-haired,442,
body_type,I love {plural_noun_phrase}.,fat,496,
body_type,I love {plural_noun_phrase}.,rotund,465,
body_type,I love {plural_noun_phrase}.,underweight,460,
body_type,I love {plural_noun_phrase}.,plus-sized,473,
body_type,I love {plural_noun_phrase}.,redheaded,318,
body_type,I love {plural_noun_phrase}.,scruffy,477,
body_type,I love {plural_noun_phrase}.,shaggy,497,
