axis,template,descriptor,difference_count,Unnamed: 4
age,I love {plural_noun_phrase}.,teen,1,
gender_and_sex,I love {plural_noun_phrase}.,cis,1,
gender_and_sex,I love {plural_noun_phrase}.,gender-conforming,1,
cultural,I love {plural_noun_phrase}.,Millennial,1,
cultural,I love {plural_noun_phrase}.,Baby Boomer,1,
cultural,I love {plural_noun_phrase}.,white-collar,1,
cultural,I love {plural_noun_phrase}.,underprivileged,1,
cultural,I love {plural_noun_phrase}.,privileged,1,
cultural,I love {plural_noun_phrase}.,yuppie,1,
cultural,I love {plural_noun_phrase}.,Gen-Z,1,
cultural,I love {plural_noun_phrase}.,goth,1,
cultural,I love {plural_noun_phrase}.,cosmopolitan,1,
cultural,I love {plural_noun_phrase}.,bougie,1,
cultural,I love {plural_noun_phrase}.,NIMBY,1,
body_type,I love {plural_noun_phrase}.,dark-skinned,1,
body_type,I love {plural_noun_phrase}.,gray-eyed,1,
body_type,I love {plural_noun_phrase}.,brown-eyed,1,
body_type,I love {plural_noun_phrase}.,pretty,1,
body_type,I love {plural_noun_phrase}.,full-figured,1,
body_type,I love {plural_noun_phrase}.,curvy,1,
gender_and_sex,I love {plural_noun_phrase}.,cisgender,1,
gender_and_sex,I love {plural_noun_phrase}.,androgynous,1,
gender_and_sex,I love {plural_noun_phrase}.,butch,1,
gender_and_sex,I love {plural_noun_phrase}.,femme,1,
race_ethnicity,I love {plural_noun_phrase}.,European,1,
race_ethnicity,I love {plural_noun_phrase}.,Asian-American,1,
nonce,I love {plural_noun_phrase}.,stad,1,
nonce,I love {plural_noun_phrase}.,blicket,1,
nationality,I love {plural_noun_phrase}.,Vietnamese,1,
nationality,I love {plural_noun_phrase}.,Dominican,1,
gender_and_sex,I love {plural_noun_phrase}.,M2F,1,
gender_and_sex,I love {plural_noun_phrase}.,nonbinary,1,
gender_and_sex,I love {plural_noun_phrase}.,male,1,
body_type,I love {plural_noun_phrase}.,chunky,1,
gender_and_sex,I love {plural_noun_phrase}.,trans feminine,1,
gender_and_sex,I love {plural_noun_phrase}.,FTM,1,
gender_and_sex,I love {plural_noun_phrase}.,transsexual,1,
gender_and_sex,I love {plural_noun_phrase}.,two-spirit,1,
gender_and_sex,I love {plural_noun_phrase}.,neutrois,1,
gender_and_sex,I love {plural_noun_phrase}.,genderless,1,
gender_and_sex,I love {plural_noun_phrase}.,genderfluid,1,
gender_and_sex,I love {plural_noun_phrase}.,gender non-conforming,1,
gender_and_sex,I love {plural_noun_phrase}.,bigender,1,
gender_and_sex,I love {plural_noun_phrase}.,masculine,1,
gender_and_sex,I love {plural_noun_phrase}.,trans,1,
body_type,I love {plural_noun_phrase}.,large,1,
body_type,I love {plural_noun_phrase}.,underweight,1,
religion,I love {plural_noun_phrase}.,religious,1,
age,I love {plural_noun_phrase}.,sixty-five-year-old,1,
age,I love {plural_noun_phrase}.,seventy-year-old,1,
age,I love {plural_noun_phrase}.,seventy-something,1,
age,I love {plural_noun_phrase}.,seventy-five-year-old,1,
body_type,I love {plural_noun_phrase}.,big-boned,1,
age,I love {plural_noun_phrase}.,senior,1,
age,I love {plural_noun_phrase}.,older,1,
age,I love {plural_noun_phrase}.,nonagenarian,1,
age,I love {plural_noun_phrase}.,ninety-year-old,1,
age,I love {plural_noun_phrase}.,ninety-something,1,
age,I love {plural_noun_phrase}.,eighty-five-year-old,1,
age,I love {plural_noun_phrase}.,95-year-old,1,
age,I love {plural_noun_phrase}.,90-year-old,1,
age,I love {plural_noun_phrase}.,85-year-old,1,
age,I love {plural_noun_phrase}.,80-year-old,1,
age,I love {plural_noun_phrase}.,70-year-old,1,
age,I love {plural_noun_phrase}.,65-year-old,1,
age,I love {plural_noun_phrase}.,forty-five-year-old,1,
age,I love {plural_noun_phrase}.,young-at-heart,1,
age,I love {plural_noun_phrase}.,20-year-old,1,
age,I love {plural_noun_phrase}.,25-year-old,1,
body_type,I love {plural_noun_phrase}.,dark-haired,1,
age,I love {plural_noun_phrase}.,45-year-old,1,
age,I love {plural_noun_phrase}.,50-year-old,1,
body_type,I love {plural_noun_phrase}.,swole,1,
age,I love {plural_noun_phrase}.,55-year-old,1,
age,I love {plural_noun_phrase}.,sixty-something,1,
body_type,I love {plural_noun_phrase}.,beautiful,1,
age,I love {plural_noun_phrase}.,60-year-old,1,
age,I love {plural_noun_phrase}.,twenty-year-old,1,
age,I love {plural_noun_phrase}.,fifty-year-old,1,
age,I love {plural_noun_phrase}.,twenty-something,1,
age,I love {plural_noun_phrase}.,twenty-five-year-old,1,
age,I love {plural_noun_phrase}.,thirty-year-old,1,
age,I love {plural_noun_phrase}.,thirty-five-year-old,1,
age,I love {plural_noun_phrase}.,40-year-old,1,
age,I love {plural_noun_phrase}.,adult,1,
age,I love {plural_noun_phrase}.,forty-something,1,
nonce,I love {plural_noun_phrase}.,tannin,2,
religion,I love {plural_noun_phrase}.,Confucianist,2,
religion,I love {plural_noun_phrase}.,Wiccan,2,
body_type,I love {plural_noun_phrase}.,straight-haired,2,
cultural,I love {plural_noun_phrase}.,hillbilly,2,
body_type,I love {plural_noun_phrase}.,coily-haired,2,
religion,I love {plural_noun_phrase}.,Protestant,2,
gender_and_sex,I love {plural_noun_phrase}.,effeminate,2,
body_type,I love {plural_noun_phrase}.,long-haired,3,
religion,I love {plural_noun_phrase}.,Lutheran,3,
body_type,I love {plural_noun_phrase}.,smelly,3,
body_type,I love {plural_noun_phrase}.,average-height,4,
cultural,I love {plural_noun_phrase}.,country,11,
body_type,I love {plural_noun_phrase}.,littler,15,
gender_and_sex,I love {plural_noun_phrase}.,AFAB,20,
age,I love {plural_noun_phrase}.,spry,35,
