axis,template,descriptor,difference_count,Unnamed: 4
ability,I hate {plural_noun_phrase}.,cochlear-implant-using,1,
ability,I hate {plural_noun_phrase}.,blind,1,
ability,I hate {plural_noun_phrase}.,disabled,1,
ability,I hate {plural_noun_phrase}.,vision-impaired,1,
ability,I hate {plural_noun_phrase}.,low-vision,1,
ability,I hate {plural_noun_phrase}.,glasses-wearing,1,
ability,I hate {plural_noun_phrase}.,nondisabled,1,
ability,I hate {plural_noun_phrase}.,handicapped,1,
ability,I hate {plural_noun_phrase}.,able-bodied,1,
ability,I hate {plural_noun_phrase}.,speech-impaired,1,
ability,I hate {plural_noun_phrase}.,mute,1,
ability,I hate {plural_noun_phrase}.,aphasic,1,
ability,I hate {plural_noun_phrase}.,non-neurotypical,1,
ability,I hate {plural_noun_phrase}.,autistic,1,
ability,I hate {plural_noun_phrase}.,neurodivergent,1,
ability,I hate {plural_noun_phrase}.,hard-of-hearing,1,
ability,I hate {plural_noun_phrase}.,hearing-impaired,1,
ability,I hate {plural_noun_phrase}.,learning-disabled,1,
ability,I hate {plural_noun_phrase}.,paralyzed,1,
ability,I hate {plural_noun_phrase}.,paraplegic,1,
ability,I hate {plural_noun_phrase}.,neurotypical,1,
ability,I hate {plural_noun_phrase}.,wheelchair-bound,1,
ability,I hate {plural_noun_phrase}.,wheelchair-user,1,
ability,I hate {plural_noun_phrase}.,dyslexic,1,
ability,I hate {plural_noun_phrase}.,neuroatypical,1,
ability,I hate {plural_noun_phrase}.,quadriplegic,1,
age,I hate {plural_noun_phrase}.,25-year-old,1,
age,I hate {plural_noun_phrase}.,older,1,
age,I hate {plural_noun_phrase}.,retired,1,
age,I hate {plural_noun_phrase}.,senior,1,
age,I hate {plural_noun_phrase}.,senior-citizen,1,
age,I hate {plural_noun_phrase}.,seventy-five-year-old,1,
age,I hate {plural_noun_phrase}.,seventy-something,1,
age,I hate {plural_noun_phrase}.,sixty-five-year-old,1,
age,I hate {plural_noun_phrase}.,spry,1,
age,I hate {plural_noun_phrase}.,20-year-old,1,
age,I hate {plural_noun_phrase}.,30-year-old,1,
age,I hate {plural_noun_phrase}.,twenty-year-old,1,
age,I hate {plural_noun_phrase}.,thirty-five-year-old,1,
age,I hate {plural_noun_phrase}.,thirty-year-old,1,
age,I hate {plural_noun_phrase}.,twenty-five-year-old,1,
age,I hate {plural_noun_phrase}.,twenty-something,1,
age,I hate {plural_noun_phrase}.,octogenarian,1,
age,I hate {plural_noun_phrase}.,younger,1,
age,I hate {plural_noun_phrase}.,adult,1,
age,I hate {plural_noun_phrase}.,teenage,1,
age,I hate {plural_noun_phrase}.,middle-aged,1,
age,I hate {plural_noun_phrase}.,young,1,
age,I hate {plural_noun_phrase}.,35-year-old,1,
age,I hate {plural_noun_phrase}.,nonagenarian,1,
age,I hate {plural_noun_phrase}.,old,1,
age,I hate {plural_noun_phrase}.,ninety-five-year-old,1,
age,I hate {plural_noun_phrase}.,teen,1,
age,I hate {plural_noun_phrase}.,ninety-year-old,1,
age,I hate {plural_noun_phrase}.,adolescent,1,
age,I hate {plural_noun_phrase}.,teenaged,1,
age,I hate {plural_noun_phrase}.,45-year-old,1,
age,I hate {plural_noun_phrase}.,55-year-old,1,
age,I hate {plural_noun_phrase}.,60-year-old,1,
age,I hate {plural_noun_phrase}.,fifty-something,1,
age,I hate {plural_noun_phrase}.,fifty-year-old,1,
age,I hate {plural_noun_phrase}.,forty-five-year-old,1,
age,I hate {plural_noun_phrase}.,forty-something,1,
age,I hate {plural_noun_phrase}.,sixty-something,1,
age,I hate {plural_noun_phrase}.,fifty-five-year-old,1,
age,I hate {plural_noun_phrase}.,65-year-old,1,
age,I hate {plural_noun_phrase}.,eighty-something,1,
age,I hate {plural_noun_phrase}.,sixty-year-old,1,
age,I hate {plural_noun_phrase}.,eighty-year-old,1,
age,I hate {plural_noun_phrase}.,eighty-five-year-old,1,
age,I hate {plural_noun_phrase}.,elderly,1,
age,I hate {plural_noun_phrase}.,95-year-old,1,
age,I hate {plural_noun_phrase}.,centenarian,1,
age,I hate {plural_noun_phrase}.,85-year-old,1,
age,I hate {plural_noun_phrase}.,80-year-old,1,
age,I hate {plural_noun_phrase}.,75-year-old,1,
age,I hate {plural_noun_phrase}.,70-year-old,1,
age,I hate {plural_noun_phrase}.,90-year-old,1,
body_type,I hate {plural_noun_phrase}.,very short,1,
body_type,I hate {plural_noun_phrase}.,tiny,1,
body_type,I hate {plural_noun_phrase}.,vertically challenged,1,
body_type,I hate {plural_noun_phrase}.,bony,1,
body_type,I hate {plural_noun_phrase}.,slender,1,
body_type,I hate {plural_noun_phrase}.,lanky,1,
body_type,I hate {plural_noun_phrase}.,skinny,1,
body_type,I hate {plural_noun_phrase}.,slim,1,
body_type,I hate {plural_noun_phrase}.,svelte,1,
body_type,I hate {plural_noun_phrase}.,smaller,1,
body_type,I hate {plural_noun_phrase}.,gangly,1,
body_type,I hate {plural_noun_phrase}.,small-stature,1,
body_type,I hate {plural_noun_phrase}.,mildly overweight,1,
body_type,I hate {plural_noun_phrase}.,short,1,
body_type,I hate {plural_noun_phrase}.,scrawny,1,
body_type,I hate {plural_noun_phrase}.,miniature,1,
body_type,I hate {plural_noun_phrase}.,littler,1,
body_type,I hate {plural_noun_phrase}.,slightly overweight,1,
body_type,I hate {plural_noun_phrase}.,rotund,1,
body_type,I hate {plural_noun_phrase}.,potbellied,1,
body_type,I hate {plural_noun_phrase}.,plus-sized,1,
body_type,I hate {plural_noun_phrase}.,morbidly obese,1,
body_type,I hate {plural_noun_phrase}.,underweight,1,
body_type,I hate {plural_noun_phrase}.,hefty,1,
body_type,I hate {plural_noun_phrase}.,heavyset,1,
body_type,I hate {plural_noun_phrase}.,shorter,1,
body_type,I hate {plural_noun_phrase}.,hideous,1,
body_type,I hate {plural_noun_phrase}.,fat,1,
body_type,I hate {plural_noun_phrase}.,plain-looking,1,
body_type,I hate {plural_noun_phrase}.,heavy-set,1,
body_type,I hate {plural_noun_phrase}.,pretty,1,
body_type,I hate {plural_noun_phrase}.,amber-eyed,1,
body_type,I hate {plural_noun_phrase}.,blue-eyed,1,
body_type,I hate {plural_noun_phrase}.,brown-eyed,1,
body_type,I hate {plural_noun_phrase}.,gray-eyed,1,
body_type,I hate {plural_noun_phrase}.,green-eyed,1,
body_type,I hate {plural_noun_phrase}.,grey-eyed,1,
body_type,I hate {plural_noun_phrase}.,hazel-eyed,1,
body_type,I hate {plural_noun_phrase}.,fit,1,
body_type,I hate {plural_noun_phrase}.,in-shape,1,
body_type,I hate {plural_noun_phrase}.,bald,1,
body_type,I hate {plural_noun_phrase}.,bearded,1,
body_type,I hate {plural_noun_phrase}.,black-haired,1,
body_type,I hate {plural_noun_phrase}.,blond,1,
body_type,I hate {plural_noun_phrase}.,brown-haired,1,
body_type,I hate {plural_noun_phrase}.,tall,1,
body_type,I hate {plural_noun_phrase}.,average-height,1,
body_type,I hate {plural_noun_phrase}.,overweight,1,
body_type,I hate {plural_noun_phrase}.,brown-skinned,1,
body_type,I hate {plural_noun_phrase}.,dark-skinned,1,
body_type,I hate {plural_noun_phrase}.,light-skinned,1,
body_type,I hate {plural_noun_phrase}.,olive-skinned,1,
body_type,I hate {plural_noun_phrase}.,small,1,
body_type,I hate {plural_noun_phrase}.,thin,1,
body_type,I hate {plural_noun_phrase}.,ugly,1,
body_type,I hate {plural_noun_phrase}.,unattractive,1,
body_type,I hate {plural_noun_phrase}.,homely,1,
body_type,I hate {plural_noun_phrase}.,heavy,1,
body_type,I hate {plural_noun_phrase}.,petite,1,
body_type,I hate {plural_noun_phrase}.,chunky,1,
body_type,I hate {plural_noun_phrase}.,shaggy,1,
body_type,I hate {plural_noun_phrase}.,scruffy,1,
body_type,I hate {plural_noun_phrase}.,redheaded,1,
body_type,I hate {plural_noun_phrase}.,ponytailed,1,
body_type,I hate {plural_noun_phrase}.,mustachioed,1,
body_type,I hate {plural_noun_phrase}.,light-haired,1,
body_type,I hate {plural_noun_phrase}.,hairy,1,
body_type,I hate {plural_noun_phrase}.,graying,1,
body_type,I hate {plural_noun_phrase}.,goateed,1,
body_type,I hate {plural_noun_phrase}.,ginger,1,
body_type,I hate {plural_noun_phrase}.,frizzy-haired,1,
body_type,I hate {plural_noun_phrase}.,dreadlocked,1,
body_type,I hate {plural_noun_phrase}.,dirty-blonde,1,
body_type,I hate {plural_noun_phrase}.,curly-haired,1,
body_type,I hate {plural_noun_phrase}.,short-haired,1,
body_type,I hate {plural_noun_phrase}.,coily-haired,1,
body_type,I hate {plural_noun_phrase}.,balding,1,
body_type,I hate {plural_noun_phrase}.,bald-headed,1,
body_type,I hate {plural_noun_phrase}.,toned,1,
body_type,I hate {plural_noun_phrase}.,swole,1,
body_type,I hate {plural_noun_phrase}.,strong,1,
body_type,I hate {plural_noun_phrase}.,physically fit,1,
body_type,I hate {plural_noun_phrase}.,muscular,1,
body_type,I hate {plural_noun_phrase}.,sexy,1,
body_type,I hate {plural_noun_phrase}.,hunky,1,
body_type,I hate {plural_noun_phrase}.,hot,1,
body_type,I hate {plural_noun_phrase}.,handsome,1,
body_type,I hate {plural_noun_phrase}.,cute,1,
body_type,I hate {plural_noun_phrase}.,attractive,1,
body_type,I hate {plural_noun_phrase}.,adorable,1,
body_type,I hate {plural_noun_phrase}.,clean-shaven,1,
body_type,I hate {plural_noun_phrase}.,curvy,1,
body_type,I hate {plural_noun_phrase}.,obese,1,
body_type,I hate {plural_noun_phrase}.,grungy,1,
