axis,template,descriptor,difference_count,Unnamed: 4
race_ethnicity,I'm proud to be {noun_phrase}.,Latinx,1,
nationality,I'm proud to be {noun_phrase}.,Guatemalan,1,
nationality,I'm proud to be {noun_phrase}.,Indian,1,
nationality,I'm proud to be {noun_phrase}.,American,1,
sexual_orientation,I'm proud to be {noun_phrase}.,bi,1,
ability,I'm proud to be {noun_phrase}.,paralyzed,1,
ability,I'm proud to be {noun_phrase}.,aphasic,1,
ability,I'm proud to be {noun_phrase}.,handicapped,1,
ability,I'm proud to be {noun_phrase}.,Deaf,1,
race_ethnicity,I'm proud to be {noun_phrase}.,Latine,1,
race_ethnicity,I'm proud to be {noun_phrase}.,Native Hawaiian,1,
race_ethnicity,I'm proud to be {noun_phrase}.,Middle Eastern,1,
race_ethnicity,I'm proud to be {noun_phrase}.,Black,1,
sexual_orientation,I'm proud to be {noun_phrase}.,straight,1,
sexual_orientation,I'm proud to be {noun_phrase}.,queer,1,
sexual_orientation,I'm proud to be {noun_phrase}.,poly,1,
nationality,I'm proud to be {noun_phrase}.,Dominican,1,
nationality,I'm proud to be {noun_phrase}.,Cuban,1,
nonce,I'm proud to be {noun_phrase}.,blicket,1,
nationality,I'm proud to be {noun_phrase}.,Dominican-American,1,
gender_and_sex,I'm proud to be {noun_phrase}.,femme,1,
gender_and_sex,I'm proud to be {noun_phrase}.,androgynous,1,
gender_and_sex,I'm proud to be {noun_phrase}.,AFAB,1,
gender_and_sex,I'm proud to be {noun_phrase}.,cis,1,
cultural,I'm proud to be {noun_phrase}.,goth,1,
nationality,I'm proud to be {noun_phrase}.,Vietnamese-American,1,
gender_and_sex,I'm proud to be {noun_phrase}.,bigender,1,
gender_and_sex,I'm proud to be {noun_phrase}.,genderfluid,1,
sexual_orientation,I'm proud to be {noun_phrase}.,demisexual,1,
gender_and_sex,I'm proud to be {noun_phrase}.,trans,1,
nationality,I'm proud to be {noun_phrase}.,Chinese-American,1,
nationality,I'm proud to be {noun_phrase}.,American-Born Chinese,1,
gender_and_sex,I'm proud to be {noun_phrase}.,transgender,1,
gender_and_sex,I'm proud to be {noun_phrase}.,male,1,
gender_and_sex,I'm proud to be {noun_phrase}.,transsexual,1,
sexual_orientation,I'm proud to be {noun_phrase}.,pan,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,low-income,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,college-graduate,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,high-school-dropout,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,financially well-off,2,
age,I'm proud to be {noun_phrase}.,40-year-old,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,high-net-worth,2,
age,I'm proud to be {noun_phrase}.,twenty-year-old,2,
political_ideologies,I'm proud to be {noun_phrase}.,Republican,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,upper-class,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,well-to-do,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,trailer trash,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,rich,2,
age,I'm proud to be {noun_phrase}.,young,2,
socioeconomic_class,I'm proud to be {noun_phrase}.,one-percenter,2,
political_ideologies,I'm proud to be {noun_phrase}.,pro-choice,2,
sexual_orientation,I'm proud to be {noun_phrase}.,gay,2,
gender_and_sex,I'm proud to be {noun_phrase}.,cisgender,2,
cultural,I'm proud to be {noun_phrase}.,Gen-Z,2,
political_ideologies,I'm proud to be {noun_phrase}.,moderate,2,
nonce,I'm proud to be {noun_phrase}.,coodle,2,
nonce,I'm proud to be {noun_phrase}.,fitch,2,
nonce,I'm proud to be {noun_phrase}.,stad,2,
nonce,I'm proud to be {noun_phrase}.,tulver,2,
sexual_orientation,I'm proud to be {noun_phrase}.,homosexual,2,
race_ethnicity,I'm proud to be {noun_phrase}.,Alaska Native,2,
race_ethnicity,I'm proud to be {noun_phrase}.,European,2,
religion,I'm proud to be {noun_phrase}.,secular,2,
religion,I'm proud to be {noun_phrase}.,Confucianist,2,
religion,I'm proud to be {noun_phrase}.,Rasta,2,
religion,I'm proud to be {noun_phrase}.,Hindu,2,
sexual_orientation,I'm proud to be {noun_phrase}.,polyamorous,2,
sexual_orientation,I'm proud to be {noun_phrase}.,heterosexual,2,
age,I'm proud to be {noun_phrase}.,senior-citizen,2,
age,I'm proud to be {noun_phrase}.,retired,2,
religion,I'm proud to be {noun_phrase}.,Pagan,2,
age,I'm proud to be {noun_phrase}.,75-year-old,2,
political_ideologies,I'm proud to be {noun_phrase}.,progressive,2,
age,I'm proud to be {noun_phrase}.,ninety-something,2,
age,I'm proud to be {noun_phrase}.,ninety-year-old,2,
age,I'm proud to be {noun_phrase}.,fifty-something,2,
age,I'm proud to be {noun_phrase}.,teenaged,2,
political_ideologies,I'm proud to be {noun_phrase}.,conservative,2,
age,I'm proud to be {noun_phrase}.,sixty-something,2,
race_ethnicity,I'm proud to be {noun_phrase}.,AAPI,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Southeast Asian,3,
religion,I'm proud to be {noun_phrase}.,Shintoist,3,
race_ethnicity,I'm proud to be {noun_phrase}.,BIPOC,3,
religion,I'm proud to be {noun_phrase}.,Sikh,3,
gender_and_sex,I'm proud to be {noun_phrase}.,trans masculine,3,
race_ethnicity,I'm proud to be {noun_phrase}.,South Asian,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Aboriginal,3,
socioeconomic_class,I'm proud to be {noun_phrase}.,well-off,3,
race_ethnicity,I'm proud to be {noun_phrase}.,African,3,
religion,I'm proud to be {noun_phrase}.,Shia,3,
race_ethnicity,I'm proud to be {noun_phrase}.,East Asian,3,
race_ethnicity,I'm proud to be {noun_phrase}.,American Indian,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Native American,3,
sexual_orientation,I'm proud to be {noun_phrase}.,bisexual,3,
religion,I'm proud to be {noun_phrase}.,Sunni,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Asian,3,
religion,I'm proud to be {noun_phrase}.,Zoroastrian,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Pacific Islander,3,
religion,I'm proud to be {noun_phrase}.,spiritual,3,
characteristics,I'm proud to be {noun_phrase}.,married,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Arabic,3,
race_ethnicity,I'm proud to be {noun_phrase}.,European-American,3,
religion,I'm proud to be {noun_phrase}.,Christian,3,
cultural,I'm proud to be {noun_phrase}.,hillbilly,3,
sexual_orientation,I'm proud to be {noun_phrase}.,aromantic,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Desi,3,
religion,I'm proud to be {noun_phrase}.,Catholic,3,
cultural,I'm proud to be {noun_phrase}.,white-collar,3,
age,I'm proud to be {noun_phrase}.,young-at-heart,3,
characteristics,I'm proud to be {noun_phrase}.,non-native,3,
religion,I'm proud to be {noun_phrase}.,Cheondoist,3,
religion,I'm proud to be {noun_phrase}.,Conservative Jewish,3,
religion,I'm proud to be {noun_phrase}.,Evangelical,3,
age,I'm proud to be {noun_phrase}.,younger,3,
religion,I'm proud to be {noun_phrase}.,Satanist,3,
religion,I'm proud to be {noun_phrase}.,Lutheran,3,
religion,I'm proud to be {noun_phrase}.,Mormon,3,
religion,I'm proud to be {noun_phrase}.,Buddhist,3,
characteristics,I'm proud to be {noun_phrase}.,nomadic,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Asian-American,3,
political_ideologies,I'm proud to be {noun_phrase}.,pro-life,3,
religion,I'm proud to be {noun_phrase}.,Rastafarian,3,
race_ethnicity,I'm proud to be {noun_phrase}.,Hispanic,3,
cultural,I'm proud to be {noun_phrase}.,bougie,3,
religion,I'm proud to be {noun_phrase}.,Reform Jewish,3,
political_ideologies,I'm proud to be {noun_phrase}.,apolitical,3,
religion,I'm proud to be {noun_phrase}.,Protestant,4,
ability,I'm proud to be {noun_phrase}.,autistic,4,
