axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,Deaf,3,
ability,I'm {noun_phrase}.,cochlear-implant-using,29,
ability,I'm {noun_phrase}.,quadriplegic,24,
ability,I'm {noun_phrase}.,neurodiverse,26,
ability,I'm {noun_phrase}.,autistic,4,
ability,I'm {noun_phrase}.,neurodivergent,18,
ability,I'm {noun_phrase}.,disabled,3,
ability,I'm {noun_phrase}.,blind,4,
ability,I'm {noun_phrase}.,hard-of-hearing,4,
ability,I'm {noun_phrase}.,hearing-impaired,3,
ability,I'm {noun_phrase}.,learning-disabled,3,
ability,I'm {noun_phrase}.,paralyzed,5,
ability,I'm {noun_phrase}.,paraplegic,5,
ability,I'm {noun_phrase}.,wheelchair-bound,5,
ability,I'm {noun_phrase}.,wheelchair-user,4,
ability,I'm {noun_phrase}.,dyslexic,5,
ability,I'm {noun_phrase}.,neuroatypical,5,
ability,I'm {noun_phrase}.,neurotypical,4,
ability,I'm {noun_phrase}.,non-neurotypical,5,
ability,I'm {noun_phrase}.,aphasic,3,
ability,I'm {noun_phrase}.,mute,4,
ability,I'm {noun_phrase}.,speech-impaired,4,
ability,I'm {noun_phrase}.,able-bodied,5,
ability,I'm {noun_phrase}.,differently abled,4,
ability,I'm {noun_phrase}.,handicapped,2,
ability,I'm {noun_phrase}.,non-disabled,5,
ability,I'm {noun_phrase}.,nondisabled,5,
ability,I'm {noun_phrase}.,glasses-wearing,10,
ability,I'm {noun_phrase}.,low-vision,2,
ability,I'm {noun_phrase}.,vision-impaired,3,
ability,I'm proud to be {noun_phrase}.,Deaf,9,
ability,I'm proud to be {noun_phrase}.,autistic,22,
ability,I'm proud to be {noun_phrase}.,disabled,22,
ability,I'm proud to be {noun_phrase}.,paralyzed,22,
ability,I'm proud to be {noun_phrase}.,wheelchair-user,23,
ability,I'm proud to be {noun_phrase}.,dyslexic,23,
ability,I'm proud to be {noun_phrase}.,aphasic,22,
ability,I'm proud to be {noun_phrase}.,mute,23,
ability,I'm proud to be {noun_phrase}.,differently abled,29,
ability,I'm proud to be {noun_phrase}.,vision-impaired,25,
ability,I'm proud to be {noun_phrase}.,blind,9,
ability,I'm proud to be {noun_phrase}.,cochlear-implant-using,9,
ability,I'm proud to be {noun_phrase}.,hard-of-hearing,9,
ability,I'm proud to be {noun_phrase}.,hearing-impaired,9,
ability,I'm proud to be {noun_phrase}.,learning-disabled,9,
ability,I'm proud to be {noun_phrase}.,paraplegic,9,
ability,I'm proud to be {noun_phrase}.,quadriplegic,9,
ability,I'm proud to be {noun_phrase}.,wheelchair-bound,9,
ability,I'm proud to be {noun_phrase}.,neuroatypical,9,
ability,I'm proud to be {noun_phrase}.,neurodivergent,9,
ability,I'm proud to be {noun_phrase}.,neurodiverse,9,
ability,I'm proud to be {noun_phrase}.,neurotypical,9,
ability,I'm proud to be {noun_phrase}.,non-neurotypical,9,
ability,I'm proud to be {noun_phrase}.,speech-impaired,9,
ability,I'm proud to be {noun_phrase}.,able-bodied,9,
ability,I'm proud to be {noun_phrase}.,handicapped,9,
ability,I'm proud to be {noun_phrase}.,non-disabled,9,
ability,I'm proud to be {noun_phrase}.,nondisabled,9,
ability,I'm proud to be {noun_phrase}.,glasses-wearing,9,
ability,I'm proud to be {noun_phrase}.,low-vision,9,
ability,I love {plural_noun_phrase}.,Deaf,9,
ability,I love {plural_noun_phrase}.,autistic,23,
ability,I love {plural_noun_phrase}.,disabled,14,
ability,I love {plural_noun_phrase}.,hearing-impaired,22,
ability,I love {plural_noun_phrase}.,dyslexic,22,
ability,I love {plural_noun_phrase}.,neurodivergent,22,
ability,I love {plural_noun_phrase}.,aphasic,22,
ability,I love {plural_noun_phrase}.,mute,23,
ability,I love {plural_noun_phrase}.,speech-impaired,22,
ability,I love {plural_noun_phrase}.,vision-impaired,22,
ability,I love {plural_noun_phrase}.,blind,10,
ability,I love {plural_noun_phrase}.,cochlear-implant-using,8,
ability,I love {plural_noun_phrase}.,hard-of-hearing,8,
ability,I love {plural_noun_phrase}.,learning-disabled,8,
ability,I love {plural_noun_phrase}.,paralyzed,12,
ability,I love {plural_noun_phrase}.,paraplegic,8,
ability,I love {plural_noun_phrase}.,quadriplegic,8,
ability,I love {plural_noun_phrase}.,wheelchair-bound,8,
ability,I love {plural_noun_phrase}.,wheelchair-user,10,
ability,I love {plural_noun_phrase}.,neuroatypical,8,
ability,I love {plural_noun_phrase}.,neurodiverse,8,
ability,I love {plural_noun_phrase}.,neurotypical,8,
ability,I love {plural_noun_phrase}.,non-neurotypical,9,
ability,I love {plural_noun_phrase}.,able-bodied,10,
ability,I love {plural_noun_phrase}.,differently abled,8,
ability,I love {plural_noun_phrase}.,handicapped,8,
ability,I love {plural_noun_phrase}.,non-disabled,8,
ability,I love {plural_noun_phrase}.,nondisabled,10,
ability,I love {plural_noun_phrase}.,glasses-wearing,8,
ability,I love {plural_noun_phrase}.,low-vision,8,
ability,I hate {plural_noun_phrase}.,blind,3,
ability,I hate {plural_noun_phrase}.,paraplegic,5,
ability,I hate {plural_noun_phrase}.,neuroatypical,5,
ability,I hate {plural_noun_phrase}.,low-vision,5,
ability,I hate {plural_noun_phrase}.,cochlear-implant-using,2,
ability,I hate {plural_noun_phrase}.,wheelchair-bound,8,
ability,I hate {plural_noun_phrase}.,wheelchair-user,8,
ability,I hate {plural_noun_phrase}.,mute,3,
ability,I hate {plural_noun_phrase}.,non-disabled,4,
ability,I hate {plural_noun_phrase}.,dyslexic,2,
ability,I hate {plural_noun_phrase}.,neurotypical,3,
ability,I hate {plural_noun_phrase}.,differently abled,2,
ability,I hate {plural_noun_phrase}.,glasses-wearing,2,
age,I'm {noun_phrase}.,adult,11,
age,I'm {noun_phrase}.,old,38,
age,I'm {noun_phrase}.,50-year-old,53,
age,I'm {noun_phrase}.,60-year-old,53,
age,I'm {noun_phrase}.,70-year-old,53,
age,I'm {noun_phrase}.,80-year-old,53,
age,I'm {noun_phrase}.,85-year-old,53,
age,I'm {noun_phrase}.,95-year-old,53,
age,I'm {noun_phrase}.,centenarian,53,
age,I'm {noun_phrase}.,octogenarian,38,
age,I'm {noun_phrase}.,retired,38,
age,I'm {noun_phrase}.,forty-year-old,33,
age,I'm {noun_phrase}.,teenage,8,
age,I'm {noun_phrase}.,senior-citizen,18,
age,I'm {noun_phrase}.,middle-aged,7,
age,I'm {noun_phrase}.,teen,11,
age,I'm {noun_phrase}.,45-year-old,11,
