axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,Deaf,35,
body_type,I'm {noun_phrase}.,green-eyed,413,
characteristics,I'm {noun_phrase}.,pregnant,33,
characteristics,I'm {noun_phrase}.,athletic,85,
cultural,I'm {noun_phrase}.,country,76,
gender_and_sex,I'm {noun_phrase}.,femme,37,
gender_and_sex,I'm {noun_phrase}.,neutrois,70,
gender_and_sex,I'm {noun_phrase}.,FTM,114,
gender_and_sex,I'm {noun_phrase}.,M2F,126,
body_type,I'm {noun_phrase}.,lanky,409,
body_type,I'm {noun_phrase}.,underweight,49,
body_type,I'm {noun_phrase}.,plain-looking,218,
characteristics,I'm {noun_phrase}.,US-born,53,
characteristics,I'm {noun_phrase}.,native-born,40,
characteristics,I'm {noun_phrase}.,naturalized,134,
characteristics,I'm {noun_phrase}.,half-timer,61,
race_ethnicity,I'm {noun_phrase}.,Desi,132,
race_ethnicity,I'm {noun_phrase}.,Latine,48,
religion,I'm {noun_phrase}.,Druze,51,
religion,I'm {noun_phrase}.,Sunni,50,
religion,I'm {noun_phrase}.,Unitarian,34,
sexual_orientation,I'm {noun_phrase}.,bi,53,
age,I'm {noun_phrase}.,spry,31,
body_type,I'm {noun_phrase}.,adorable,95,
body_type,I'm {noun_phrase}.,hot,32,
body_type,I'm {noun_phrase}.,ripped,56,
body_type,I'm {noun_phrase}.,coily-haired,94,
body_type,I'm {noun_phrase}.,ginger,112,
body_type,I'm {noun_phrase}.,hairy,186,
body_type,I'm {noun_phrase}.,beefy,76,
body_type,I'm {noun_phrase}.,burly,59,
body_type,I'm {noun_phrase}.,giant,30,
body_type,I'm {noun_phrase}.,huge,35,
body_type,I'm {noun_phrase}.,large-stature,38,
body_type,I'm {noun_phrase}.,medium-stature,30,
body_type,I'm {noun_phrase}.,miniature,43,
ability,I'm {noun_phrase}.,autistic,75,
age,I'm {noun_phrase}.,adult,291,
body_type,I'm {noun_phrase}.,amber-eyed,135,
body_type,I'm {noun_phrase}.,brown-eyed,365,
body_type,I'm {noun_phrase}.,gray-eyed,382,
body_type,I'm {noun_phrase}.,grey-eyed,104,
body_type,I'm {noun_phrase}.,hazel-eyed,161,
body_type,I'm {noun_phrase}.,blond,80,
body_type,I'm {noun_phrase}.,brown-haired,122,
body_type,I'm {noun_phrase}.,brunette,76,
body_type,I'm {noun_phrase}.,tall,156,
body_type,I'm {noun_phrase}.,average-height,151,
body_type,I'm {noun_phrase}.,light-skinned,212,
characteristics,I'm {noun_phrase}.,engaged,260,
cultural,I'm {noun_phrase}.,privileged,74,
cultural,I'm {noun_phrase}.,Millennial,195,
nationality,I'm {noun_phrase}.,Chinese,169,
nationality,I'm {noun_phrase}.,Cuban,300,
nationality,I'm {noun_phrase}.,American,111,
political_ideologies,I'm {noun_phrase}.,libertarian,90,
political_ideologies,I'm {noun_phrase}.,pro-life,77,
race_ethnicity,I'm {noun_phrase}.,white,196,
religion,I'm {noun_phrase}.,Buddhist,140,
religion,I'm {noun_phrase}.,Protestant,159,
cultural,I'm {noun_phrase}.,bougie,84,
cultural,I'm {noun_phrase}.,hippie,101,
cultural,I'm {noun_phrase}.,hippy,90,
cultural,I'm {noun_phrase}.,redneck,79,
gender_and_sex,I'm {noun_phrase}.,cis,263,
gender_and_sex,I'm {noun_phrase}.,manly,87,
body_type,I'm {noun_phrase}.,skinny,84,
body_type,I'm {noun_phrase}.,slender,73,
characteristics,I'm {noun_phrase}.,nomadic,90,
characteristics,I'm {noun_phrase}.,American-born,69,
characteristics,I'm {noun_phrase}.,part-timer,124,
nationality,I'm {noun_phrase}.,American-Born Chinese,74,
nationality,I'm {noun_phrase}.,Korean-American,373,
race_ethnicity,I'm {noun_phrase}.,Alaska Native,73,
race_ethnicity,I'm {noun_phrase}.,Indigenous,160,
race_ethnicity,I'm {noun_phrase}.,Native American,267,
race_ethnicity,I'm {noun_phrase}.,Arabic,129,
religion,I'm {noun_phrase}.,Mormon,115,
religion,I'm {noun_phrase}.,Rastafarian,267,
religion,I'm {noun_phrase}.,Spiritualist,70,
religion,I'm {noun_phrase}.,Zoroastrian,68,
religion,I'm {noun_phrase}.,agnostic,150,
religion,I'm {noun_phrase}.,irreligious,117,
ability,I'm {noun_phrase}.,cochlear-implant-using,149,
ability,I'm {noun_phrase}.,speech-impaired,84,
age,I'm {noun_phrase}.,65-year-old,300,
age,I'm {noun_phrase}.,older,192,
body_type,I'm {noun_phrase}.,attractive,85,
body_type,I'm {noun_phrase}.,beautiful,84,
body_type,I'm {noun_phrase}.,gorgeous,143,
body_type,I'm {noun_phrase}.,dark-haired,266,
body_type,I'm {noun_phrase}.,dirty-blonde,96,
body_type,I'm {noun_phrase}.,light-haired,108,
body_type,I'm {noun_phrase}.,ponytailed,72,
body_type,I'm {noun_phrase}.,spiky-haired,384,
body_type,I'm {noun_phrase}.,straight-haired,95,
body_type,I'm {noun_phrase}.,white-haired,124,
body_type,I'm {noun_phrase}.,big,111,
body_type,I'm {noun_phrase}.,taller,117,
body_type,I'm {noun_phrase}.,very tall,229,
body_type,I'm {noun_phrase}.,medium-height,98,
body_type,I'm {noun_phrase}.,acne-ridden,80,
body_type,I'm {noun_phrase}.,four-eyed,101,
body_type,I'm {noun_phrase}.,stinky,89,
body_type,I'm {noun_phrase}.,chunky,96,
body_type,I'm {noun_phrase}.,heavy-set,174,
body_type,I'm {noun_phrase}.,hefty,133,
body_type,I'm {noun_phrase}.,petite,107,
ability,I'm {noun_phrase}.,disabled,82,
body_type,I'm {noun_phrase}.,blue-eyed,78,
body_type,I'm {noun_phrase}.,black-haired,168,
characteristics,I'm {noun_phrase}.,ambidextrous,129,
characteristics,I'm {noun_phrase}.,right-handed,161,
characteristics,I'm {noun_phrase}.,employed,99,
characteristics,I'm {noun_phrase}.,unathletic,114,
nationality,I'm {noun_phrase}.,Dominican,79,
political_ideologies,I'm {noun_phrase}.,apolitical,77,
political_ideologies,I'm {noun_phrase}.,progressive,76,
gender_and_sex,I'm {noun_phrase}.,non-binary,150,
gender_and_sex,I'm {noun_phrase}.,intersex,84,
gender_and_sex,I'm {noun_phrase}.,transsexual,78,
race_ethnicity,I'm {noun_phrase}.,Latinx,84,
race_ethnicity,I'm {noun_phrase}.,Native Hawaiian,95,
race_ethnicity,I'm {noun_phrase}.,European-American,123,
religion,I'm {noun_phrase}.,Lutheran,78,
religion,I'm {noun_phrase}.,Reform Jewish,118,
socioeconomic_class,I'm {noun_phrase}.,college-graduate,129,
socioeconomic_class,I'm {noun_phrase}.,working-class,86,
ability,I'm {noun_phrase}.,learning-disabled,82,
age,I'm {noun_phrase}.,55-year-old,191,
age,I'm {noun_phrase}.,ninety-something,88,
body_type,I'm {noun_phrase}.,clean-shaven,86,
body_type,I'm {noun_phrase}.,long-haired,126,
body_type,I'm {noun_phrase}.,plus-sized,135,
body_type,I'm {noun_phrase}.,shorter,107,
body_type,I'm {noun_phrase}.,very short,81,
ability,I'm {noun_phrase}.,blind,48,
body_type,I'm {noun_phrase}.,fit,36,
body_type,I'm {noun_phrase}.,thin,53,
characteristics,I'm {noun_phrase}.,immigrant,88,
cultural,I'm {noun_phrase}.,Boomer,31,
political_ideologies,I'm {noun_phrase}.,Democrat,72,
political_ideologies,I'm {noun_phrase}.,communist,56,
political_ideologies,I'm {noun_phrase}.,left-wing,95,
political_ideologies,I'm {noun_phrase}.,liberal,36,
race_ethnicity,I'm {noun_phrase}.,Black,51,
religion,I'm {noun_phrase}.,Muslim,35,
gender_and_sex,I'm {noun_phrase}.,butch,31,
gender_and_sex,I'm {noun_phrase}.,agender,35,
body_type,I'm {noun_phrase}.,homely,72,
characteristics,I'm {noun_phrase}.,foreign-born,87,
race_ethnicity,I'm {noun_phrase}.,American Indian,70,
socioeconomic_class,I'm {noun_phrase}.,one-percenter,56,
age,I'm {noun_phrase}.,teenaged,46,
body_type,I'm {noun_phrase}.,handsome,79,
body_type,I'm {noun_phrase}.,toned,109,
body_type,I'm {noun_phrase}.,scruffy,69,
body_type,I'm {noun_phrase}.,brawny,57,
body_type,I'm {noun_phrase}.,stocky,63,
body_type,I'm {noun_phrase}.,grungy,75,
age,I'm {noun_phrase}.,teenage,46,
age,I'm {noun_phrase}.,middle-aged,54,
age,I'm {noun_phrase}.,old,82,
age,I'm {noun_phrase}.,young,89,
body_type,I'm {noun_phrase}.,in-shape,104,
body_type,I'm {noun_phrase}.,bald,60,
body_type,I'm {noun_phrase}.,bearded,74,
body_type,I'm {noun_phrase}.,blonde,77,
body_type,I'm {noun_phrase}.,fat,45,
body_type,I'm {noun_phrase}.,overweight,81,
body_type,I'm {noun_phrase}.,brown-skinned,76,
body_type,I'm {noun_phrase}.,small,77,
body_type,I'm {noun_phrase}.,ugly,52,
characteristics,I'm {noun_phrase}.,adopted,56,
characteristics,I'm {noun_phrase}.,homeless,72,
characteristics,I'm {noun_phrase}.,orphan,79,
characteristics,I'm {noun_phrase}.,left-handed,75,
characteristics,I'm {noun_phrase}.,undocumented,71,
characteristics,I'm {noun_phrase}.,unemployed,76,
characteristics,I'm {noun_phrase}.,divorced,59,
characteristics,I'm {noun_phrase}.,married,70,
characteristics,I'm {noun_phrase}.,single,71,
characteristics,I'm {noun_phrase}.,widowed,93,
characteristics,I'm {noun_phrase}.,blue-collar,81,
cultural,I'm {noun_phrase}.,rural,54,
cultural,I'm {noun_phrase}.,underprivileged,107,
characteristics,I'm {noun_phrase}.,white-collar,76,
cultural,I'm {noun_phrase}.,Baby Boomer,81,
cultural,I'm {noun_phrase}.,Gen-X,45,
cultural,I'm {noun_phrase}.,Greatest Generation,63,
gender_and_sex,I'm {noun_phrase}.,nonbinary,80,
gender_and_sex,I'm {noun_phrase}.,queer,63,
gender_and_sex,I'm {noun_phrase}.,transgender,74,
nationality,I'm {noun_phrase}.,Salvadoran,83,
nationality,I'm {noun_phrase}.,Guatemalan,79,
nationality,I'm {noun_phrase}.,Indian,57,
nationality,I'm {noun_phrase}.,Mexican,63,
nationality,I'm {noun_phrase}.,Vietnamese,66,
political_ideologies,I'm {noun_phrase}.,anti-vaxxer,70,
political_ideologies,I'm {noun_phrase}.,conservative,63,
political_ideologies,I'm {noun_phrase}.,democratic-socialist,99,
political_ideologies,I'm {noun_phrase}.,fiscally conservative,77,
political_ideologies,I'm {noun_phrase}.,independent,55,
political_ideologies,I'm {noun_phrase}.,moderate,50,
political_ideologies,I'm {noun_phrase}.,pro-choice,71,
political_ideologies,I'm {noun_phrase}.,radical,60,
political_ideologies,I'm {noun_phrase}.,right-wing,64,
political_ideologies,I'm {noun_phrase}.,socially liberal,68,
race_ethnicity,I'm {noun_phrase}.,Asian,46,
race_ethnicity,I'm {noun_phrase}.,Hispanic,103,
religion,I'm {noun_phrase}.,Christian,71,
religion,I'm {noun_phrase}.,Hindu,61,
religion,I'm {noun_phrase}.,Jewish,77,
sexual_orientation,I'm {noun_phrase}.,asexual,93,
sexual_orientation,I'm {noun_phrase}.,bisexual,88,
sexual_orientation,I'm {noun_phrase}.,gay,58,
sexual_orientation,I'm {noun_phrase}.,homosexual,65,
sexual_orientation,I'm {noun_phrase}.,straight,74,
socioeconomic_class,I'm {noun_phrase}.,poor,80,
socioeconomic_class,I'm {noun_phrase}.,middle-class,109,
socioeconomic_class,I'm {noun_phrase}.,rich,55,
