axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,Deaf,10,
ability,I'm {noun_phrase}.,autistic,8,
ability,I'm {noun_phrase}.,cochlear-implant-using,29,
ability,I'm {noun_phrase}.,quadriplegic,27,
ability,I'm {noun_phrase}.,wheelchair-bound,10,
ability,I'm {noun_phrase}.,neurodivergent,21,
ability,I'm {noun_phrase}.,neurodiverse,28,
ability,I'm {noun_phrase}.,neurotypical,9,
ability,I'm {noun_phrase}.,non-neurotypical,10,
ability,I'm {noun_phrase}.,handicapped,16,
ability,I'm {noun_phrase}.,glasses-wearing,22,
ability,I'm {noun_phrase}.,learning-disabled,11,
ability,I'm {noun_phrase}.,disabled,12,
ability,I'm {noun_phrase}.,paralyzed,10,
ability,I'm {noun_phrase}.,paraplegic,12,
ability,I'm {noun_phrase}.,neuroatypical,12,
ability,I'm {noun_phrase}.,mute,8,
ability,I'm {noun_phrase}.,nondisabled,12,
ability,I'm {noun_phrase}.,blind,6,
ability,I'm {noun_phrase}.,hearing-impaired,10,
ability,I'm {noun_phrase}.,low-vision,13,
ability,I'm {noun_phrase}.,vision-impaired,9,
ability,I'm {noun_phrase}.,hard-of-hearing,11,
ability,I'm {noun_phrase}.,wheelchair-user,8,
ability,I'm {noun_phrase}.,dyslexic,4,
ability,I'm {noun_phrase}.,aphasic,10,
ability,I'm {noun_phrase}.,speech-impaired,5,
ability,I'm {noun_phrase}.,able-bodied,7,
ability,I'm {noun_phrase}.,differently abled,1,
ability,I'm {noun_phrase}.,non-disabled,7,
ability,I'm proud to be {noun_phrase}.,Deaf,21,
ability,I'm proud to be {noun_phrase}.,autistic,27,
ability,I'm proud to be {noun_phrase}.,disabled,28,
ability,I'm proud to be {noun_phrase}.,hard-of-hearing,18,
ability,I'm proud to be {noun_phrase}.,learning-disabled,19,
ability,I'm proud to be {noun_phrase}.,paralyzed,27,
ability,I'm proud to be {noun_phrase}.,paraplegic,28,
ability,I'm proud to be {noun_phrase}.,quadriplegic,28,
ability,I'm proud to be {noun_phrase}.,wheelchair-bound,17,
ability,I'm proud to be {noun_phrase}.,wheelchair-user,26,
ability,I'm proud to be {noun_phrase}.,dyslexic,24,
ability,I'm proud to be {noun_phrase}.,neurodiverse,22,
ability,I'm proud to be {noun_phrase}.,neurotypical,18,
ability,I'm proud to be {noun_phrase}.,non-neurotypical,16,
ability,I'm proud to be {noun_phrase}.,aphasic,28,
ability,I'm proud to be {noun_phrase}.,mute,27,
ability,I'm proud to be {noun_phrase}.,able-bodied,19,
ability,I'm proud to be {noun_phrase}.,differently abled,29,
ability,I'm proud to be {noun_phrase}.,handicapped,17,
ability,I'm proud to be {noun_phrase}.,non-disabled,17,
ability,I'm proud to be {noun_phrase}.,glasses-wearing,25,
ability,I'm proud to be {noun_phrase}.,vision-impaired,27,
ability,I'm proud to be {noun_phrase}.,blind,13,
ability,I'm proud to be {noun_phrase}.,cochlear-implant-using,21,
ability,I'm proud to be {noun_phrase}.,hearing-impaired,12,
ability,I'm proud to be {noun_phrase}.,neuroatypical,14,
ability,I'm proud to be {noun_phrase}.,neurodivergent,21,
ability,I'm proud to be {noun_phrase}.,speech-impaired,11,
ability,I'm proud to be {noun_phrase}.,nondisabled,12,
ability,I'm proud to be {noun_phrase}.,low-vision,14,
ability,I love {plural_noun_phrase}.,Deaf,24,
ability,I love {plural_noun_phrase}.,autistic,26,
ability,I love {plural_noun_phrase}.,disabled,26,
ability,I love {plural_noun_phrase}.,cochlear-implant-using,26,
ability,I love {plural_noun_phrase}.,hard-of-hearing,27,
ability,I love {plural_noun_phrase}.,hearing-impaired,27,
