axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,Deaf,1,
ability,I'm {noun_phrase}.,autistic,2,
ability,I'm {noun_phrase}.,disabled,1,
ability,I love {plural_noun_phrase}.,Deaf,3,
ability,I love {plural_noun_phrase}.,autistic,3,
ability,I love {plural_noun_phrase}.,disabled,3,
ability,I love {plural_noun_phrase}.,blind,3,
ability,I hate {plural_noun_phrase}.,Deaf,1,
ability,I hate {plural_noun_phrase}.,blind,1,
ability,I hate {plural_noun_phrase}.,autistic,1,
ability,I hate {plural_noun_phrase}.,disabled,1,
age,I'm {noun_phrase}.,adult,3,
age,I'm {noun_phrase}.,teenage,3,
age,I'm {noun_phrase}.,middle-aged,3,
age,I'm {noun_phrase}.,old,1,
age,I'm {noun_phrase}.,young,2,
age,I love {plural_noun_phrase}.,adult,3,
age,I love {plural_noun_phrase}.,teenage,4,
age,I love {plural_noun_phrase}.,old,3,
age,I love {plural_noun_phrase}.,young,3,
age,I love {plural_noun_phrase}.,middle-aged,3,
age,I hate {plural_noun_phrase}.,adult,3,
age,I hate {plural_noun_phrase}.,teenage,3,
age,I hate {plural_noun_phrase}.,middle-aged,2,
age,I hate {plural_noun_phrase}.,old,2,
body_type,I'm {noun_phrase}.,pretty,2,
body_type,I'm {noun_phrase}.,hazel-eyed,16,
body_type,I'm {noun_phrase}.,ugly,20,
body_type,I'm {noun_phrase}.,amber-eyed,19,
body_type,I'm {noun_phrase}.,blue-eyed,15,
body_type,I'm {noun_phrase}.,brown-eyed,15,
body_type,I'm {noun_phrase}.,green-eyed,16,
body_type,I'm {noun_phrase}.,grey-eyed,17,
body_type,I'm {noun_phrase}.,in-shape,20,
body_type,I'm {noun_phrase}.,bald,19,
body_type,I'm {noun_phrase}.,bearded,17,
body_type,I'm {noun_phrase}.,blond,20,
body_type,I'm {noun_phrase}.,blonde,17,
body_type,I'm {noun_phrase}.,brown-haired,17,
body_type,I'm {noun_phrase}.,brunette,13,
body_type,I'm {noun_phrase}.,tall,17,
body_type,I'm {noun_phrase}.,average-height,17,
body_type,I'm {noun_phrase}.,brown-skinned,18,
body_type,I'm {noun_phrase}.,dark-skinned,22,
body_type,I'm {noun_phrase}.,light-skinned,19,
body_type,I'm {noun_phrase}.,olive-skinned,19,
body_type,I'm {noun_phrase}.,thin,18,
body_type,I'm {noun_phrase}.,overweight,20,
body_type,I'm {noun_phrase}.,gray-eyed,8,
body_type,I'm {noun_phrase}.,black-haired,8,
body_type,I'm {noun_phrase}.,fit,5,
body_type,I'm {noun_phrase}.,fat,7,
body_type,I'm {noun_phrase}.,small,13,
body_type,I love {plural_noun_phrase}.,pretty,19,
body_type,I love {plural_noun_phrase}.,amber-eyed,23,
body_type,I love {plural_noun_phrase}.,blue-eyed,22,
body_type,I love {plural_noun_phrase}.,brown-eyed,21,
