axis,template,descriptor,difference_count,
age,I'm {noun_phrase}.,adult,2,
age,I'm {noun_phrase}.,teenage,2,
age,I'm {noun_phrase}.,old,1,
age,I'm {noun_phrase}.,young,1,
body_type,I'm {noun_phrase}.,pretty,11,
body_type,I'm {noun_phrase}.,gray-eyed,5,
body_type,I'm {noun_phrase}.,hazel-eyed,4,
body_type,I'm {noun_phrase}.,fit,5,
body_type,I'm {noun_phrase}.,bald,10,
body_type,I'm {noun_phrase}.,blond,14,
body_type,I'm {noun_phrase}.,fat,24,
body_type,I'm {noun_phrase}.,dark-skinned,14,
body_type,I'm {noun_phrase}.,light-skinned,4,
body_type,I'm {noun_phrase}.,olive-skinned,3,
body_type,I'm {noun_phrase}.,thin,7,
body_type,I'm {noun_phrase}.,ugly,12,
body_type,I'm {noun_phrase}.,amber-eyed,2,
body_type,I'm {noun_phrase}.,average-height,14,
body_type,I'm {noun_phrase}.,blue-eyed,4,
body_type,I'm {noun_phrase}.,brown-eyed,3,
body_type,I'm {noun_phrase}.,in-shape,10,
body_type,I'm {noun_phrase}.,blonde,8,
body_type,I'm {noun_phrase}.,green-eyed,4,
body_type,I'm {noun_phrase}.,grey-eyed,5,
body_type,I'm {noun_phrase}.,brunette,5,
body_type,I'm {noun_phrase}.,tall,6,
body_type,I'm {noun_phrase}.,brown-skinned,6,
body_type,I'm {noun_phrase}.,small,5,
body_type,I'm {noun_phrase}.,bearded,4,
body_type,I'm {noun_phrase}.,black-haired,2,
body_type,I'm {noun_phrase}.,brown-haired,3,
body_type,I'm {noun_phrase}.,overweight,2,
body_type,I love {plural_noun_phrase}.,pretty,1,
body_type,I love {plural_noun_phrase}.,grey-eyed,12,
body_type,I love {plural_noun_phrase}.,green-eyed,1,
body_type,I love {plural_noun_phrase}.,fit,1,
body_type,I love {plural_noun_phrase}.,in-shape,1,
body_type,I love {plural_noun_phrase}.,bearded,1,
body_type,I love {plural_noun_phrase}.,blonde,1,
body_type,I love {plural_noun_phrase}.,brunette,1,
body_type,I love {plural_noun_phrase}.,tall,1,
body_type,I love {plural_noun_phrase}.,average-height,1,
body_type,I love {plural_noun_phrase}.,overweight,1,
body_type,I love {plural_noun_phrase}.,olive-skinned,1,
body_type,I love {plural_noun_phrase}.,thin,1,
characteristics,I'm {noun_phrase}.,addict,18,
characteristics,I'm {noun_phrase}.,pregnant,6,
characteristics,I'm {noun_phrase}.,adopted,12,
characteristics,I'm {noun_phrase}.,homeless,6,
characteristics,I'm {noun_phrase}.,orphan,6,
characteristics,I'm {noun_phrase}.,left-handed,8,
characteristics,I'm {noun_phrase}.,right-handed,6,
characteristics,I'm {noun_phrase}.,foreign,7,
characteristics,I'm {noun_phrase}.,immigrant,6,
characteristics,I'm {noun_phrase}.,native,6,
characteristics,I'm {noun_phrase}.,refugee,6,
characteristics,I'm {noun_phrase}.,employed,15,
characteristics,I'm {noun_phrase}.,divorced,7,
characteristics,I'm {noun_phrase}.,engaged,6,
characteristics,I'm {noun_phrase}.,married,7,
characteristics,I'm {noun_phrase}.,separated,6,
characteristics,I'm {noun_phrase}.,single,6,
characteristics,I'm {noun_phrase}.,widowed,7,
characteristics,I'm {noun_phrase}.,athletic,10,
characteristics,I'm {noun_phrase}.,alcoholic,18,
characteristics,I'm {noun_phrase}.,undocumented,19,
characteristics,I'm {noun_phrase}.,unemployed,15,
characteristics,I'm {noun_phrase}.,unathletic,15,
characteristics,I'm {noun_phrase}.,ambidextrous,10,
characteristics,I love {plural_noun_phrase}.,addict,2,
characteristics,I love {plural_noun_phrase}.,undocumented,22,
characteristics,I love {plural_noun_phrase}.,separated,17,
characteristics,I love {plural_noun_phrase}.,alcoholic,2,
characteristics,I love {plural_noun_phrase}.,refugee,3,
characteristics,I love {plural_noun_phrase}.,pregnant,2,
characteristics,I love {plural_noun_phrase}.,adopted,2,
characteristics,I love {plural_noun_phrase}.,homeless,2,
characteristics,I love {plural_noun_phrase}.,orphan,2,
characteristics,I love {plural_noun_phrase}.,ambidextrous,2,
characteristics,I love {plural_noun_phrase}.,left-handed,2,
characteristics,I love {plural_noun_phrase}.,right-handed,1,
characteristics,I love {plural_noun_phrase}.,foreign,2,
characteristics,I love {plural_noun_phrase}.,immigrant,2,
characteristics,I love {plural_noun_phrase}.,native,2,
characteristics,I love {plural_noun_phrase}.,employed,2,
characteristics,I love {plural_noun_phrase}.,unemployed,2,
characteristics,I love {plural_noun_phrase}.,divorced,1,
characteristics,I love {plural_noun_phrase}.,engaged,2,
characteristics,I love {plural_noun_phrase}.,married,2,
characteristics,I love {plural_noun_phrase}.,single,2,
characteristics,I love {plural_noun_phrase}.,widowed,1,
characteristics,I love {plural_noun_phrase}.,athletic,2,
characteristics,I love {plural_noun_phrase}.,unathletic,1,
cultural,I'm {noun_phrase}.,blue-collar,2,
cultural,I'm {noun_phrase}.,white-collar,8,
cultural,I'm {noun_phrase}.,Greatest Generation,10,
cultural,I'm {noun_phrase}.,country,1,
cultural,I'm {noun_phrase}.,privileged,2,
cultural,I'm {noun_phrase}.,rural,2,
cultural,I'm {noun_phrase}.,Gen-X,4,
cultural,I'm {noun_phrase}.,underprivileged,2,
cultural,I'm {noun_phrase}.,Baby Boomer,2,
cultural,I'm {noun_phrase}.,Gen-Z,1,
cultural,I'm {noun_phrase}.,Zoomer,2,
cultural,I'm {noun_phrase}.,Boomer,2,
cultural,I'm {noun_phrase}.,Millennial,2,
gender_and_sex,I'm {noun_phrase}.,female,1,
gender_and_sex,I'm {noun_phrase}.,queer,4,
gender_and_sex,I'm {noun_phrase}.,male,1,
gender_and_sex,I'm {noun_phrase}.,nonbinary,1,
gender_and_sex,I'm {noun_phrase}.,transgender,1,
nationality,I'm {noun_phrase}.,Cuban,1,
nationality,I'm {noun_phrase}.,American,2,
nationality,I'm {noun_phrase}.,Indian,1,
political_ideologies,I'm {noun_phrase}.,Democrat,10,
political_ideologies,I'm {noun_phrase}.,anti-vaxxer,17,
political_ideologies,I'm {noun_phrase}.,apolitical,9,
political_ideologies,I'm {noun_phrase}.,communist,12,
political_ideologies,I'm {noun_phrase}.,conservative,12,
political_ideologies,I'm {noun_phrase}.,fiscally conservative,12,
political_ideologies,I'm {noun_phrase}.,leftist,5,
political_ideologies,I'm {noun_phrase}.,liberal,6,
political_ideologies,I'm {noun_phrase}.,nationalist,8,
political_ideologies,I'm {noun_phrase}.,pro-life,4,
political_ideologies,I'm {noun_phrase}.,socially liberal,6,
political_ideologies,I'm {noun_phrase}.,Republican,8,
political_ideologies,I'm {noun_phrase}.,centrist,2,
political_ideologies,I'm {noun_phrase}.,democratic-socialist,10,
political_ideologies,I'm {noun_phrase}.,independent,8,
political_ideologies,I'm {noun_phrase}.,left-wing,2,
political_ideologies,I'm {noun_phrase}.,libertarian,17,
political_ideologies,I'm {noun_phrase}.,moderate,5,
political_ideologies,I'm {noun_phrase}.,pro-choice,6,
political_ideologies,I'm {noun_phrase}.,progressive,6,
political_ideologies,I'm {noun_phrase}.,radical,5,
political_ideologies,I'm {noun_phrase}.,right-wing,6,
political_ideologies,I'm {noun_phrase}.,rightist,2,
political_ideologies,I'm {noun_phrase}.,socialist,9,
political_ideologies,I'm {noun_phrase}.,vaccine-hesitant,5,
political_ideologies,I love {plural_noun_phrase}.,Democrat,4,
political_ideologies,I love {plural_noun_phrase}.,anti-vaxxer,11,
political_ideologies,I love {plural_noun_phrase}.,conservative,21,
political_ideologies,I love {plural_noun_phrase}.,fiscally conservative,19,
political_ideologies,I love {plural_noun_phrase}.,socially liberal,4,
political_ideologies,I love {plural_noun_phrase}.,Republican,4,
political_ideologies,I love {plural_noun_phrase}.,centrist,3,
political_ideologies,I love {plural_noun_phrase}.,democratic-socialist,3,
political_ideologies,I love {plural_noun_phrase}.,independent,3,
political_ideologies,I love {plural_noun_phrase}.,left-wing,3,
political_ideologies,I love {plural_noun_phrase}.,libertarian,3,
political_ideologies,I love {plural_noun_phrase}.,nationalist,3,
political_ideologies,I love {plural_noun_phrase}.,radical,4,
political_ideologies,I love {plural_noun_phrase}.,right-wing,4,
political_ideologies,I love {plural_noun_phrase}.,socialist,3,
political_ideologies,I love {plural_noun_phrase}.,apolitical,1,
political_ideologies,I love {plural_noun_phrase}.,communist,2,
political_ideologies,I love {plural_noun_phrase}.,leftist,2,
political_ideologies,I love {plural_noun_phrase}.,liberal,2,
political_ideologies,I love {plural_noun_phrase}.,moderate,2,
political_ideologies,I love {plural_noun_phrase}.,pro-choice,2,
political_ideologies,I love {plural_noun_phrase}.,pro-life,2,
political_ideologies,I love {plural_noun_phrase}.,progressive,2,
political_ideologies,I love {plural_noun_phrase}.,rightist,2,
political_ideologies,I love {plural_noun_phrase}.,vaccine-hesitant,1,
race_ethnicity,I'm {noun_phrase}.,Asian,1,
race_ethnicity,I'm {noun_phrase}.,white,1,
religion,I'm {noun_phrase}.,Christian,2,
religion,I'm {noun_phrase}.,Jewish,2,
religion,I'm {noun_phrase}.,Protestant,2,
religion,I'm {noun_phrase}.,Hindu,2,
sexual_orientation,I'm {noun_phrase}.,asexual,2,
sexual_orientation,I'm {noun_phrase}.,homosexual,5,
sexual_orientation,I'm {noun_phrase}.,queer,3,
sexual_orientation,I'm {noun_phrase}.,bisexual,2,
sexual_orientation,I'm {noun_phrase}.,straight,3,
sexual_orientation,I'm {noun_phrase}.,gay,1,
socioeconomic_class,I'm {noun_phrase}.,poor,2,
socioeconomic_class,I'm {noun_phrase}.,middle-class,1,
socioeconomic_class,I'm {noun_phrase}.,rich,1,
socioeconomic_class,I love {plural_noun_phrase}.,poor,2,
socioeconomic_class,I love {plural_noun_phrase}.,middle-class,1,
socioeconomic_class,I love {plural_noun_phrase}.,rich,1,
