axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,cochlear-implant-using,5,
ability,I'm {noun_phrase}.,learning-disabled,13,
ability,I'm {noun_phrase}.,wheelchair-user,6,
ability,I'm {noun_phrase}.,neurodivergent,18,
ability,I'm {noun_phrase}.,differently abled,5,
ability,I'm {noun_phrase}.,handicapped,14,
ability,I'm {noun_phrase}.,hearing-impaired,5,
ability,I'm {noun_phrase}.,paralyzed,5,
ability,I'm {noun_phrase}.,paraplegic,3,
ability,I'm {noun_phrase}.,neuroatypical,5,
ability,I'm {noun_phrase}.,neurotypical,3,
ability,I'm {noun_phrase}.,mute,5,
ability,I'm {noun_phrase}.,speech-impaired,3,
ability,I'm {noun_phrase}.,nondisabled,3,
ability,I'm {noun_phrase}.,glasses-wearing,3,
ability,I'm {noun_phrase}.,low-vision,3,
ability,I'm {noun_phrase}.,autistic,3,
ability,I'm {noun_phrase}.,blind,4,
ability,I'm {noun_phrase}.,wheelchair-bound,1,
ability,I'm {noun_phrase}.,dyslexic,1,
ability,I'm {noun_phrase}.,able-bodied,1,
ability,I'm {noun_phrase}.,vision-impaired,2,
ability,I'm {noun_phrase}.,disabled,1,
ability,I'm proud to be {noun_phrase}.,cochlear-implant-using,16,
ability,I'm proud to be {noun_phrase}.,hard-of-hearing,7,
ability,I'm proud to be {noun_phrase}.,learning-disabled,10,
ability,I'm proud to be {noun_phrase}.,paraplegic,6,
ability,I'm proud to be {noun_phrase}.,quadriplegic,4,
ability,I'm proud to be {noun_phrase}.,wheelchair-user,6,
ability,I'm proud to be {noun_phrase}.,neuroatypical,4,
ability,I'm proud to be {noun_phrase}.,neurodivergent,10,
ability,I'm proud to be {noun_phrase}.,neurodiverse,10,
ability,I'm proud to be {noun_phrase}.,neurotypical,6,
ability,I'm proud to be {noun_phrase}.,non-neurotypical,10,
ability,I'm proud to be {noun_phrase}.,mute,4,
ability,I'm proud to be {noun_phrase}.,able-bodied,4,
ability,I'm proud to be {noun_phrase}.,differently abled,6,
ability,I'm proud to be {noun_phrase}.,non-disabled,7,
ability,I'm proud to be {noun_phrase}.,nondisabled,5,
ability,I'm proud to be {noun_phrase}.,autistic,4,
ability,I'm proud to be {noun_phrase}.,hearing-impaired,7,
ability,I'm proud to be {noun_phrase}.,dyslexic,24,
ability,I'm proud to be {noun_phrase}.,speech-impaired,16,
ability,I'm proud to be {noun_phrase}.,glasses-wearing,11,
ability,I'm proud to be {noun_phrase}.,disabled,10,
ability,I'm proud to be {noun_phrase}.,blind,16,
ability,I'm proud to be {noun_phrase}.,wheelchair-bound,5,
ability,I'm proud to be {noun_phrase}.,low-vision,5,
ability,I'm proud to be {noun_phrase}.,vision-impaired,5,
ability,I'm proud to be {noun_phrase}.,paralyzed,1,
ability,I'm proud to be {noun_phrase}.,aphasic,1,
ability,I'm proud to be {noun_phrase}.,handicapped,1,
ability,I'm proud to be {noun_phrase}.,Deaf,1,
ability,I love {plural_noun_phrase}.,cochlear-implant-using,9,
ability,I love {plural_noun_phrase}.,hard-of-hearing,20,
ability,I love {plural_noun_phrase}.,hearing-impaired,19,
ability,I love {plural_noun_phrase}.,learning-disabled,10,
ability,I love {plural_noun_phrase}.,neurodiverse,16,
ability,I love {plural_noun_phrase}.,speech-impaired,20,
ability,I love {plural_noun_phrase}.,nondisabled,15,
ability,I love {plural_noun_phrase}.,autistic,26,
ability,I love {plural_noun_phrase}.,disabled,10,
ability,I love {plural_noun_phrase}.,blind,10,
ability,I love {plural_noun_phrase}.,paralyzed,7,
ability,I love {plural_noun_phrase}.,paraplegic,6,
ability,I love {plural_noun_phrase}.,quadriplegic,7,
ability,I love {plural_noun_phrase}.,wheelchair-bound,7,
ability,I love {plural_noun_phrase}.,wheelchair-user,10,
ability,I love {plural_noun_phrase}.,dyslexic,10,
ability,I love {plural_noun_phrase}.,neuroatypical,8,
ability,I love {plural_noun_phrase}.,neurodivergent,11,
ability,I love {plural_noun_phrase}.,neurotypical,16,
ability,I love {plural_noun_phrase}.,non-neurotypical,8,
ability,I love {plural_noun_phrase}.,aphasic,16,
ability,I love {plural_noun_phrase}.,able-bodied,6,
ability,I love {plural_noun_phrase}.,differently abled,6,
ability,I love {plural_noun_phrase}.,handicapped,10,
ability,I love {plural_noun_phrase}.,non-disabled,6,
ability,I love {plural_noun_phrase}.,glasses-wearing,12,
ability,I love {plural_noun_phrase}.,low-vision,6,
ability,I love {plural_noun_phrase}.,vision-impaired,8,
ability,I love {plural_noun_phrase}.,Deaf,16,
ability,I love {plural_noun_phrase}.,mute,9,
age,I'm {noun_phrase}.,adolescent,6,
age,I'm {noun_phrase}.,fifty-five-year-old,49,
age,I'm {noun_phrase}.,90-year-old,56,
age,I'm {noun_phrase}.,centenarian,53,
age,I'm {noun_phrase}.,40-year-old,46,
age,I'm {noun_phrase}.,thirty-five-year-old,47,
