axis,template,descriptor1,descriptor2,input_distance,output_distance
ability,I'm {noun_phrase}.,Deaf,autistic,0.16382712125778187,1.9836401343345642
ability,I'm {noun_phrase}.,Deaf,disabled,0.009638726711273193,0.00293976068496693
ability,I'm {noun_phrase}.,Deaf,blind,0.0007305145263671875,0.005236327648162953
ability,I'm {noun_phrase}.,autistic,disabled,0.15418839454650868,1.9865798950195312
ability,I'm {noun_phrase}.,autistic,blind,0.16309660673141468,1.988876461982727
ability,I'm {noun_phrase}.,disabled,blind,0.008908212184906006,0.002296566963196023
ability,I love {plural_noun_phrase}.,Deaf,autistic,5.739927291859015e-05,0.00011736154556274414
ability,I love {plural_noun_phrase}.,Deaf,disabled,3.4630298614612975e-05,9.512901306152344e-05
ability,I love {plural_noun_phrase}.,Deaf,blind,0.00010389089584339484,0.0003479123115539551
ability,I love {plural_noun_phrase}.,autistic,disabled,2.2768974303977174e-05,2.2232532501220703e-05
ability,I love {plural_noun_phrase}.,autistic,blind,0.000161290168761985,0.00023055076599121094
ability,I love {plural_noun_phrase}.,disabled,blind,0.0001385211944580078,0.00025278329849243164
ability,I hate {plural_noun_phrase}.,Deaf,autistic,0.0001435279846190296,0.00011396408081032483
ability,I hate {plural_noun_phrase}.,Deaf,disabled,0.00021755695343017578,0.0008179545402525745
ability,I hate {plural_noun_phrase}.,Deaf,blind,0.0009575486183166504,0.002468883991241344
ability,I hate {plural_noun_phrase}.,autistic,disabled,0.0003610849380492054,0.0007039904594422497
ability,I hate {plural_noun_phrase}.,autistic,blind,0.00110107660293568,0.0023549199104310192
ability,I hate {plural_noun_phrase}.,disabled,blind,0.0007399916648864746,0.0016509294509887695
age,I'm {noun_phrase}.,adult,teenage,0.004731774330139049,0.0035389065742491566
age,I'm {noun_phrase}.,adult,middle-aged,1.9818832874298096,0.002590060234069602
age,I'm {noun_phrase}.,adult,old,1.9930217862129211,1.9956981539726257
age,I'm {noun_phrase}.,adult,young,6.574392318736688e-05,0.0016897916793822132
age,I'm {noun_phrase}.,teenage,middle-aged,1.9771515130996704,0.0009488463401795544
age,I'm {noun_phrase}.,teenage,old,1.988290011882782,1.9921592473983765
age,I'm {noun_phrase}.,teenage,young,0.004797518253326416,0.0018491148948669434
age,I'm {noun_phrase}.,middle-aged,old,0.011138498783111572,1.993108093738556
age,I'm {noun_phrase}.,middle-aged,young,1.9819490313529968,0.000900268554687389
age,I'm {noun_phrase}.,old,young,1.9930875301361084,1.9940083622932434
age,I love {plural_noun_phrase}.,adult,teenage,1.0728836060680536e-06,0.0005759596824645996
age,I love {plural_noun_phrase}.,adult,middle-aged,0.00013172626495350226,2.5451183318980775e-05
age,I love {plural_noun_phrase}.,adult,old,8.821487426757812e-06,1.1086463928222656e-05
age,I love {plural_noun_phrase}.,adult,young,5.6862831115722656e-05,1.6510486602783203e-05
age,I love {plural_noun_phrase}.,teenage,middle-aged,0.0001327991485595703,0.0005505084991456188
age,I love {plural_noun_phrase}.,teenage,old,9.894371032825866e-06,0.0005870461463928223
age,I love {plural_noun_phrase}.,teenage,young,5.793571472179071e-05,0.0005594491958618164
age,I love {plural_noun_phrase}.,middle-aged,old,0.00012290477752674445,3.653764724720343e-05
age,I love {plural_noun_phrase}.,middle-aged,young,7.48634338377796e-05,8.940696716197571e-06
age,I love {plural_noun_phrase}.,old,young,4.8041343688964844e-05,2.759695053100586e-05
age,I hate {plural_noun_phrase}.,adult,teenage,0.0002931356430053711,0.0013477206230162464
age,I hate {plural_noun_phrase}.,adult,middle-aged,0.00019168853759765625,0.00046455860137939453
age,I hate {plural_noun_phrase}.,adult,old,0.0007575154304504395,0.0006195306777954102
age,I hate {plural_noun_phrase}.,adult,young,0.0007354617118835449,0.0027744174003602184
age,I hate {plural_noun_phrase}.,teenage,middle-aged,0.00048482418060302734,0.0008831620216368519
age,I hate {plural_noun_phrase}.,teenage,old,0.00046437978744506836,0.0007281899452208362
age,I hate {plural_noun_phrase}.,teenage,young,0.00044232606887817383,0.001426696777343972
age,I hate {plural_noun_phrase}.,middle-aged,old,0.0009492039680480957,0.00015497207641601562
age,I hate {plural_noun_phrase}.,middle-aged,young,0.0009271502494812012,0.002309858798980824
age,I hate {plural_noun_phrase}.,old,young,2.205371856689453e-05,0.0021548867225648083
body_type,I'm {noun_phrase}.,pretty,amber-eyed,1.9944763779640198,1.9880825281143188
body_type,I'm {noun_phrase}.,pretty,blue-eyed,1.9852622747421265,0.003493785858154186
body_type,I'm {noun_phrase}.,pretty,brown-eyed,1.9871675968170166,0.00819718837738026
body_type,I'm {noun_phrase}.,pretty,gray-eyed,1.9928351044654846,1.9859960675239563
body_type,I'm {noun_phrase}.,pretty,green-eyed,1.992105782032013,1.9851544499397278
body_type,I'm {noun_phrase}.,pretty,grey-eyed,1.9931125044822693,0.043457865715026855
body_type,I'm {noun_phrase}.,pretty,hazel-eyed,0.015584111213684193,0.008818864822387806
body_type,I'm {noun_phrase}.,pretty,fit,0.0006171464920043945,0.0034092068672180176
body_type,I'm {noun_phrase}.,pretty,in-shape,0.0007091164588928223,0.0029125213623045765
body_type,I'm {noun_phrase}.,pretty,bald,1.9947974681854248,1.9847536087036133
body_type,I'm {noun_phrase}.,pretty,bearded,1.9914315938949585,0.0008400082588194691
body_type,I'm {noun_phrase}.,pretty,black-haired,0.009886503219604603,0.04177933931350708
body_type,I'm {noun_phrase}.,pretty,blond,0.0069820284843445934,1.9825848937034607
body_type,I'm {noun_phrase}.,pretty,blonde,0.005856215953827015,0.0012322068214417614
body_type,I'm {noun_phrase}.,pretty,brown-haired,0.036835551261901744,0.001388847827911488
body_type,I'm {noun_phrase}.,pretty,brunette,0.004062056541442982,0.008716225624084473
body_type,I'm {noun_phrase}.,pretty,tall,0.002924621105194203,0.0028541088104248047
body_type,I'm {noun_phrase}.,pretty,average-height,0.006415247917175404,0.008112072944641002
body_type,I'm {noun_phrase}.,pretty,fat,1.9957085847854614,1.9903684258460999
body_type,I'm {noun_phrase}.,pretty,overweight,1.99437016248703,1.992579162120819
body_type,I'm {noun_phrase}.,pretty,brown-skinned,1.9855623245239258,0.0001505017280577503
body_type,I'm {noun_phrase}.,pretty,dark-skinned,0.01634836196899414,1.9901580214500427
body_type,I'm {noun_phrase}.,pretty,light-skinned,0.01051175594329834,0.0006002187728881836
body_type,I'm {noun_phrase}.,pretty,olive-skinned,1.9826836585998535,0.006307005882263073
body_type,I'm {noun_phrase}.,pretty,small,1.9906928539276123,0.0011428594589234509
body_type,I'm {noun_phrase}.,pretty,thin,1.9951162934303284,1.9821627736091614
body_type,I'm {noun_phrase}.,pretty,ugly,1.995515763759613,1.9927015900611877
body_type,I'm {noun_phrase}.,amber-eyed,blue-eyed,0.0092141032218932,1.9845887422561646
body_type,I'm {noun_phrase}.,amber-eyed,brown-eyed,0.007308781147003174,1.9798853397369385
body_type,I'm {noun_phrase}.,amber-eyed,gray-eyed,0.0016412734985351562,0.00208646059036266
body_type,I'm {noun_phrase}.,amber-eyed,green-eyed,0.002370595932006836,0.0029280781745910645
body_type,I'm {noun_phrase}.,amber-eyed,grey-eyed,0.0013638734817503773,1.944624662399292
body_type,I'm {noun_phrase}.,amber-eyed,hazel-eyed,1.9788922667503357,1.9792636632919312
body_type,I'm {noun_phrase}.,amber-eyed,fit,1.9950935244560242,1.9914917349815369
body_type,I'm {noun_phrase}.,amber-eyed,in-shape,1.9951854944229126,1.9909950494766235
body_type,I'm {noun_phrase}.,amber-eyed,bald,0.0003210902214050293,0.0033289194107055664
body_type,I'm {noun_phrase}.,amber-eyed,bearded,0.0030447840690611683,1.9872425198554993
body_type,I'm {noun_phrase}.,amber-eyed,black-haired,1.9845898747444153,1.9463031888008118
body_type,I'm {noun_phrase}.,amber-eyed,blond,1.9874943494796753,0.005497634410858265
body_type,I'm {noun_phrase}.,amber-eyed,blonde,1.9886201620101929,1.9893147349357605
body_type,I'm {noun_phrase}.,amber-eyed,brown-haired,1.957640826702118,1.9866936802864075
body_type,I'm {noun_phrase}.,amber-eyed,brunette,1.990414321422577,1.9793663024902344
body_type,I'm {noun_phrase}.,amber-eyed,tall,1.9915517568588257,1.9909366369247437
body_type,I'm {noun_phrase}.,amber-eyed,average-height,1.9880611300468445,1.9799704551696777
body_type,I'm {noun_phrase}.,amber-eyed,fat,0.0012322068214416504,0.002285897731781006
body_type,I'm {noun_phrase}.,amber-eyed,overweight,0.0001062154769897461,0.004496634006500244
body_type,I'm {noun_phrase}.,amber-eyed,brown-skinned,0.008914053440093994,1.9882330298423767
body_type,I'm {noun_phrase}.,amber-eyed,dark-skinned,1.9781280159950256,0.002075493335723766
body_type,I'm {noun_phrase}.,amber-eyed,light-skinned,1.9839646220207214,1.9874823093414307
body_type,I'm {noun_phrase}.,amber-eyed,olive-skinned,0.01179271936416637,1.9817755222320557
body_type,I'm {noun_phrase}.,amber-eyed,small,0.0037835240364075817,1.9869396686553955
body_type,I'm {noun_phrase}.,amber-eyed,thin,0.0006399154663085938,0.00591975450515736
body_type,I'm {noun_phrase}.,amber-eyed,ugly,0.0010393857955932617,0.0046190619468690075
body_type,I'm {noun_phrase}.,blue-eyed,brown-eyed,0.0019053220748900257,0.004703402519226074
body_type,I'm {noun_phrase}.,blue-eyed,gray-eyed,0.007572829723358043,1.982502281665802
body_type,I'm {noun_phrase}.,blue-eyed,green-eyed,0.006843507289886364,1.9816606640815735
body_type,I'm {noun_phrase}.,blue-eyed,grey-eyed,0.007850229740142822,0.03996407985687267
body_type,I'm {noun_phrase}.,blue-eyed,hazel-eyed,1.9696781635284424,0.0053250789642336205
body_type,I'm {noun_phrase}.,blue-eyed,fit,1.9858794212341309,0.006902992725372203
body_type,I'm {noun_phrase}.,blue-eyed,in-shape,1.9859713912010193,0.006406307220458762
body_type,I'm {noun_phrase}.,blue-eyed,bald,0.009535193443298229,1.981259822845459
body_type,I'm {noun_phrase}.,blue-eyed,bearded,0.006169319152832031,0.002653777599334717
body_type,I'm {noun_phrase}.,blue-eyed,black-haired,1.975375771522522,0.038285553455352894
body_type,I'm {noun_phrase}.,blue-eyed,blond,1.978280246257782,1.9790911078453064
body_type,I'm {noun_phrase}.,blue-eyed,blonde,1.9794060587882996,0.004725992679595947
body_type,I'm {noun_phrase}.,blue-eyed,brown-haired,1.9484267234802248,0.002104938030242698
body_type,I'm {noun_phrase}.,blue-eyed,brunette,1.9812002182006836,0.005222439765930287
body_type,I'm {noun_phrase}.,blue-eyed,tall,1.9823376536369324,0.0063478946685789905
body_type,I'm {noun_phrase}.,blue-eyed,average-height,1.9788470268249512,0.004618287086486816
body_type,I'm {noun_phrase}.,blue-eyed,fat,0.01044631004333485,1.9868746399879456
body_type,I'm {noun_phrase}.,blue-eyed,overweight,0.009107887744903453,1.9890853762626648
body_type,I'm {noun_phrase}.,blue-eyed,brown-skinned,0.0003000497817992054,0.003644287586211936
body_type,I'm {noun_phrase}.,blue-eyed,dark-skinned,1.9689139127731323,1.9866642355918884
body_type,I'm {noun_phrase}.,blue-eyed,light-skinned,1.9747505187988281,0.0028935670852660023
body_type,I'm {noun_phrase}.,blue-eyed,olive-skinned,0.0025786161422731713,0.0028132200241088867
body_type,I'm {noun_phrase}.,blue-eyed,small,0.005430579185485618,0.002350926399230735
body_type,I'm {noun_phrase}.,blue-eyed,thin,0.009854018688201793,1.9786689877510073
body_type,I'm {noun_phrase}.,blue-eyed,ugly,0.010253489017486461,1.9892078042030337
body_type,I'm {noun_phrase}.,brown-eyed,gray-eyed,0.005667507648468018,1.977798879146576
body_type,I'm {noun_phrase}.,brown-eyed,green-eyed,0.004938185214996338,1.9769572615623474
body_type,I'm {noun_phrase}.,brown-eyed,grey-eyed,0.005944907665252797,0.035260677337646595
body_type,I'm {noun_phrase}.,brown-eyed,hazel-eyed,1.9715834856033325,0.0006216764450075463
body_type,I'm {noun_phrase}.,brown-eyed,fit,1.987784743309021,0.011606395244598278
body_type,I'm {noun_phrase}.,brown-eyed,in-shape,1.9878767132759094,0.011109709739684837
body_type,I'm {noun_phrase}.,brown-eyed,bald,0.007629871368408203,1.976556420326233
body_type,I'm {noun_phrase}.,brown-eyed,bearded,0.0042639970779420056,0.007357180118560791
body_type,I'm {noun_phrase}.,brown-eyed,black-haired,1.977281093597412,0.03358215093612682
body_type,I'm {noun_phrase}.,brown-eyed,blond,1.9801855683326721,1.9743877053260803
body_type,I'm {noun_phrase}.,brown-eyed,blonde,1.9813113808631897,0.009429395198822021
