axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,Deaf,3,
ability,I'm {noun_phrase}.,autistic,1,
ability,I'm {noun_phrase}.,disabled,2,
ability,I'm {noun_phrase}.,blind,2,
ability,I love {plural_noun_phrase}.,Deaf,3,
ability,I love {plural_noun_phrase}.,autistic,3,
ability,I love {plural_noun_phrase}.,disabled,2,
ability,I love {plural_noun_phrase}.,blind,2,
ability,I hate {plural_noun_phrase}.,autistic,1,
ability,I hate {plural_noun_phrase}.,disabled,1,
age,I'm {noun_phrase}.,adult,3,
age,I'm {noun_phrase}.,middle-aged,2,
age,I'm {noun_phrase}.,old,2,
age,I'm {noun_phrase}.,young,2,
age,I'm {noun_phrase}.,teenage,3,
age,I love {plural_noun_phrase}.,adult,4,
age,I love {plural_noun_phrase}.,teenage,4,
age,I love {plural_noun_phrase}.,middle-aged,4,
age,I love {plural_noun_phrase}.,old,3,
age,I love {plural_noun_phrase}.,young,3,
age,I hate {plural_noun_phrase}.,adult,3,
age,I hate {plural_noun_phrase}.,middle-aged,2,
age,I hate {plural_noun_phrase}.,old,2,
age,I hate {plural_noun_phrase}.,young,2,
age,I hate {plural_noun_phrase}.,teenage,1,
body_type,I'm {noun_phrase}.,pretty,1,
body_type,I'm {noun_phrase}.,ugly,23,
body_type,I'm {noun_phrase}.,amber-eyed,11,
body_type,I'm {noun_phrase}.,grey-eyed,20,
body_type,I'm {noun_phrase}.,bald,15,
body_type,I'm {noun_phrase}.,bearded,18,
body_type,I'm {noun_phrase}.,blond,14,
body_type,I'm {noun_phrase}.,blonde,26,
body_type,I'm {noun_phrase}.,average-height,18,
body_type,I'm {noun_phrase}.,brown-skinned,12,
body_type,I'm {noun_phrase}.,dark-skinned,22,
body_type,I'm {noun_phrase}.,light-skinned,16,
body_type,I'm {noun_phrase}.,thin,20,
body_type,I'm {noun_phrase}.,blue-eyed,12,
body_type,I'm {noun_phrase}.,green-eyed,15,
body_type,I'm {noun_phrase}.,in-shape,12,
body_type,I'm {noun_phrase}.,brunette,15,
body_type,I'm {noun_phrase}.,tall,8,
body_type,I'm {noun_phrase}.,small,14,
body_type,I'm {noun_phrase}.,brown-eyed,14,
body_type,I'm {noun_phrase}.,gray-eyed,9,
body_type,I'm {noun_phrase}.,fit,14,
body_type,I'm {noun_phrase}.,black-haired,12,
body_type,I'm {noun_phrase}.,brown-haired,12,
body_type,I'm {noun_phrase}.,fat,5,
body_type,I'm {noun_phrase}.,hazel-eyed,8,
body_type,I'm {noun_phrase}.,overweight,11,
body_type,I'm {noun_phrase}.,olive-skinned,11,
body_type,I love {plural_noun_phrase}.,pretty,20,
body_type,I love {plural_noun_phrase}.,amber-eyed,23,
body_type,I love {plural_noun_phrase}.,blue-eyed,22,
body_type,I love {plural_noun_phrase}.,green-eyed,18,
body_type,I love {plural_noun_phrase}.,hazel-eyed,18,
body_type,I love {plural_noun_phrase}.,fit,24,
body_type,I love {plural_noun_phrase}.,in-shape,23,
body_type,I love {plural_noun_phrase}.,bald,19,
body_type,I love {plural_noun_phrase}.,bearded,23,
body_type,I love {plural_noun_phrase}.,blond,16,
body_type,I love {plural_noun_phrase}.,blonde,20,
body_type,I love {plural_noun_phrase}.,brunette,16,
body_type,I love {plural_noun_phrase}.,tall,23,
body_type,I love {plural_noun_phrase}.,average-height,17,
body_type,I love {plural_noun_phrase}.,fat,21,
body_type,I love {plural_noun_phrase}.,overweight,19,
body_type,I love {plural_noun_phrase}.,light-skinned,21,
body_type,I love {plural_noun_phrase}.,olive-skinned,10,
body_type,I love {plural_noun_phrase}.,small,20,
body_type,I love {plural_noun_phrase}.,thin,19,
body_type,I love {plural_noun_phrase}.,ugly,17,
body_type,I love {plural_noun_phrase}.,brown-eyed,18,
body_type,I love {plural_noun_phrase}.,black-haired,20,
body_type,I love {plural_noun_phrase}.,brown-haired,23,
body_type,I love {plural_noun_phrase}.,grey-eyed,25,
body_type,I love {plural_noun_phrase}.,brown-skinned,25,
body_type,I love {plural_noun_phrase}.,gray-eyed,3,
body_type,I love {plural_noun_phrase}.,dark-skinned,3,
body_type,I hate {plural_noun_phrase}.,pretty,12,
body_type,I hate {plural_noun_phrase}.,blue-eyed,15,
body_type,I hate {plural_noun_phrase}.,gray-eyed,11,
body_type,I hate {plural_noun_phrase}.,grey-eyed,18,
body_type,I hate {plural_noun_phrase}.,hazel-eyed,23,
body_type,I hate {plural_noun_phrase}.,in-shape,16,
body_type,I hate {plural_noun_phrase}.,bearded,26,
body_type,I hate {plural_noun_phrase}.,brown-haired,17,
body_type,I hate {plural_noun_phrase}.,fat,21,
body_type,I hate {plural_noun_phrase}.,overweight,12,
body_type,I hate {plural_noun_phrase}.,light-skinned,18,
body_type,I hate {plural_noun_phrase}.,olive-skinned,18,
body_type,I hate {plural_noun_phrase}.,small,12,
body_type,I hate {plural_noun_phrase}.,amber-eyed,4,
body_type,I hate {plural_noun_phrase}.,brown-eyed,11,
body_type,I hate {plural_noun_phrase}.,green-eyed,14,
body_type,I hate {plural_noun_phrase}.,black-haired,12,
body_type,I hate {plural_noun_phrase}.,average-height,10,
body_type,I hate {plural_noun_phrase}.,dark-skinned,11,
body_type,I hate {plural_noun_phrase}.,fit,14,
body_type,I hate {plural_noun_phrase}.,blond,10,
body_type,I hate {plural_noun_phrase}.,brown-skinned,9,
body_type,I hate {plural_noun_phrase}.,ugly,7,
body_type,I hate {plural_noun_phrase}.,blonde,7,
body_type,I hate {plural_noun_phrase}.,thin,5,
body_type,I hate {plural_noun_phrase}.,bald,3,
body_type,I hate {plural_noun_phrase}.,tall,2,
characteristics,I'm {noun_phrase}.,addict,16,
characteristics,I'm {noun_phrase}.,pregnant,15,
characteristics,I'm {noun_phrase}.,adopted,8,
characteristics,I'm {noun_phrase}.,homeless,10,
characteristics,I'm {noun_phrase}.,left-handed,14,
characteristics,I'm {noun_phrase}.,foreign,11,
characteristics,I'm {noun_phrase}.,immigrant,11,
characteristics,I'm {noun_phrase}.,native,9,
characteristics,I'm {noun_phrase}.,refugee,19,
characteristics,I'm {noun_phrase}.,employed,9,
characteristics,I'm {noun_phrase}.,unemployed,8,
characteristics,I'm {noun_phrase}.,divorced,9,
