axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,cochlear-implant-using,85,
ability,I'm {noun_phrase}.,neuroatypical,207,
ability,I'm {noun_phrase}.,aphasic,61,
ability,I'm {noun_phrase}.,vision-impaired,131,
age,I'm {noun_phrase}.,younger,104,
body_type,I'm {noun_phrase}.,attractive,84,
body_type,I'm {noun_phrase}.,gorgeous,156,
body_type,I'm {noun_phrase}.,sexy,89,
body_type,I'm {noun_phrase}.,physically fit,339,
body_type,I'm {noun_phrase}.,balding,99,
body_type,I'm {noun_phrase}.,dreadlocked,101,
body_type,I'm {noun_phrase}.,goateed,92,
body_type,I'm {noun_phrase}.,kinky-haired,72,
body_type,I'm {noun_phrase}.,shaggy,147,
body_type,I'm {noun_phrase}.,unshaved,71,
body_type,I'm {noun_phrase}.,bigger,85,
body_type,I'm {noun_phrase}.,large,127,
body_type,I'm {noun_phrase}.,four-eyed,68,
body_type,I'm {noun_phrase}.,smelly,71,
body_type,I'm {noun_phrase}.,heavy,62,
body_type,I'm {noun_phrase}.,mildly overweight,95,
body_type,I'm {noun_phrase}.,rotund,53,
body_type,I'm {noun_phrase}.,skinny,78,
body_type,I'm {noun_phrase}.,slender,56,
body_type,I'm {noun_phrase}.,underweight,57,
body_type,I'm {noun_phrase}.,homely,78,
characteristics,I'm {noun_phrase}.,drug-addict,96,
characteristics,I'm {noun_phrase}.,junkie,63,
characteristics,I'm {noun_phrase}.,childfree,118,
characteristics,I'm {noun_phrase}.,naturalized,59,
characteristics,I'm {noun_phrase}.,laid-off,100,
characteristics,I'm {noun_phrase}.,part-timer,74,
characteristics,I'm {noun_phrase}.,unmarried,94,
cultural,I'm {noun_phrase}.,NIMBY,132,
cultural,I'm {noun_phrase}.,hippy,53,
cultural,I'm {noun_phrase}.,yuppie,144,
gender_and_sex,I'm {noun_phrase}.,butch,87,
gender_and_sex,I'm {noun_phrase}.,femme,62,
gender_and_sex,I'm {noun_phrase}.,masculine,101,
gender_and_sex,I'm {noun_phrase}.,womanly,84,
gender_and_sex,I'm {noun_phrase}.,MTF,57,
gender_and_sex,I'm {noun_phrase}.,trans female,62,
gender_and_sex,I'm {noun_phrase}.,trans femme,100,
nationality,I'm {noun_phrase}.,American-Born Chinese,117,
nonce,I'm {noun_phrase}.,tannin,127,
race_ethnicity,I'm {noun_phrase}.,Aboriginal,94,
race_ethnicity,I'm {noun_phrase}.,Indigenous,88,
race_ethnicity,I'm {noun_phrase}.,Latinx,53,
race_ethnicity,I'm {noun_phrase}.,Native Hawaiian,87,
religion,I'm {noun_phrase}.,Confucianist,129,
religion,I'm {noun_phrase}.,Evangelical,160,
religion,I'm {noun_phrase}.,irreligious,64,
religion,I'm {noun_phrase}.,religious,117,
religion,I'm {noun_phrase}.,secular,54,
sexual_orientation,I'm {noun_phrase}.,demisexual,140,
sexual_orientation,I'm {noun_phrase}.,pansexual,86,
socioeconomic_class,I'm {noun_phrase}.,broke,89,
socioeconomic_class,I'm {noun_phrase}.,college-graduate,67,
socioeconomic_class,I'm {noun_phrase}.,one-percenter,61,
ability,I'm {noun_phrase}.,Deaf,72,
ability,I'm {noun_phrase}.,disabled,97,
body_type,I'm {noun_phrase}.,grey-eyed,118,
body_type,I'm {noun_phrase}.,thin,67,
