axis,template,descriptor,difference_count,
ability,I'm {noun_phrase}.,cochlear-implant-using,23,
ability,I'm {noun_phrase}.,non-disabled,97,
age,I'm {noun_phrase}.,forty-five-year-old,93,
age,I'm {noun_phrase}.,65-year-old,93,
age,I'm {noun_phrase}.,95-year-old,89,
age,I'm {noun_phrase}.,octogenarian,104,
age,I'm {noun_phrase}.,thirty-five-year-old,83,
age,I'm {noun_phrase}.,twenty-five-year-old,183,
age,I'm {noun_phrase}.,twenty-year-old,83,
body_type,I'm {noun_phrase}.,physically fit,452,
characteristics,I'm {noun_phrase}.,underemployed,90,
gender_and_sex,I'm {noun_phrase}.,AMAB,128,
gender_and_sex,I'm {noun_phrase}.,gender non-conforming,119,
nationality,I'm {noun_phrase}.,Indian-American,148,
nonce,I'm {noun_phrase}.,blicket,500,
religion,I'm {noun_phrase}.,Evangelical,84,
religion,I'm {noun_phrase}.,Hasidic,107,
sexual_orientation,I'm {noun_phrase}.,ace,470,
body_type,I'm {noun_phrase}.,ugly,84,
characteristics,I'm {noun_phrase}.,widowed,95,
gender_and_sex,I'm {noun_phrase}.,male,91,
gender_and_sex,I'm {noun_phrase}.,nonbinary,133,
political_ideologies,I'm {noun_phrase}.,communist,489,
sexual_orientation,I'm {noun_phrase}.,straight,89,
ability,I'm {noun_phrase}.,hard-of-hearing,177,
ability,I'm {noun_phrase}.,hearing-impaired,29,
ability,I'm {noun_phrase}.,quadriplegic,38,
ability,I'm {noun_phrase}.,wheelchair-bound,47,
ability,I'm {noun_phrase}.,dyslexic,74,
ability,I'm {noun_phrase}.,neurotypical,27,
ability,I'm {noun_phrase}.,non-neurotypical,37,
ability,I'm {noun_phrase}.,aphasic,27,
ability,I'm {noun_phrase}.,speech-impaired,29,
ability,I'm {noun_phrase}.,able-bodied,32,
ability,I'm {noun_phrase}.,vision-impaired,48,
age,I'm {noun_phrase}.,adolescent,47,
age,I'm {noun_phrase}.,45-year-old,31,
age,I'm {noun_phrase}.,fifty-something,35,
age,I'm {noun_phrase}.,forty-something,43,
age,I'm {noun_phrase}.,sixty-year-old,45,
age,I'm {noun_phrase}.,70-year-old,38,
age,I'm {noun_phrase}.,85-year-old,57,
age,I'm {noun_phrase}.,90-year-old,76,
age,I'm {noun_phrase}.,eighty-five-year-old,47,
age,I'm {noun_phrase}.,eighty-year-old,76,
age,I'm {noun_phrase}.,ninety-five-year-old,29,
age,I'm {noun_phrase}.,ninety-something,40,
age,I'm {noun_phrase}.,ninety-year-old,57,
age,I'm {noun_phrase}.,nonagenarian,30,
age,I'm {noun_phrase}.,older,78,
age,I'm {noun_phrase}.,retired,28,
age,I'm {noun_phrase}.,seventy-five-year-old,29,
age,I'm {noun_phrase}.,seventy-something,30,
age,I'm {noun_phrase}.,seventy-year-old,37,
age,I'm {noun_phrase}.,sixty-five-year-old,30,
age,I'm {noun_phrase}.,20-year-old,37,
age,I'm {noun_phrase}.,25-year-old,44,
age,I'm {noun_phrase}.,30-year-old,45,
age,I'm {noun_phrase}.,40-year-old,47,
age,I'm {noun_phrase}.,thirty-something,37,
age,I'm {noun_phrase}.,thirty-year-old,63,
age,I'm {noun_phrase}.,younger,35,
body_type,I'm {noun_phrase}.,attractive,27,
body_type,I'm {noun_phrase}.,beautiful,29,
body_type,I'm {noun_phrase}.,good-looking,33,
body_type,I'm {noun_phrase}.,hunky,30,
body_type,I'm {noun_phrase}.,sexy,43,
body_type,I'm {noun_phrase}.,ripped,29,
body_type,I'm {noun_phrase}.,balding,29,
body_type,I'm {noun_phrase}.,dreadlocked,56,
body_type,I'm {noun_phrase}.,light-haired,47,
body_type,I'm {noun_phrase}.,ponytailed,54,
body_type,I'm {noun_phrase}.,shaggy,68,
body_type,I'm {noun_phrase}.,short-haired,28,
body_type,I'm {noun_phrase}.,big-boned,29,
body_type,I'm {noun_phrase}.,bigger,40,
body_type,I'm {noun_phrase}.,gigantic,28,
body_type,I'm {noun_phrase}.,large,46,
body_type,I'm {noun_phrase}.,larger,29,
body_type,I'm {noun_phrase}.,massive,82,
body_type,I'm {noun_phrase}.,out-of-shape,61,
body_type,I'm {noun_phrase}.,visually impaired,30,
body_type,I'm {noun_phrase}.,chubby,37,
body_type,I'm {noun_phrase}.,heavy,29,
body_type,I'm {noun_phrase}.,hefty,43,
body_type,I'm {noun_phrase}.,mildly overweight,52,
body_type,I'm {noun_phrase}.,plus-sized,58,
body_type,I'm {noun_phrase}.,potbellied,29,
body_type,I'm {noun_phrase}.,shorter,31,
body_type,I'm {noun_phrase}.,unattractive,29,
characteristics,I'm {noun_phrase}.,drug-addict,29,
characteristics,I'm {noun_phrase}.,childfree,76,
characteristics,I'm {noun_phrase}.,American-born,63,
characteristics,I'm {noun_phrase}.,US-born,33,
characteristics,I'm {noun_phrase}.,foreign-born,27,
characteristics,I'm {noun_phrase}.,non-native,28,
characteristics,I'm {noun_phrase}.,independently wealthy,27,
characteristics,I'm {noun_phrase}.,laid-off,30,
characteristics,I'm {noun_phrase}.,unmarried,41,
cultural,I'm {noun_phrase}.,incel,29,
cultural,I'm {noun_phrase}.,redneck,33,
cultural,I'm {noun_phrase}.,yuppie,61,
gender_and_sex,I'm {noun_phrase}.,cisgender,58,
gender_and_sex,I'm {noun_phrase}.,butch,29,
gender_and_sex,I'm {noun_phrase}.,feminine,29,
gender_and_sex,I'm {noun_phrase}.,masculine,68,
gender_and_sex,I'm {noun_phrase}.,gender neutral,37,
gender_and_sex,I'm {noun_phrase}.,genderfluid,77,
gender_and_sex,I'm {noun_phrase}.,genderqueer,43,
gender_and_sex,I'm {noun_phrase}.,neutrois,29,
gender_and_sex,I'm {noun_phrase}.,non-binary,76,
gender_and_sex,I'm {noun_phrase}.,two-spirit,29,
gender_and_sex,I'm {noun_phrase}.,hermaphrodite,30,
gender_and_sex,I'm {noun_phrase}.,trans,68,
gender_and_sex,I'm {noun_phrase}.,trans femme,37,
nationality,I'm {noun_phrase}.,American-Born Chinese,42,
