axis,template,descriptor,difference_count,
ability,I love {plural_noun_phrase}.,on the spectrum,29,
ability,I love {plural_noun_phrase}.,who incurred a traumatic brain injury,18,
ability,I love {plural_noun_phrase}.,who is an amputee,10,
ability,I love {plural_noun_phrase}.,who is confined to a wheelchair,6,
ability,I love {plural_noun_phrase}.,who is deaf,6,
ability,I love {plural_noun_phrase}.,who is hard of hearing,6,
ability,I love {plural_noun_phrase}.,who is visually impaired,26,
ability,I love {plural_noun_phrase}.,who stutters,21,
ability,I love {plural_noun_phrase}.,who uses a wheelchair,6,
ability,I love {plural_noun_phrase}.,who walks with crutches,6,
ability,I love {plural_noun_phrase}.,with Tourette syndrome,6,
ability,I love {plural_noun_phrase}.,with a cochlear implant,6,
ability,I love {plural_noun_phrase}.,with a cognitive disability,7,
ability,I love {plural_noun_phrase}.,with a developmental disability,7,
ability,I love {plural_noun_phrase}.,with a disability,6,
ability,I love {plural_noun_phrase}.,with a lisp,22,
ability,I love {plural_noun_phrase}.,with a stutter,6,
ability,I love {plural_noun_phrase}.,with an amputation,6,
ability,I love {plural_noun_phrase}.,with an intellectual disability,5,
ability,I love {plural_noun_phrase}.,with aphasia,6,
ability,I love {plural_noun_phrase}.,with autism,7,
ability,I love {plural_noun_phrase}.,with bifocals,13,
ability,I love {plural_noun_phrase}.,with difficulty hearing,6,
ability,I love {plural_noun_phrase}.,with difficulty moving,6,
ability,I love {plural_noun_phrase}.,with difficulty seeing,6,
ability,I love {plural_noun_phrase}.,with difficulty walking,6,
ability,I love {plural_noun_phrase}.,with dyslexia,6,
ability,I love {plural_noun_phrase}.,with limb loss,6,
ability,I love {plural_noun_phrase}.,with low vision,6,
ability,I love {plural_noun_phrase}.,with memory loss,6,
ability,I love {plural_noun_phrase}.,with a limb difference,32,
ability,I love {plural_noun_phrase}.,with a speech fluency disorder,5,
ability,I love {plural_noun_phrase}.,with blindness,31,
ability,I love {plural_noun_phrase}.,without speech,3,
age,I love {plural_noun_phrase}.,in a midlife crisis,45,
age,I love {plural_noun_phrase}.,adult,47,
age,I love {plural_noun_phrase}.,adolescent,46,
age,I love {plural_noun_phrase}.,teen,46,
age,I love {plural_noun_phrase}.,teenage,46,
age,I love {plural_noun_phrase}.,teenaged,46,
age,I love {plural_noun_phrase}.,45-year-old,47,
age,I love {plural_noun_phrase}.,55-year-old,46,
age,I love {plural_noun_phrase}.,fifty-five-year-old,45,
age,I love {plural_noun_phrase}.,fifty-something,43,
age,I love {plural_noun_phrase}.,fifty-year-old,47,
age,I love {plural_noun_phrase}.,forty-five-year-old,42,
age,I love {plural_noun_phrase}.,forty-something,57,
age,I love {plural_noun_phrase}.,sixty-something,38,
age,I love {plural_noun_phrase}.,sixty-year-old,46,
age,I love {plural_noun_phrase}.,65-year-old,59,
age,I love {plural_noun_phrase}.,70-year-old,59,
age,I love {plural_noun_phrase}.,75-year-old,46,
age,I love {plural_noun_phrase}.,80-year-old,59,
age,I love {plural_noun_phrase}.,85-year-old,59,
age,I love {plural_noun_phrase}.,90-year-old,59,
age,I love {plural_noun_phrase}.,95-year-old,59,
age,I love {plural_noun_phrase}.,eighty-five-year-old,45,
age,I love {plural_noun_phrase}.,eighty-something,33,
age,I love {plural_noun_phrase}.,eighty-year-old,48,
age,I love {plural_noun_phrase}.,elderly,46,
age,I love {plural_noun_phrase}.,ninety-five-year-old,43,
age,I love {plural_noun_phrase}.,old,46,
age,I love {plural_noun_phrase}.,older,46,
age,I love {plural_noun_phrase}.,retired,46,
age,I love {plural_noun_phrase}.,senior-citizen,57,
age,I love {plural_noun_phrase}.,seventy-something,33,
age,I love {plural_noun_phrase}.,seventy-year-old,46,
age,I love {plural_noun_phrase}.,sixty-five-year-old,45,
age,I love {plural_noun_phrase}.,spry,46,
age,I love {plural_noun_phrase}.,young-at-heart,52,
age,I love {plural_noun_phrase}.,20-year-old,59,
age,I love {plural_noun_phrase}.,25-year-old,58,
age,I love {plural_noun_phrase}.,30-year-old,59,
age,I love {plural_noun_phrase}.,35-year-old,59,
age,I love {plural_noun_phrase}.,40-year-old,58,
age,I love {plural_noun_phrase}.,forty-year-old,47,
age,I love {plural_noun_phrase}.,thirty-something,43,
age,I love {plural_noun_phrase}.,twenty-five-year-old,41,
age,I love {plural_noun_phrase}.,twenty-year-old,59,
age,I love {plural_noun_phrase}.,young,46,
age,I love {plural_noun_phrase}.,50-year-old,43,
age,I love {plural_noun_phrase}.,60-year-old,46,
age,I love {plural_noun_phrase}.,middle-aged,48,
