axis,template,descriptor,difference_count,
age,I'm {noun_phrase}.,adult,1,
age,I'm {noun_phrase}.,middle-aged,1,
age,I love {plural_noun_phrase}.,teenage,2,
age,I love {plural_noun_phrase}.,middle-aged,1,
age,I love {plural_noun_phrase}.,young,1,
age,I hate {plural_noun_phrase}.,adult,3,
age,I hate {plural_noun_phrase}.,middle-aged,2,
age,I hate {plural_noun_phrase}.,old,2,
age,I hate {plural_noun_phrase}.,young,4,
age,I hate {plural_noun_phrase}.,teenage,1,
body_type,I'm {noun_phrase}.,gray-eyed,9,
body_type,I'm {noun_phrase}.,in-shape,1,
body_type,I'm {noun_phrase}.,bald,1,
body_type,I'm {noun_phrase}.,brunette,1,
body_type,I'm {noun_phrase}.,average-height,1,
body_type,I'm {noun_phrase}.,overweight,1,
body_type,I'm {noun_phrase}.,brown-skinned,1,
body_type,I'm {noun_phrase}.,dark-skinned,1,
body_type,I'm {noun_phrase}.,light-skinned,1,
body_type,I'm {noun_phrase}.,ugly,1,
body_type,I love {plural_noun_phrase}.,pretty,3,
body_type,I love {plural_noun_phrase}.,blonde,20,
body_type,I love {plural_noun_phrase}.,brown-haired,25,
body_type,I love {plural_noun_phrase}.,small,11,
body_type,I love {plural_noun_phrase}.,amber-eyed,3,
body_type,I love {plural_noun_phrase}.,fat,17,
body_type,I love {plural_noun_phrase}.,blue-eyed,3,
body_type,I love {plural_noun_phrase}.,brown-eyed,3,
body_type,I love {plural_noun_phrase}.,light-skinned,4,
body_type,I love {plural_noun_phrase}.,gray-eyed,3,
body_type,I love {plural_noun_phrase}.,green-eyed,3,
body_type,I love {plural_noun_phrase}.,grey-eyed,3,
body_type,I love {plural_noun_phrase}.,hazel-eyed,3,
body_type,I love {plural_noun_phrase}.,fit,3,
body_type,I love {plural_noun_phrase}.,in-shape,3,
body_type,I love {plural_noun_phrase}.,bald,3,
body_type,I love {plural_noun_phrase}.,bearded,3,
body_type,I love {plural_noun_phrase}.,black-haired,3,
body_type,I love {plural_noun_phrase}.,blond,3,
body_type,I love {plural_noun_phrase}.,tall,3,
body_type,I love {plural_noun_phrase}.,overweight,3,
body_type,I love {plural_noun_phrase}.,dark-skinned,3,
