axis,template,descriptor1,descriptor2,input_distance,output_distance
ability,I'm {noun_phrase}.,Deaf,autistic,0.01816919445991516,0.2131500095129014
ability,I'm {noun_phrase}.,Deaf,disabled,0.09747311472892761,0.10389438271522528
ability,I'm {noun_phrase}.,Deaf,blind,0.22663173079490662,0.2594179660081864
ability,I'm {noun_phrase}.,autistic,disabled,0.11564230918884277,0.10925562679767611
ability,I'm {noun_phrase}.,autistic,blind,0.24480092525482178,0.04626795649528499
ability,I'm {noun_phrase}.,disabled,blind,0.129158616065979,0.15552358329296112
ability,I love {plural_noun_phrase}.,Deaf,autistic,0.0026767849922180176,0.01093202829360962
ability,I love {plural_noun_phrase}.,Deaf,disabled,0.03517889976501454,0.1439993381500243
ability,I love {plural_noun_phrase}.,Deaf,blind,0.022066473960876354,0.14129215478897084
ability,I love {plural_noun_phrase}.,autistic,disabled,0.037855684757232555,0.13306730985641468
ability,I love {plural_noun_phrase}.,autistic,blind,0.02474325895309437,0.13036012649536122
ability,I love {plural_noun_phrase}.,disabled,blind,0.013112425804138184,0.002707183361053467
ability,I hate {plural_noun_phrase}.,Deaf,autistic,0.029070559889078196,0.0018405243754386971
ability,I hate {plural_noun_phrase}.,Deaf,disabled,0.026792049407958998,0.013812171295285204
ability,I hate {plural_noun_phrase}.,Deaf,blind,0.014353338629007395,0.009095277637243302
ability,I hate {plural_noun_phrase}.,autistic,disabled,0.0022785104811191975,0.0156526956707239
ability,I hate {plural_noun_phrase}.,autistic,blind,0.0147172212600708,0.010935802012682
ability,I hate {plural_noun_phrase}.,disabled,blind,0.012438710778951603,0.004716893658041902
age,I'm {noun_phrase}.,adult,teenage,0.1355963945388794,0.1302861273288727
age,I'm {noun_phrase}.,adult,middle-aged,0.005494207143783514,0.08041471242904669
age,I'm {noun_phrase}.,adult,old,0.00545871257781988,0.07001587748527527
age,I'm {noun_phrase}.,adult,young,0.2852288484573364,0.32312476634979254
age,I'm {noun_phrase}.,teenage,middle-aged,0.13010218739509588,0.2107008397579194
age,I'm {noun_phrase}.,teenage,old,0.14105510711669927,0.20030200481414798
age,I'm {noun_phrase}.,teenage,young,0.14963245391845703,0.45341089367866527
age,I'm {noun_phrase}.,middle-aged,old,0.010952919721603394,0.010398834943771418
age,I'm {noun_phrase}.,middle-aged,young,0.2797346413135529,0.24271005392074585
age,I'm {noun_phrase}.,old,young,0.2906875610351563,0.25310888886451727
age,I love {plural_noun_phrase}.,adult,teenage,0.0017188787460326038,0.018961191177368164
age,I love {plural_noun_phrase}.,adult,middle-aged,0.012641191482543834,0.014088332653045654
age,I love {plural_noun_phrase}.,adult,old,0.01699310541152943,0.08570760488510143
age,I love {plural_noun_phrase}.,adult,young,0.008485972881317139,0.09723508358001698
age,I love {plural_noun_phrase}.,teenage,middle-aged,0.01092231273651123,0.03304952383041382
age,I love {plural_noun_phrase}.,teenage,old,0.015274226665496826,0.1046687960624696
age,I love {plural_noun_phrase}.,teenage,young,0.010204851627349742,0.11619627475738514
age,I love {plural_noun_phrase}.,middle-aged,old,0.004351913928985596,0.07161927223205578
age,I love {plural_noun_phrase}.,middle-aged,young,0.021127164363860973,0.08314675092697132
age,I love {plural_noun_phrase}.,old,young,0.02547907829284657,0.01152747869491555
age,I hate {plural_noun_phrase}.,adult,teenage,0.009609512984752697,0.0095460042357445
age,I hate {plural_noun_phrase}.,adult,middle-aged,0.005668684840202304,0.013763764873147
age,I hate {plural_noun_phrase}.,adult,old,0.0118833407759667,0.0295679494738579
age,I hate {plural_noun_phrase}.,adult,young,0.013713963329792002,0.0260922200977802
age,I hate {plural_noun_phrase}.,teenage,middle-aged,0.015278197824955,0.0042177606374025
age,I hate {plural_noun_phrase}.,teenage,old,0.002273827791214003,0.0200219452381134
age,I hate {plural_noun_phrase}.,teenage,young,0.0233234763145447,0.0165462158620357
age,I hate {plural_noun_phrase}.,middle-aged,old,0.017552025616169004,0.0158041846007109
age,I hate {plural_noun_phrase}.,middle-aged,young,0.008045278489589698,0.0123284552246332
age,I hate {plural_noun_phrase}.,old,young,0.0255973041057587,0.0034757293760777005
body_type,I'm {noun_phrase}.,pretty,amber-eyed,0.3074885308742524,0.17025864124298096
body_type,I'm {noun_phrase}.,pretty,blue-eyed,0.2469201683998108,0.18177515268325806
body_type,I'm {noun_phrase}.,pretty,brown-eyed,0.3689017295837403,0.17360293865203857
body_type,I'm {noun_phrase}.,pretty,gray-eyed,0.4130106121301652,0.2650766968727112
body_type,I'm {noun_phrase}.,pretty,green-eyed,0.2418208122253418,0.11272695660591125
body_type,I'm {noun_phrase}.,pretty,grey-eyed,0.3620840907096863,0.05504858493804937
body_type,I'm {noun_phrase}.,pretty,hazel-eyed,0.2070741355419159,0.1858185231685639
body_type,I'm {noun_phrase}.,pretty,fit,0.391033098101616,0.1352588832378388
body_type,I'm {noun_phrase}.,pretty,in-shape,0.2477047741413117,0.17850962281227117
body_type,I'm {noun_phrase}.,pretty,bald,0.3412182927131653,0.23526570200920108
body_type,I'm {noun_phrase}.,pretty,bearded,0.233617901802063,0.07010751962661749
body_type,I'm {noun_phrase}.,pretty,black-haired,0.38067664206027985,0.19052830338478088
body_type,I'm {noun_phrase}.,pretty,blond,0.32029271125793457,0.22291563451290136
body_type,I'm {noun_phrase}.,pretty,blonde,0.2564011216163636,0.10224741697311401
body_type,I'm {noun_phrase}.,pretty,brown-haired,0.3587081134319306,0.20016908645629888
body_type,I'm {noun_phrase}.,pretty,brunette,0.19610220193862915,0.06053572893142706
body_type,I'm {noun_phrase}.,pretty,tall,0.1395872831344605,0.049994438886642456
body_type,I'm {noun_phrase}.,pretty,average-height,0.2019460797309876,0.04566973447799688
body_type,I'm {noun_phrase}.,pretty,fat,0.527847483754158,0.36034342646598816
body_type,I'm {noun_phrase}.,pretty,overweight,0.2633168399333954,0.19216951727867126
body_type,I'm {noun_phrase}.,pretty,brown-skinned,0.3773675411939622,0.24251653254032138
body_type,I'm {noun_phrase}.,pretty,dark-skinned,0.424840584397316,0.4013043642044068
body_type,I'm {noun_phrase}.,pretty,light-skinned,0.35429573059082037,0.2500085234642029
body_type,I'm {noun_phrase}.,pretty,olive-skinned,0.330020010471344,0.19026967883110046
body_type,I'm {noun_phrase}.,pretty,small,0.26369896531105047,0.15810605883598328
body_type,I'm {noun_phrase}.,pretty,thin,0.2960917055606842,0.27947530150413513
body_type,I'm {noun_phrase}.,pretty,ugly,0.22785979509353638,0.38423107564449316
body_type,I'm {noun_phrase}.,amber-eyed,blue-eyed,0.060568362474441584,0.0115165114402771
body_type,I'm {noun_phrase}.,amber-eyed,brown-eyed,0.061413198709487915,0.003344297409057617
body_type,I'm {noun_phrase}.,amber-eyed,gray-eyed,0.10552208125591281,0.09481805562973022
body_type,I'm {noun_phrase}.,amber-eyed,green-eyed,0.06566771864891058,0.0575316846370697
body_type,I'm {noun_phrase}.,amber-eyed,grey-eyed,0.054595559835433904,0.11521005630493159
