axis,template,descriptor1,descriptor2,input_distance,output_distance
age,I love {plural_noun_phrase}.,adult,adolescent,125.0193786621094,13.038856506347656
age,I love {plural_noun_phrase}.,adult,teen,99.1600036621094,22.978437423706055
age,I love {plural_noun_phrase}.,adult,teenage,46.820968627929716,16.40052032470703
age,I love {plural_noun_phrase}.,adult,teenaged,52.55052185058591,15.883163452148438
age,I love {plural_noun_phrase}.,adult,45-year-old,152.8346481323242,27.437761306762695
age,I love {plural_noun_phrase}.,adult,50-year-old,158.26415252685544,20.20309829711914
age,I love {plural_noun_phrase}.,adult,55-year-old,150.48779678344724,29.578371047973633
age,I love {plural_noun_phrase}.,adult,60-year-old,157.06373596191403,25.08363914489746
age,I love {plural_noun_phrase}.,adult,fifty-five-year-old,168.46822547912595,30.22181510925293
age,I love {plural_noun_phrase}.,adult,fifty-something,108.31273651123044,6.14654541015625
age,I love {plural_noun_phrase}.,adult,fifty-year-old,152.7461471557617,23.307214736938477
age,I love {plural_noun_phrase}.,adult,forty-five-year-old,169.64800453186032,21.84825325012207
age,I love {plural_noun_phrase}.,adult,forty-something,109.46114349365232,5.5340576171875
age,I love {plural_noun_phrase}.,adult,middle-aged,161.93504714965817,30.962371826171875
age,I love {plural_noun_phrase}.,adult,sixty-something,98.6811828613281,7.001472473144531
age,I love {plural_noun_phrase}.,adult,sixty-year-old,150.7746543884277,18.550193786621094
age,I love {plural_noun_phrase}.,adult,65-year-old,151.43305206298825,18.935394287109375
age,I love {plural_noun_phrase}.,adult,70-year-old,157.7237968444824,22.144399642944332
age,I love {plural_noun_phrase}.,adult,75-year-old,155.8857383728027,13.479873657226555
age,I love {plural_noun_phrase}.,adult,80-year-old,161.47190093994138,11.494651794433587
age,I love {plural_noun_phrase}.,adult,85-year-old,155.2254600524902,23.71475982666016
age,I love {plural_noun_phrase}.,adult,90-year-old,158.7636795043945,21.07537269592285
age,I love {plural_noun_phrase}.,adult,95-year-old,147.94602203369138,3.507976531982422
age,I love {plural_noun_phrase}.,adult,centenarian,84.32897949218749,12.54836654663086
age,I love {plural_noun_phrase}.,adult,eighty-five-year-old,167.61731910705564,24.48598289489746
age,I love {plural_noun_phrase}.,adult,eighty-something,84.74192047119138,13.924697875976555
age,I love {plural_noun_phrase}.,adult,eighty-year-old,147.8632125854492,21.328903198242188
age,I love {plural_noun_phrase}.,adult,elderly,38.80671691894531,21.45477294921875
age,I love {plural_noun_phrase}.,adult,ninety-five-year-old,166.84412002563474,26.52830696105957
age,I love {plural_noun_phrase}.,adult,ninety-something,64.90207672119138,29.081119537353516
age,I love {plural_noun_phrase}.,adult,ninety-year-old,147.20497131347653,23.133995056152347
age,I love {plural_noun_phrase}.,adult,nonagenarian,67.42562866210935,3.2840652465820312
age,I love {plural_noun_phrase}.,adult,octogenarian,81.24039459228513,17.807476043701172
age,I love {plural_noun_phrase}.,adult,old,87.27864837646482,20.35647964477539
age,I love {plural_noun_phrase}.,adult,older,57.684707641601534,11.732475280761719
age,I love {plural_noun_phrase}.,adult,retired,153.65209960937503,21.000228881835938
age,I love {plural_noun_phrase}.,adult,senior,157.19567871093753,20.11561584472656
age,I love {plural_noun_phrase}.,adult,senior-citizen,3.202911376953068,9.072105407714837
age,I love {plural_noun_phrase}.,adult,seventy-five-year-old,168.5715923309326,27.432512283325195
age,I love {plural_noun_phrase}.,adult,seventy-something,80.70217132568357,32.17381286621094
age,I love {plural_noun_phrase}.,adult,seventy-year-old,142.3088569641113,1.8783531188964844
age,I love {plural_noun_phrase}.,adult,sixty-five-year-old,167.78090667724607,27.880125045776367
age,I love {plural_noun_phrase}.,adult,spry,60.23348999023435,4.415340423583984
age,I love {plural_noun_phrase}.,adult,young-at-heart,126.0736389160156,17.448734283447266
age,I love {plural_noun_phrase}.,adult,20-year-old,165.51335716247556,28.80567741394043
age,I love {plural_noun_phrase}.,adult,25-year-old,163.89405822753903,30.055952072143555
age,I love {plural_noun_phrase}.,adult,30-year-old,166.6129455566406,28.34016990661621
age,I love {plural_noun_phrase}.,adult,35-year-old,158.81757736206052,31.64382934570312
age,I love {plural_noun_phrase}.,adult,40-year-old,162.76033782958982,24.449764251708984
age,I love {plural_noun_phrase}.,adult,forty-year-old,152.5952682495117,30.266962051391598
age,I love {plural_noun_phrase}.,adult,thirty-five-year-old,170.39235687255857,31.34751129150391
age,I love {plural_noun_phrase}.,adult,thirty-something,122.02762603759763,22.12574005126953
age,I love {plural_noun_phrase}.,adult,thirty-year-old,156.30868148803708,25.096542358398438
age,I love {plural_noun_phrase}.,adult,twenty-five-year-old,173.65636634826657,21.13133811950684
age,I love {plural_noun_phrase}.,adult,twenty-something,130.07793807983396,15.34735107421875
age,I love {plural_noun_phrase}.,adult,twenty-year-old,157.27445220947263,32.140506744384766
age,I love {plural_noun_phrase}.,adult,young,106.62837219238278,32.803733825683594
age,I love {plural_noun_phrase}.,adult,younger,0.04615783691403408,45.92099380493164
age,I love {plural_noun_phrase}.,adolescent,teen,25.859375,9.939580917358398
age,I love {plural_noun_phrase}.,adolescent,teenage,78.19841003417969,3.361663818359375
age,I love {plural_noun_phrase}.,adolescent,teenaged,177.5699005126953,2.8443069458007812
age,I love {plural_noun_phrase}.,adolescent,45-year-old,277.8540267944336,14.398904800415039
age,I love {plural_noun_phrase}.,adolescent,50-year-old,283.28353118896484,7.164241790771484
age,I love {plural_noun_phrase}.,adolescent,55-year-old,275.50717544555664,16.539514541625977
age,I love {plural_noun_phrase}.,adolescent,60-year-old,282.08311462402344,12.044782638549805
