axis,template,descriptor1,descriptor2,input_distance,output_distance
age,I love {plural_noun_phrase}.,adult,adolescent,1.2338161468394837e-05,0.0031096935272216797
age,I love {plural_noun_phrase}.,adult,teen,5.131959915161133e-05,0.0028793811798096813
age,I love {plural_noun_phrase}.,adult,teenage,1.0728836060680536e-06,0.003114342689514049
age,I love {plural_noun_phrase}.,adult,teenaged,5.4717063903919616e-05,0.002984166145324818
age,I love {plural_noun_phrase}.,adult,45-year-old,5.900859832874694e-06,0.0028931498527526855
age,I love {plural_noun_phrase}.,adult,50-year-old,1.6033649444469056e-05,0.0028147101402282715
age,I love {plural_noun_phrase}.,adult,55-year-old,2.491474151600226e-05,0.003265559673309215
age,I love {plural_noun_phrase}.,adult,60-year-old,2.467632293701172e-05,0.003075838088989258
age,I love {plural_noun_phrase}.,adult,fifty-five-year-old,1.4245510101207337e-05,0.003146052360534668
age,I love {plural_noun_phrase}.,adult,fifty-something,1.0967254638782897e-05,0.0012996792793273926
age,I love {plural_noun_phrase}.,adult,fifty-year-old,2.0563602447620788e-05,0.0029479265213012695
age,I love {plural_noun_phrase}.,adult,forty-five-year-old,2.658367156982422e-05,0.0032482147216796875
age,I love {plural_noun_phrase}.,adult,forty-something,1.9609928131214538e-05,0.003235340118408203
age,I love {plural_noun_phrase}.,adult,middle-aged,0.00013172626495350226,0.00310075283050526
age,I love {plural_noun_phrase}.,adult,sixty-something,4.458427429199219e-05,0.0031577348709106445
age,I love {plural_noun_phrase}.,adult,sixty-year-old,2.1398067474476257e-05,0.0014031529426575817
age,I love {plural_noun_phrase}.,adult,65-year-old,2.0205974578857422e-05,0.002980828285217285
age,I love {plural_noun_phrase}.,adult,70-year-old,1.7702579498291016e-05,0.003083527088165283
age,I love {plural_noun_phrase}.,adult,75-year-old,4.458427429210321e-05,0.0031087398529052734
age,I love {plural_noun_phrase}.,adult,80-year-old,9.59634780883789e-06,0.002444922924041637
age,I love {plural_noun_phrase}.,adult,85-year-old,1.1146068572998047e-05,0.0010377168655396618
age,I love {plural_noun_phrase}.,adult,90-year-old,3.039836883655944e-06,0.0032097697257996716
age,I love {plural_noun_phrase}.,adult,95-year-old,7.212162017822266e-06,0.0025461912155152477
age,I love {plural_noun_phrase}.,adult,centenarian,4.714727401722296e-05,0.0014852285385131836
age,I love {plural_noun_phrase}.,adult,eighty-five-year-old,1.0728836059570312e-06,0.00227874517440807
age,I love {plural_noun_phrase}.,adult,eighty-something,8.654594421397821e-05,0.0031290650367736816
age,I love {plural_noun_phrase}.,adult,eighty-year-old,2.008676528919562e-05,0.0028256773948668323
age,I love {plural_noun_phrase}.,adult,elderly,9.167194366455078e-05,0.0028294920921324573
age,I love {plural_noun_phrase}.,adult,ninety-five-year-old,1.71661376953125e-05,0.0030952095985412598
age,I love {plural_noun_phrase}.,adult,ninety-something,0.00016057491302490234,0.0022431015968322754
age,I love {plural_noun_phrase}.,adult,ninety-year-old,1.531839370727539e-05,0.003094017505645641
age,I love {plural_noun_phrase}.,adult,nonagenarian,1.7344951629638672e-05,0.003098309040069691
age,I love {plural_noun_phrase}.,adult,octogenarian,3.039836883655944e-06,0.0030936598777772106
age,I love {plural_noun_phrase}.,adult,old,8.821487426757812e-06,0.002700686454772838
age,I love {plural_noun_phrase}.,adult,older,8.046627044677734e-06,0.003105163574218861
age,I love {plural_noun_phrase}.,adult,retired,8.642673492442743e-05,0.002871394157409668
age,I love {plural_noun_phrase}.,adult,senior,6.359815597523077e-05,0.0032741427421568714
age,I love {plural_noun_phrase}.,adult,senior-citizen,4.7802925109974304e-05,0.0030716657638548694
age,I love {plural_noun_phrase}.,adult,seventy-five-year-old,1.1861324310302734e-05,0.0020394325256348766
age,I love {plural_noun_phrase}.,adult,seventy-something,0.00015419721603393555,0.003213226795196422
age,I love {plural_noun_phrase}.,adult,seventy-year-old,3.838539123524054e-05,0.0031825900077819824
age,I love {plural_noun_phrase}.,adult,sixty-five-year-old,1.5556812286487975e-05,0.003235459327697643
age,I love {plural_noun_phrase}.,adult,spry,3.5762786865234375e-06,0.003098309040069691
age,I love {plural_noun_phrase}.,adult,young-at-heart,3.927946090698242e-05,0.0031264424324036755
age,I love {plural_noun_phrase}.,adult,20-year-old,2.413988113392218e-05,0.0032509565353392444
age,I love {plural_noun_phrase}.,adult,25-year-old,8.583068847545228e-06,0.002597033977508434
age,I love {plural_noun_phrase}.,adult,30-year-old,8.64267349243164e-06,0.0031920671463012695
age,I love {plural_noun_phrase}.,adult,35-year-old,7.033348083607116e-06,0.003696739673614391
age,I love {plural_noun_phrase}.,adult,40-year-old,1.1026859283447266e-05,0.0032885074615478516
age,I love {plural_noun_phrase}.,adult,forty-year-old,1.9371509552001953e-05,0.0030646324157714844
age,I love {plural_noun_phrase}.,adult,thirty-five-year-old,2.1636486053466797e-05,0.003194451332092285
age,I love {plural_noun_phrase}.,adult,thirty-something,5.7578086853138366e-05,0.0025925040245056152
age,I love {plural_noun_phrase}.,adult,thirty-year-old,7.569789886474609e-06,0.0032295584678649902
age,I love {plural_noun_phrase}.,adult,twenty-five-year-old,1.7464160919300475e-05,0.003011286258697621
age,I love {plural_noun_phrase}.,adult,twenty-something,2.2470951080322266e-05,0.0030407309532164417
age,I love {plural_noun_phrase}.,adult,twenty-year-old,5.96046447642884e-07,0.003225266933441273
age,I love {plural_noun_phrase}.,adult,young,5.6862831115722656e-05,0.0030909180641174316
age,I love {plural_noun_phrase}.,adult,younger,7.587671279918329e-05,0.002821624279022217
age,I love {plural_noun_phrase}.,adolescent,teen,3.898143768321649e-05,0.00023031234741199835
age,I love {plural_noun_phrase}.,adolescent,teenage,1.1265277862326784e-05,4.6491622923694464e-06
age,I love {plural_noun_phrase}.,adolescent,teenaged,6.705522537231445e-05,0.00012552738189686163
age,I love {plural_noun_phrase}.,adolescent,45-year-old,6.437301635520143e-06,0.00021654367446899414
age,I love {plural_noun_phrase}.,adolescent,50-year-old,3.6954879760742188e-06,0.0002949833869934082
age,I love {plural_noun_phrase}.,adolescent,55-year-old,1.2576580047607422e-05,0.00015586614608753546
age,I love {plural_noun_phrase}.,adolescent,60-year-old,1.2338161468616882e-05,3.3855438232421875e-05
age,I love {plural_noun_phrase}.,adolescent,fifty-five-year-old,1.9073486328125e-06,3.635883331298828e-05
