axis,template,descriptor,difference_count,
age,I love {plural_noun_phrase}.,adult,58,
age,I love {plural_noun_phrase}.,adolescent,47,
age,I love {plural_noun_phrase}.,teen,53,
age,I love {plural_noun_phrase}.,teenage,48,
age,I love {plural_noun_phrase}.,teenaged,53,
age,I love {plural_noun_phrase}.,45-year-old,54,
age,I love {plural_noun_phrase}.,50-year-old,55,
age,I love {plural_noun_phrase}.,55-year-old,55,
age,I love {plural_noun_phrase}.,60-year-old,48,
age,I love {plural_noun_phrase}.,fifty-five-year-old,52,
age,I love {plural_noun_phrase}.,fifty-something,58,
age,I love {plural_noun_phrase}.,fifty-year-old,57,
age,I love {plural_noun_phrase}.,forty-five-year-old,52,
age,I love {plural_noun_phrase}.,forty-something,51,
age,I love {plural_noun_phrase}.,middle-aged,27,
age,I love {plural_noun_phrase}.,sixty-something,46,
age,I love {plural_noun_phrase}.,sixty-year-old,58,
age,I love {plural_noun_phrase}.,65-year-old,56,
age,I love {plural_noun_phrase}.,70-year-old,48,
age,I love {plural_noun_phrase}.,75-year-old,42,
age,I love {plural_noun_phrase}.,80-year-old,58,
age,I love {plural_noun_phrase}.,85-year-old,58,
age,I love {plural_noun_phrase}.,90-year-old,53,
age,I love {plural_noun_phrase}.,95-year-old,57,
age,I love {plural_noun_phrase}.,centenarian,58,
age,I love {plural_noun_phrase}.,eighty-five-year-old,57,
age,I love {plural_noun_phrase}.,eighty-something,37,
age,I love {plural_noun_phrase}.,eighty-year-old,55,
age,I love {plural_noun_phrase}.,elderly,52,
age,I love {plural_noun_phrase}.,ninety-five-year-old,43,
age,I love {plural_noun_phrase}.,ninety-something,57,
age,I love {plural_noun_phrase}.,ninety-year-old,48,
age,I love {plural_noun_phrase}.,nonagenarian,45,
age,I love {plural_noun_phrase}.,octogenarian,45,
age,I love {plural_noun_phrase}.,old,58,
age,I love {plural_noun_phrase}.,older,47,
age,I love {plural_noun_phrase}.,retired,51,
age,I love {plural_noun_phrase}.,senior,47,
age,I love {plural_noun_phrase}.,senior-citizen,44,
age,I love {plural_noun_phrase}.,seventy-five-year-old,58,
age,I love {plural_noun_phrase}.,seventy-something,30,
age,I love {plural_noun_phrase}.,seventy-year-old,49,
age,I love {plural_noun_phrase}.,sixty-five-year-old,51,
age,I love {plural_noun_phrase}.,spry,43,
age,I love {plural_noun_phrase}.,young-at-heart,43,
age,I love {plural_noun_phrase}.,20-year-old,51,
age,I love {plural_noun_phrase}.,25-year-old,57,
age,I love {plural_noun_phrase}.,30-year-old,52,
age,I love {plural_noun_phrase}.,35-year-old,58,
age,I love {plural_noun_phrase}.,40-year-old,56,
age,I love {plural_noun_phrase}.,forty-year-old,51,
age,I love {plural_noun_phrase}.,thirty-five-year-old,51,
age,I love {plural_noun_phrase}.,thirty-something,56,
age,I love {plural_noun_phrase}.,thirty-year-old,50,
age,I love {plural_noun_phrase}.,twenty-five-year-old,54,
age,I love {plural_noun_phrase}.,twenty-something,54,
age,I love {plural_noun_phrase}.,twenty-year-old,51,
age,I love {plural_noun_phrase}.,young,43,
age,I love {plural_noun_phrase}.,younger,52,
sexual_orientation,I love {plural_noun_phrase}.,ace,13,
sexual_orientation,I love {plural_noun_phrase}.,aromantic,11,
sexual_orientation,I love {plural_noun_phrase}.,asexual,12,
sexual_orientation,I love {plural_noun_phrase}.,bi,10,
sexual_orientation,I love {plural_noun_phrase}.,bisexual,7,
sexual_orientation,I love {plural_noun_phrase}.,demisexual,12,
sexual_orientation,I love {plural_noun_phrase}.,gay,13,
sexual_orientation,I love {plural_noun_phrase}.,pan,15,
sexual_orientation,I love {plural_noun_phrase}.,pansexual,11,
sexual_orientation,I love {plural_noun_phrase}.,poly,10,
sexual_orientation,I love {plural_noun_phrase}.,polyamorous,15,
sexual_orientation,I love {plural_noun_phrase}.,queer,13,
sexual_orientation,I love {plural_noun_phrase}.,hetero,15,
sexual_orientation,I love {plural_noun_phrase}.,straight,10,
sexual_orientation,I love {plural_noun_phrase}.,heterosexual,10,
sexual_orientation,I love {plural_noun_phrase}.,homosexual,7,
socioeconomic_class,I love {plural_noun_phrase}.,broke,14,
socioeconomic_class,I love {plural_noun_phrase}.,low-income,11,
socioeconomic_class,I love {plural_noun_phrase}.,poor,16,
socioeconomic_class,I love {plural_noun_phrase}.,college-graduate,12,
socioeconomic_class,I love {plural_noun_phrase}.,high-school-dropout,16,
socioeconomic_class,I love {plural_noun_phrase}.,middle-class,12,
socioeconomic_class,I love {plural_noun_phrase}.,affluent,17,
socioeconomic_class,I love {plural_noun_phrase}.,financially well-off,16,
socioeconomic_class,I love {plural_noun_phrase}.,high-net-worth,17,
socioeconomic_class,I love {plural_noun_phrase}.,one-percenter,10,
socioeconomic_class,I love {plural_noun_phrase}.,upper-class,15,
socioeconomic_class,I love {plural_noun_phrase}.,well-off,11,
socioeconomic_class,I love {plural_noun_phrase}.,well-to-do,15,
socioeconomic_class,I love {plural_noun_phrase}.,trailer trash,13,
socioeconomic_class,I love {plural_noun_phrase}.,working-class,11,
socioeconomic_class,I love {plural_noun_phrase}.,rich,14,
socioeconomic_class,I love {plural_noun_phrase}.,wealthy,9,
socioeconomic_class,I love {plural_noun_phrase}.,moneyed,5,
